GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20USSRPER,G20USSDOSS,G20USSLHAZ,G20PSCRSHA,G20PSCDBRY,G20PSCLMEL,G20PSCRMCD,G20PSCDBLA,G20PSCLWIL
13135000106,13,135,000106,2096.9248479579405,2459.810489492845,62.26753735937145,2136.965326819348,2320.4873951536233,110.9624329686675,2143.8184330113772,2156.2608786747273,180.09659679831458,2132.606648908038,2172.239954786941,151.16935133871854
13135000107,13,135,000107,494.0879741727199,558.5754640839386,8.535108958837773,506.4164648910412,535.8151735270379,20.863599677158998,502.6230831315577,498.8297013720742,43.62389023405972,504.51977401129943,510.2098466505246,33.19209039548023
13135000108,13,135,000108,839,1425,28,819,1379,65,806,1335,82,795,1343,60
13135000109,13,135,000109,671.0000000000001,734,17,701.0000000000001,690,34,694,634,63,687,651,49.00000000000001
13135000110,13,135,000110,432.7400487408611,1054.6181965881397,22.775792038992687,421.84727863525586,1023.9203899268887,47.53208773354996,395.11047928513403,994.2128350934199,80.21039805036555,395.11047928513403,1000.1543460601138,58.42485783915516
13135000111,13,135,000111,913.0782241014799,1200.69133192389,37.2029598308668,928.4693446088795,1136.3361522198732,61.065539112050736,918.5708245243129,1072.154334038055,86.87737843551797,915.723044397463,1091.6976744186047,66.52219873150105
13135000112,13,135,000112,1167.7101525382923,1273.5931945990783,32.96358856609379,1207.6660174668907,1211.6616039597507,55.93821090003795,1211.6616039597507,1135.7454605954135,99.88966232149635,1198.675947857956,1146.733323450778,83.90731635005693
13135000113,13,135,000113,420,665,19,402,660,33,382,636,45,389,630,36
13135000114,13,135,000114,1069,1711,54,1112,1619,95,1088,1517,161,1093,1536,110
13135000115,13,135,000115,1171,2161,35,1103,2138,85,1080,2038,146,1047,2066,109
13135000116,13,135,000116,766,1719,31,726,1708,56,695,1647,95,692,1638,75
13135000117,13,135,000117,514,1948,28,494,1895,84,464,1806,147,471,1836,105
13135000118,13,135,000118,601.2623211163666,742.6832721193657,17.918972477088012,582.3544271237647,724.7634499877477,37.82570062138644,595.2916904421427,659.0709355715686,60.72270042088811,590.31847782873194,675.9885249333704,41.81140781016643
13135000119,13,135,000119,1010.9120258272801,993.4245359160614,23.46489104116223,1016.5835351089588,959.1848264729621,53.136400322841,1023.3769168684423,877.1702986279257,87.37610976594027,1003.4802259887006,883.7901533494754,85.80790960451978
13135000120,13,135,000120,319.5409090909091,558.45,16.922727272727272,323.52272727272725,535.5545454545454,31.854545454545452,316.55454545454546,524.6045454545455,39.81818181818181,308.59090909090907,534.559090909091,23.89090909090909
13135000121,13,135,000121,1130,1509,35,1152,1454,63,1176,1312,125,1156,1325,119
13135000122,13,135,000122,717.8263647396365,3264.4615294676314,35.35981492284232,708.789148266542,3204.9073807622854,84.70054463610357,700.9688871071177,3115.2223850141777,135.0340892922977,711.7064639033214,3120.6551168676565,102.59159000623468
13135000123,13,135,000123,371,1393,13,349,1364,48,344,1289,85,337,1298,74
13135000124,13,135,000124,520.5696834058143,1270.8096170959486,23.656118641290067,524.7070105632936,1229.6194483977945,47.403788720899684,514.6764934171871,1165.5595410356048,84.33456167714839,517.6154591249741,1179.0630739463622,58.800511620284375
13135000125,13,135,000125,856.9010896898575,708.6856663872591,27.48365465213747,938.3704945515508,624.2715842414082,33.373009220452644,941.3151718357083,562.433361274099,61.83822296730931,939.35205364627,571.2673931265717,53.98575020955574
13135000126,13,135,000126,1228,1041,36,1339,934,39,1346,840,79,1330,865,70
13135000127,13,135,000127,467,1054,14,462,1016,47,441,992,68,431,1006.0000000000001,51
13135000128,13,135,000128,887.4441188781917,1199.5717873587275,37.57974047718711,891.5722059439096,1148.351611552951,74.07408957722896,891.8890749267476,1075.3629133528673,95.44035161155296,885.8463792381749,1091.4910004185851,84.75722059439096
13135000129,13,135,000129,2641,1560,73,2667,1475,117,2636,1385,170,2634,1397,150
13135000130,13,135,000130,2150,1627,53,2224,1523,73,2231,1368,150,2218,1400,131
13135000131,13,135,000131,1832,1541,50,1898,1441,73,1901,1332,128,1889,1341,123
13135000132,13,135,000132,1139,1327,39,1146,1294,49,1139,1203,99,1114,1230,80
13135000133,13,135,000133,1997.38295990751,1576.9975259584348,44.85351928699369,1959.0632105631926,1527.838282022382,113.17326193764129,1938.868284813491,1459.538899039438,153.86626995940944,1918.297579115333,1481.2165966291836,138.67136763755218
13135000134,13,135,000134,973.8307962931511,2284.57015321813,54.37141036133247,965.0925339136513,2235.0533330676312,90.29537792149856,959.2670256606515,2138.9324468931327,129.13209960816462,947.6160091546516,2158.350807736466,95.14996813233182
13135000135,13,135,000135,1383,1014,28,1371,986,57,1352,915,96,1344,937,77
13135000136,13,135,000136,1566.3006818375122,1442.225265883492,48.00726664140297,1529.3032349817888,1397.2160352849533,115.01237292995641,1562.3006818375122,1278.2018947935744,154.02022875850017,1540.2971467146674,1324.2071974778414,119.01708642708267
13135000137,13,135,000137,1912.0134557581284,1758.6252403322933,71.01699259439683,1937.034369720463,1672.586026652916,116.03006382085591,1916.0182485411635,1578.54637726599,174.05577056622548,1921.0134557581287,1585.553784294317,143.04574929260681
13135000138,13,135,000138,1825,1986,22,1866,1888,48,1868,1732,102,1856,1736,93
13135000139,13,135,000139,892,2690,35,845,2636,96,849,2520,142,810,2551,109
13135000140,13,135,000140,1879.8419629254731,1208.4795786345248,44.136874937252,1958.949316756367,1098.2439518559618,63.23315112482334,1969.9500786234407,1004.9295387762708,89.38500889552598,1947.939508339167,1029.958646721339,87.32377693634758
13135000141,13,135,000141,1316,891,32,1317,842,59,1305,776,91,1297,778,91
13135000142,13,135,000142,1153.4393210032936,1300.2406891309856,34.39346338991639,1184.4773245502913,1239.8424119584495,52.00962756523942,1188.6716493539398,1141.6952115530783,91.43628071953383,1177.766404864454,1161.8279706105902,72.14238662275146
13135000143,13,135,000143,1258,2201,34,1268,2143,64,1297,2021,113,1276,2028,99
13135000144,13,135,000144,1114.0103201895854,3651.0349158104973,58.0006148905228,1065.010137384295,3561.033885453405,143.00141258633616,1066.009738536388,3442.032988045615,196.00199423953342,1048.0096055870858,3481.0329381896267,154.00179481558007
13135000145,13,135,000145,1343.8364187329994,3243.0947635859684,43.8924037795432,1337.6862743345473,3153.6499232958736,122.1159884791511,1349.4680753873713,3050.264065946372,148.78821786177903,1332.3343156144695,3088.4156451977774,119.24615101195675
