GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16USSRISA,G16USSDBAR,G16USSLBUC,G16PSCRECH,G16PSCLHOS
13245000115,13,245,000115,62.185929648241206,63.44221105527638,2.512562814070352,62.814070351758794,54.64824120603015,4.396984924623116,68.46733668341709,42.085427135678394
13245000201,13,245,000201,22,721,4,65,601,13,138,350
13245000202,13,245,000202,685.9320905459388,1556.7838437638704,49.040834442964936,706.9560585885486,1327.6799822458945,74.05681313803818,897.0501553484244,931.497114957834
13245000203,13,245,000203,10,551,1,31,432,9,109,233
13245000204,13,245,000204,453,432,40,449,363,61,552,275
13245000207,13,245,000207,151,1181,9,191,978,21,302,581
13245000208,13,245,000208,229,1134,28,246,971,46,441,606
13245000210,13,245,000210,111,819,15,156,693,31,291,409
13245000301,13,245,000301,1157,553,75,1283,439,47,1336,326
13245000302,13,245,000302,155.5778588807786,409.6313868613139,13.305352798053528,179.15328467153284,345.985401459854,10.164233576642335,256.0705596107056,226.2566909975669
13245000303,13,245,000303,699.4221411192215,263.36861313868616,35.694647201946474,769.8467153284672,191.01459854014598,31.835766423357665,794.9294403892944,143.7433090024331
13245000304,13,245,000304,165,100,14,172,86,16,196,66
13245000305,13,245,000305,267,64,10,298,50,1,299,19
13245000306,13,245,000306,861,1275,69,871,1107,80,1099,735
13245000307,13,245,000307,655,392,31,693,297,38,753,233
13245000308,13,245,000308,153,181,10,158,147,16,188,104
13245000309,13,245,000309,212,1469,33,271,1320,33,523,843
13245000310,13,245,000310,566.2770280311636,1801.2099977467687,65.37071033669902,604.2185580478464,1623.7823790671173,75.13620679883039,964.8113265119727,1032.38662000587
13245000401,13,245,000401,67,1234,15,107,1113,20,328,689
13245000402,13,245,000402,179.33923747121324,1623.0977553763375,38.05786451274109,223.09123097554203,1407.3356663560066,52.990959718664676,443.0847132695745,934.75161872243
13245000404,13,245,000404,117.99999999999999,910,21,168,771,22,301,525
