GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREOWRI,G20HALRARM,G20HALDRAK,G20HALLPET,G20HALOWRI,G20GOVRBUR,G20GOVDLEN,G20GOVLHEN,G20GOVOWRI,G20AUDRGAL,G20AUDDHAR,G20AUDOWRI,G20TRERBEA,G20TREDHAU,G20TREOWRI,G20INSRGOD,G20INSOWRI,G20PSCRKRO,G20PSCDBUC,G20PSCOWRI
38015003502,38,015,003502,769,745,49,16,830,658,61,4,775,609,74,101,804,701,7,745,743,16,1142,58,812,692,5
38015003503,38,015,003503,884,457,34,7,931,383,46,0,814,396,58,106,865,445,2,821,489,5,1097,28,866,438,4
38015003504,38,015,003504,648,467,34,11,685,401,56,0,600,379,65,99,675,424,1,630,466,4,885,25,643,446,2
38015003505,38,015,003505,931.0000000000001,486,37,10,989,407,42,3,890,390,51,115,938,450,2,856,529,5,1186,29,952,425.00000000000006,3
38015003506,38,015,003506,618,333,36,13,666,273,47,1,603,275,55,62,651,313,1,601,361,4,810,22,646,316,1
38015004701,38,015,004701,2399.6047327143606,952.8458744848708,64.98982512422678,21.996479813829485,2575.5757052655654,753.8784036881738,59.990800982543995,0.9998452397766812,2250.6309671722165,738.881302397811,113.98163570168226,281.95246079958343,2440.5979257001745,822.8678406940223,10.998095580342865,2252.629762827024,997.8383329685339,15.99732177922627,2824.536621528986,50.99164538358073,2464.5947310304737,799.8708228728711,0.9998741050910567
38015004702,38,015,004702,1956,1014,93,19,2077,833,97,4,1859,844,131,208,2001,939,4,1860.9999999999998,1070,14,2514,47,2051,894,3
38015004703,38,015,004703,740,434,50,10,775,369,52,1,688,359,71,90,758,424,5,703,472,5,980,30,764,399,5
38015004704,38,015,004704,1574.3952672856392,723.1541255151292,61.010174875773224,18.003520186170515,1688.4242947344346,584.1215963118262,63.009199017456,1.0001547602233187,1535.3690328277835,589.118697602189,89.018364298317735,147.0475392004166,1599.4020742998252,657.1321593059777,4.0019044196571345,1506.3702371729757,748.161667031466,9.00267822077373,1918.4633784710143,35.00835461641927,1641.405268969526,614.1291771271289,2.0001258949089435
38017011-01,38,017,011-01,1382,1951,96,20,1570,1687,133,3,1789,1525,87,29,1500,1817,6,1520,1807,12,2462,144,1512,1803,4
38017011-02,38,017,011-02,1498,1936,92,27,1600,1708,168,8,1781,1564,124,43,1560,1849,8,1572,1851,10,2603,134,1556,1843,6
38017013-01,38,017,013-01,1479.752300833081,1103.4771949420842,90.45850497849764,12.404348284133638,1616.57044790271,911.0118833605264,117.82052961706358,2.093107765699961,1719.3742564669144,824.4283226676968,97.87696114448718,29.393413080239444,1588.742853708346,1003.5017767806976,3.1396616485499416,1529.0047272766565,1065.3638706401002,9.542423593702727,2261.8528986309807,71.43805174071834,1568.5242229032501,1010.4855230529023,2.0622481036867355
38017013-02,38,017,013-02,903.4317826125839,884.4167971440202,54.35672195225495,14.179464239662993,967.4478003688646,782.559025692623,68.76425855578131,2.0294117647058822,1060.9303632098695,689.2908014092712,64.47912186300557,19.450419799656885,944.0414982162665,844.9511467124393,2.0441176470588234,952.1142405036746,831.909313015451,6.13384976689032,1492.0592450672596,55.072819710407515,941.7192032554301,835.0613096426936,4.030908590419732
38017013-03,38,017,013-03,1865.9911829537104,1432.331741366642,87.89088905216752,18.350844966936076,2079.440484937546,1172.5224099926525,112.03673769287289,3.8633357825128583,2214.6572373254958,1051.7931667891257,104.31006612784716,26.07751653196179,2009.9004408523144,1262.3449669360764,5.795003673769287,1989.617927994122,1287.4566495224099,21.24834680382072,2795.123438648053,78.23254959588537,2024.3879500367377,1234.3357825128583,2.8975018368846435
38017016-01,38,017,016-01,999.5360886339063,1148.0861511616292,66.01310955015438,9.999112092338203,1047.5725914391073,1012.0530222173,116.00564292555993,5.998256420888736,1157.548698052162,922.056977271209,93.01838081805738,17.011204319373896,1043.5576093649922,1081.0692960929462,3.9988376139258244,1036.5293726777675,1103.0941828611546,5.999265449650558,1693.598780185634,89.00339874394241,1018.5557930190995,1069.0677381073594,3.9998466426876456
38017016-02,38,017,016-02,1083.6782559587632,1197.2369846710328,68.32006107485284,17.065727419998076,1178.422917302895,1024.308044000058,117.41725070974404,4.014969148545503,1241.9177778501332,985.8685912685693,89.38411585094906,31.094212734496363,1114.1836946670044,1164.6355896491837,3.021000740225535,1119.112226251845,1154.7279489739144,10.07448421099958,1817.0606793915672,83.29368087119376,1126.2260256394193,1113.536217112563,5.0110815631498555
38017016-03,38,017,016-03,2296,2165,154,34,2531,1806,226,3,2663,1703,181,49,2458,1966,3,2473,1966,7,3686,135,2424,1957,4
38017016-04,38,017,016-04,834,607,44,13,952,473,44,1,1037,418,30,9,917,506,0,912,532,1,1229,33,921,486,0
38017020-01,38,017,020-01,284,147,15,2,306,119,18,0,332,89,13,12,288,144,0,289,143,2,388,9,284,138,0
38017021-01,38,017,021-01,1106,2025,79,26,1223,1803,162,5,1433,1654,113,22,1200,1921,6,1239,1877,8,2090,172,1217,1887,4
38017021-02,38,017,021-02,976.0070906697597,1376.0074299362554,108.0004156014572,35.00014842909186,1029.0079261135052,1258.0063273201445,151.00058947553623,1.000012722493588,1150.0086937039518,1166.0057844937512,116.00036895231405,21.000139947429467,1053.0076801452958,1316.0068192565632,6.0000381674807635,1048.0076462186464,1326.0068531832126,6.0000381674807635,1752.011581709996,130.0005216222371,1002.0077225536079,1350.006751403264,2.000025444987176
38017022-01,38,017,022-01,150,59,3,1,150,54,8,0,160,46,3,3,150,56,0,149,61,0,185,3,152,52,0
38017022-02,38,017,022-02,331,143,18,5,349,127,14,1,391,90,5,9,329,151,2,325,156,2,435,8,336,135,1
38017022-03,38,017,022-03,195,83,6,0,205,69,4,0,211,59,10,5,189,81,0,182,90,0,236,3,182,80,1
38017022-04,38,017,022-04,1047,536,53,10,1123,415,76,3,1207,359,42,29,1052,522,2,1059,521,4,1406,31,1018,523,5
38017022-05,38,017,022-05,621,314,27,2,630,279,41,0,654,239,47,22,608,316,1,607,314,4,812,15,614,307,1
