GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PRECCAS,G16PREOFUE,G16PREOWRI,G16USSRHOE,G16USSDGLA,G16USSLMAR,G16USSIGER,G16USSOWRI,G16HALRCRA,G16HALDIRO,G16HALLSEA,G16HALOWRI,G16GOVRBUR,G16GOVDNEL,G16GOVLRIS,G16GOVOWRI,G16AUDRGAL,G16AUDLRIE,G16AUDOWRI,G16TRERSCH,G16TREDMAT,G16TRELOLS,G16TREOWRI,G16INSRGOD,G16INSDBUF,G16INSLBAT,G16INSOWRI,G16PSCRFED,G16PSCDHUN,G16PSCLSKA,G16PSCOWRI
38015002802,38,015,002802,311,47,17,0,4,1,2,332,31,10,4,2,303,42,34,1,333,34,11,1,285,63,4,279,57,33,1,282,46,29,1,288,42,27,1
38015002803,38,015,002803,675.0436147075277,100.0128169285324,28.002972041398817,5.00070585983222,6.000482956727308,3.715051748523243e-5,15.001857525874263,736.0504132522275,64.00869322109155,19.001671773286837,13.000743010349705,1.0000371505174852,678.0449892766746,102.01322558422474,45.00282343932888,2.0000743010349704,709.0483328232483,81.01017924179095,28.002340482601568,4.000037150517485,642.0455836849544,113.0108108005882,4.000297204139882,591.0405312145764,134.01367139043455,55.004012255888405,2.0000743010349704,638.041497128031,85.01270547697995,49.00367790123104,1.0001114515524556,642.0433546539052,76.01051359644832,51.004012255888405,1.0000743010349704
38015003001,38,015,003001,1171.7958826227912,343.1851501809105,79.64748512727931,18.778301867670542,12.770637565743366,0.9956325139510855,49.31771778505768,1354.0307837110518,232.50930276496726,44.690505218195234,19.95622985017528,0.995488116826287,1208.881812085806,353.03371262039104,76.18608594594718,2.042460863611609,1298.9333833027597,271.77938747797606,62.533595118772816,1.0701710826405648,1223.8874734732537,289.7802684433252,7.8349710019990875,1088.498890071473,366.5178613858931,107.7648377540658,1.998819004686171,1115.0760688218365,339.2186509490287,99.09183494915622,2.9560420150851656,1165.0978429888291,280.9599598758887,107.65334517712506,1.9892939752350414
38015003002,38,015,003002,1022,417,132,36,16,1,48,1216,326,84,41,3,1045,462,146,5,1180,348,129,4,1052,424,10,940,445,179,4,933,418,194,5,1020,352,173,7
38015003003,38,015,003003,1384.901778996871,448.5315761438915,89.0074083128324,13.471654470545396,5.368563145087891,4.0097331407169365,49.2042396599242,1648.5094712101459,270.75383422376177,53.089480890650115,20.484942339497177,1.0264578789812662,1475.8521895371414,372.80180823891783,127.86315640290853,3.0423170445907295,1575.1669467411577,321.6817803023335,64.56566228084654,6.005711665435912,1459.342912368641,318.17916757739914,7.197327006167869,1265.9566356214093,511.9112144012754,115.71124529325863,2.055020307574035,1330.714171492252,384.39873881017144,133.40116888110157,1.0897087610593308,1389.9378637433442,337.85857045304056,126.6872990256481,1.0536511341313515
38015003004,38,015,003004,1451.8261909127013,467.3651161311992,100.4344191343852,23.865603467688413,9.94455547083826,0.9944228504693159,35.800748458905844,1735.225586447523,261.5300490006941,58.66942233567916,19.888457009386318,2.98305057397788,1505.5231720298889,400.7472862695277,133.24634061741637,9.943356594972887,1714.3388919826411,282.41499964613536,64.63726730307546,3.9773644357321616,1562.2008059693235,344.0643118830564,1.9894996332288353,1375.2549774942738,450.4642872218222,145.18159459734883,2.9831595626929137,1439.8882122148932,375.88791388366013,137.22610280487928,4.971896274916511,1522.4217121762501,295.3420607473763,153.1361054913831,1.9888457009386318
38015003201,38,015,003201,484.88862306091414,254.08432079226947,66.61799632863115,9.024405934231146,3.625844301483678,2.076923076923077,24.226845244342968,609.1313701300459,173.93854132347244,24.50664505577111,25.72020018857186,2.1573327158791744,520.6922820260819,251.1403244969944,55.54826508797074,1.1608192779121953,594.5478019973517,191.8509398482537,33.6500315235182,0.4824578337365861,524.6778983535565,212.4000797850109,2.3286116798904324,454.76288811552877,253.64392041512573,76.11461912269644,2.1538461538461537,481.3113719156961,216.20722531221165,77.7685746326409,0.1573327158791746,498.80407072333514,199.1272530976488,74.174109389454415,0.38461538461538464
38015003202,38,015,003202,403.38461538461536,240,39.69230769230769,12,7.384615384615385,0.9230769230769231,24.923076923076923,493.8461538461538,182.76923076923077,28.615384615384613,8.307692307692308,1.8461538461538463,434.7692307692308,240.92307692307693,39.69230769230769,1.8461538461538463,488.3076923076923,192.92307692307693,30.461538461538463,5.538461538461538,468.9230769230769,164.3076923076923,3.6923076923076925,390.46153846153845,235.3846153846154,58.15384615384615,1.8461538461538463,419.0769230769231,219.69230769230768,42.46153846153846,1.8461538461538463,435.6923076923077,196.6153846153846,47.07692307692308,4.615384615384615
38015003203,38,015,003203,332,201,42,15,6,1,9,419,133,22,25,0,344,190,53.99999999999999,1,392,167,26.999999999999996,2,350,180,3,311,195,56,1,298,191,67,1,319,166,65,1
38015003204,38,015,003204,468,181,67,19,7,1,15,575,130,34,18,0,474,221,57,2,524,155,68,2,459,239,3,415,206,107,1,433,210,73,2,445,168,102,2
38015003205,38,015,003205,933.9838452820583,337.9941538601025,94.99835685417081,20.999636778290387,7.99986162982491,2.9999481111843416,32.999429223027754,1134.980368731409,226.9960737462818,31.99944651929964,30.999463815571527,2.9999481111843416,987.9829112833763,329.99429223027755,96.99832226162704,3.999930814912455,1061.9816313592569,278.99517434014376,65.99885844605551,4.999913518640569,981.9830150610077,320.9944478967245,7.99986162982491,877.9848138732839,346.9939981936555,136.99763041075158,2.9999481111843416,899.9844333553024,326.99434411909317,119.99792444737365,1.9999654074562274,929.9839144671458,283.9950878587843,130.9977341883829,2.9999481111843416
38015003206,38,015,003206,1219.0161547179418,383.0058461398976,93.00164314582919,18.000363221709613,8.00013837017509,5.1888815658705496e-5,32.000570776972246,1462.019631268591,226.0039262537182,40.00055348070036,20.000536184428473,2.000051888815659,1292.0170887166237,336.00570776972245,96.00167773837296,3.000069185087545,1456.0183686407431,234.00482565985627,48.00114155394449,2.000086481359431,1314.0169849389922,273.0055521032755,9.00013837017509,1124.0151861267161,423.0060018063445,109.00236958924842,3.000051888815659,1199.0155666446976,327.0056558809068,115.00207555262635,3.0000345925437726,1266.0160855328543,271.0049121412157,106.0022658116171,4.000051888815658
38015003207,38,015,003207,542,205,41,7,6,1,18,657,130,23,12,5,567,191,51,6,626,158,29,4,584,160,7,504,215,64,5,525,170,58,3,571,148,55,4
