GEOID20,STATEFP,COUNTYFP,DISTRICT,G18SOSRARD,G18SOSREDM,G18SOSRSTO,G18SOSRKEN,G18SOSRCRO,G18SOSRCLO,G18SOSDCOL,G18SOSDFRE,G18SOSNMOR,R18SOSRARD,R18SOSDCOL
22063000027,22,063,000027,183.85870838558765,115.28437931204415,36.77174167711753,62.61134393671364,16.8951245543513,27.827263971872725,284.23562485555715,52.67303537533052,5.96298513682987,75.53114506651168,73.54348335423506
22063000029,22,063,000029,216.0360385927386,140.5361979227902,80.32697445610883,69.67317757638315,35.536301304884745,37.89388334769872,33.24292116446348,30.287710747440382,6.7793659880206505,312.4747990941296,31.63398562705092
2206300002A,22,063,00002A,277,223,81,72,32,34,29,26,12,170,17
22063000030,22,063,000030,142.0141053915608,60.009215522486386,66.00592426445553,73.0087453427677,34.0029151142559,31.002915114255895,21.00432565341198,30.003103186143374,12.001222467268603,75.00968570220508,15.00075228754991
22063000031,22,063,000031,101.22589977505199,64.27984697570076,68.38906929051107,59.347391635971135,33.21338160225639,23.513216978455695,15.823357338262698,25.011951221614645,3.136541547396852,94.7723842891336,13.057169978855207
22063000032,22,063,000032,129.45868725868726,85.38764478764479,66.1065637065637,57.84324324324324,37.644015444015444,18.36293436293436,60.5976833976834,37.644015444015444,6.4270270270270276,89.06023166023166,47.743629343629344
22063000033,22,063,000033,91.04642320007595,60.038299140062655,23.024952470040823,17.020890440034176,6.009864930016138,2.006963480011392,13.010445220017088,22.006383190010443,5.00058029000095,61.029594790048414,11.004642320007596
22063000034,22,063,000034,143.90191128741435,92.29570861882438,52.598629642985934,38.70465200144248,10.91669671835557,17.8636855391273,13.893977641543454,24.81067435989903,4.9621348719798055,119.09123692751533,18.85611251352326
22063000035,22,063,000035,196.20011911852293,147.16319237641454,57.0369267421084,53.178677784395475,14.044669446098869,30.947587849910658,144.8058368076236,54.70875521143538,8.902918403811793,127.7379392495533,44.42525312686123
22063000036,22,063,000036,249,212,79,66,23,39,27,35,5,169,17
22063000038,22,063,000038,143.9681300756943,117.97388436758281,71.98406503784715,85.98096657298409,19.995573621624207,25.994245708111468,145.9676874378567,53.98804877838536,9.997786810812103,117.97388436758281,55.987606140547776
22063000039,22,063,000039,140,189,60,34,11,12,15,31,7,139,16
2206300003A,22,063,00003A,214,181,56,41,10,40,10,27,7,186,14
2206300003B,22,063,00003B,90,96,32,23,17,12,9,7,2,69,8
22063000040,22,063,000040,229.99999999999997,226,89,62.99999999999999,19,27,24,40,15.000000000000002,197.99999999999997,22
22063000041,22,063,000041,113.82423642304258,84.21142694712906,30.538209772035813,33.3144106604027,18.508005922445946,13.88100444183446,19.43340621856824,19.43340621856824,6.477802072856081,69.4050222091723,6.477802072856081
22063000043,22,063,000043,35.652173913043484,25.217391304347828,9.565217391304348,7.826086956521739,3.4782608695652177,6.086956521739131,0.8695652173913044,9.565217391304348,2.608695652173913,26.956521739130434,5.217391304347826
2206300004A,22,063,00004A,174,137,61.99999999999999,46,18,51,20,22,9,112,12
2206300004B,22,063,00004B,106,96.00000000000001,23,17,14,7,9.000000000000002,6.000000000000001,1,93,4
2206300005A,22,063,00005A,63.79988088147707,45.836807623585464,17.9630732578916,19.821322215604525,4.955330553901131,8.052412150089339,6.194163192376414,9.291244788564622,3.097081596188207,40.26206075044669,5.574746873138773
2206300005B,22,063,00005B,191,116,32,37,13,19,15,20,15,108,8
2206300005C,22,063,00005C,40,38,9,14,4,7,2,1,4,23,3
2206300006A,22,063,00006A,131,116,56,50,12,20,9,20,6,92,6
2206300006B,22,063,00006B,115,91,51,49,15,18,7,16,8,97,5
2206300007A,22,063,00007A,52.14129161441234,81.71562068795585,24.228258322882468,21.388656063286366,9.104875445648702,14.172736028127273,8.764375144442859,7.326964624669481,2.0370148631701297,51.46885493348831,9.456516645764935
2206300007B,22,063,00007B,192,139,74,68,19,34,145,94,15,85,84
2206300007C,22,063,00007C,57.22018348623853,43.88990825688073,15.8348623853211,30.642201834862384,8.302752293577981,16.42201834862385,8.642201834862385,10.623853211009175,2.146788990825688,28.926605504587158,1.4587155963302751
2206300007D,22,063,00007D,83,89,24,25,9,18,36,31,5,42,21
2206300008A,22,063,00008A,155,146,52,53,28,21,18,15,5,130,12
2206300008B,22,063,00008B,34.16349047141424,33.75626880641926,9.436308926780342,10.392678034102307,14.159979939819458,5.218154463390171,4.087261785356068,4.247241725175527,0.10180541624874624,46.207121364092274,1.1308926780341022
2206300011A,22,063,00011A,191,102,52,59,46,19,17,22,4,88,16
2206300013A,22,063,00013A,97,80,11,43,17,16,12,10,5,58,3
2206300013B,22,063,00013B,130,77,61,52,36,21,25,9,8,92,11
2206300018A,22,063,00018A,33.33868378812199,30.611556982343497,17.6278758694489,14.835741037988226,6.780898876404494,4.786516853932584,8.608346709470304,4.863830925628678,0.8750668806848583,21.771268057784912,3.191011235955056
2206300019A,22,063,00019A,74.52884603689809,48.42863270490534,27.885867789301617,25.133012619102253,10.24147138261997,13.955060006211035,5.607569677504624,15.823172022129445,6.506864165657847,77.27038350297457,8.399228404696709
2206300021A,22,063,00021A,48.41639113914289,43.36137983265003,25.702976903955967,21.604042679280965,9.954554545639292,7.026744385157148,12.111545149164293,6.964991876870242,1.1093715559059527,31.43509220834645,4.684496256771432
2206300023A,22,063,00023A,175.03839870140655,97.03199891783879,50.21999952257594,35.83519960532944,5.443999904515188,15.976799789933413,85.92399958623248,75.50959967535164,10.473599898149534,98.6111992233902,41.887999809030376
2206300023B,22,063,00023B,97,73,46,34,3,18,14,19,10,70,10
2206300023C,22,063,00023C,197.96160129859342,164.9680010821612,72.78000047742407,60.16480039467056,14.556000095484812,32.023200210066584,63.07600041376752,49.490400324648355,15.526400101850466,118.3888007766098,29.112000190969624
2206300024B,22,063,00024B,145,150,35,46,9,12,16,14,9,95,0
2206300024C,22,063,00024C,347.77981651376143,312.11009174311926,90.1651376146789,69.35779816513761,32.69724770642202,45.57798165137614,69.35779816513761,67.37614678899082,15.853211009174311,208.07339449541283,49.54128440366972
2206300026A,22,063,00026A,216.89873295618395,166.36109793699828,81.59969768180508,59.902898054740525,20.52542618757609,32.20675484697338,68.6543530702396,38.69196419401439,8.551451023413199,164.9710890285756,52.58906214718799
2206300026B,22,063,00026B,133,114,57,49,15,25,24,28,14,127,14
