GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRFIS,G18USSDRAY,G18USSLSCH,G18GOVRRIC,G18GOVDKRI,G18SOSREVN,G18SOSDDAN,G18TRERMUR,G18ATGRPET,G18AUDRJAN,G18AUDDSKI
31153000060,31,153,000060,501.2765121850975,297.67403012000074,30.570703300776344,508.6711241570868,319.34615856840867,513.2219582234528,295.4612363821941,672.9520016948825,660.1795271656633,494.6072224014439,293.9116839182063
31153000061,31,153,000061,1872.7975653757746,873.176346206599,76.4693031861922,1878.970042448283,949.0877319664426,1865.586956555431,846.581399571452,2221.3362165494063,2228.5761413866635,1744.1908895876331,928.9592923664752
31153000062,31,153,000062,771.998782792579,584.4591416226175,68.81793818129238,796.933066204741,631.334256250013,796.9307418096337,596.4269733943407,1074.1995682440122,1060.2373192146313,748.0574742895865,612.3875413445955
3115500003P,31,155,00003P,419.2019758507135,156.38529088913282,21.042810098792536,418.1097694840834,177.51372118551043,417.1624588364435,149.39517014270032,484.3402854006586,477.3336992316136,383.0307354555434,193.54335894621295
3115500004P,31,155,00004P,599.8519179304193,209.2506690454951,24.91079393398751,595.8661909009812,240.1400535236396,605.8305084745763,196.29705619982158,682.5557537912578,687.5379125780553,551.0267618198037,260.0686886708296
3115500004W,31,155,00004W,475.11667189012616,238.0284721971142,26.005995664682153,463.1183703974738,272.03411398100235,480.1125559390324,190.02794564176688,553.1197885637729,565.1203151191202,440.10907685290414,227.03059812500135
3115500006P,31,155,00006P,302.11550688802544,80.03073119039209,11.00317908866125,305.1049099258213,90.04662663369834,276.11126810314374,80.02967149417167,300.11762628046625,301.11762628046625,272.09219357117627,85.04874602613917
3115500007P,31,155,00007P,197,72,12,206,85,190,58,212,209,168,81
3115500008P,31,155,00008P,249.39774372800233,74.43544687015472,12.040435674456537,250.42466462522648,89.43618634451215,234.42016942513942,76.38272887572818,262.6596877402371,260.6707084259735,229.41065686508912,80.39775177864666
3115500009P,31,155,00009P,239,97,24,248,109,240,99,286,286,223,123
311550000W1,31,155,0000W1,279.94003214385856,177.19392975420877,27.867937946439103,281.91189930054645,200.10691891005183,285.9073190071806,175.19509630538607,358.58552640606297,352.6171159472353,280.89281965478676,180.19835970272374
