GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20USSRSAS,G20USSDJAN,G20USSLSIA
31055006-27,31,055,006-27,536.6186046073595,675.9263083219256,28.84316178151128,655.1980726077174,338.662026030946,73.96728740063386
31055006-28,31,055,006-28,730,695,29,817,387,76
31055006-29,31,055,006-29,639.6586973610558,485.51843335166245,15.227925038153439,724.2984126880981,228.6942158493984,59.23726840838917
31055006-30,31,055,006-30,412.9501139366598,265.73247242112416,7.40717693159928,498.1326486500516,110.18175685753928,23.14742791124775
31055006-31,31,055,006-31,945.5013740628708,609.9059939091259,21.488515723411638,1107.2565588527107,277.15630418306574,68.07566199045043
31055006-32,31,055,006-32,1080.885904438888,622.2147989535831,31.708782102339494,1204.1316446066744,308.2552757574939,82.66751385888513
31055006-33,31,055,006-33,1027.467703553352,591.3385000794397,34.44304002285022,1149.882155790038,276.62244015109724,90.19516599047321
31055006-34,31,055,006-34,926.2077235609405,797.4647700193259,28.25124844427243,1097.823574329024,379.32261081991396,90.90231828237526
31055006-35,31,055,006-35,431.03595536397836,396.35490148411805,16.845083313075015,468.68967100496957,251.68536244241494,47.56258817809417
31055007-01,31,055,007-01,484.033890775401,713.7848847540114,33.225101287211025,547.5704239711577,478.1726660987196,95.1968960024691
31055007-02,31,055,007-02,631.0089889361698,789.0114560083251,25.0005740217391,713.0101736193335,487.0073767900089,79.00127017576312
31055007-03,31,055,007-03,583.6161767561165,831.0565578692629,28.598038198768197,668.464430030197,493.88860880655193,86.72386156779022
31055007-04,31,055,007-04,645.4392983291201,696.137937707415,36.074021300591376,718.2742871842386,431.6803525871549,89.78424296197322
31055007-05,31,055,007-05,504.0677174746528,877.7054613615064,42.16908920507796,570.7537190082645,544.2754536934481,92.1835903552867
31055007-09,31,055,007-09,540,773,39,590,535,78
31055007-10,31,055,007-10,549,793,36,611,498,91
31055007-11,31,055,007-11,580,753,35,634,484,99
31055007-12,31,055,007-12,702,728,27,832,375,65
31055007-13,31,055,007-13,782.6236058359658,659.6827328885535,37.98173310570459,918.558229582698,333.8394436132983,83.95962054945227
31055007-14,31,055,007-14,602.1275784440829,469.0200948770961,21.21956390322705,690.5391683655117,240.42293048570784,55.259625014152896
31055007-15,31,055,007-15,439.46657132312305,710.4151318453936,31.318296885036307,493.39331180023174,482.73657374136695,80.261789032647755
31055007-16,31,055,007-16,519.0270162349799,509.8086650251133,15.672229042349159,563.2781411433132,280.2565308310673,62.688865213767876
31055007-17,31,055,007-17,671,562,30,796,279,57
31055007-18,31,055,007-18,504,838,26,564,565,88
31055007-19,31,055,007-19,555.5136511512925,908.5769809818041,38.54908251314831,656.9075793686906,534.2375058094364,103.7764434248916
31055007-20,31,055,007-20,704.4863488487076,676.4230190181959,16.450917486851687,866.0924206313094,276.7624941905637,53.223556575108404
31055007-21,31,055,007-21,880.3142879484236,655.9881376222459,19.712890443252608,1028.7034668626493,275.7177454241787,77.24347334568007
31055007-24,31,055,007-24,543.3919730639957,729.6967728774384,34.30765264370273,626.1326476428507,438.97983686063446,96.32590138628215
31055007-25,31,055,007-25,604.506412441897,817.7762031294931,22.009474072614534,713.3285470564551,468.0068954275657,69.04934575358436
31055007-26,31,055,007-26,645.8851426165918,682.6947783209739,19.92412958120334,795.6881066276055,346.066431527143,55.7523016333395
31055007-27,31,055,007-27,665.3821044014493,619.5679262600537,35.149796846377484,770.6180027237456,321.67752725682095,75.0806735878097
31055007-28,31,055,007-28,430.86363193503564,399.81858732340896,17.18043972889334,499.25154298740875,206.9444379622342,50.28704642509461
