GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PRECCAS,G16PREOKEN,G16PREOFUE,G16PREOMOO,G16PREOLAR
34021015014,34,021,015014,471.06957214219176,398.815307074846,15.030680682734873,12.99484140948388,1.0083056874623082,0.0017242946667096765,2.9631462230864867,0.4560418354391641,0.025712535650089883
34021015015,34,021,015015,649,458,17,16,1,0,0,2,0
34021015016,34,021,015016,332,219,12,15,2,0,1,0,0
34021015017,34,021,015017,419.3299140151895,251.782737238895,9.094137940007657,8.023534485001914,0.011767242500957245,0.0058836212504786226,0,1.0117672425009572,0
34021015018,34,021,015018,365,189,12,13,1,0,1,1,0
34021015019,34,021,015019,191,250,14,3,0,1,0,1,0
34021015020,34,021,015020,247,295,23,4,0,0,0,0,0
34021015021,34,021,015021,201,192,13,8,1,0,0,0,0
34021015022,34,021,015022,159.36498516320475,232.2299703264095,10.244807121661722,10.089020771513354,0.04451038575667656,0,0.04451038575667656,0,0
34021015023,34,021,015023,642.4254196620074,241.03222503050307,10.501339973930586,9.445634869189117,1.9999880625147255,0.055711073484106456,0.9999940312573627,1.9999880625147255,0.9999940312573627
34021015024,34,021,015024,230,210,6,3,0,0,1,0,0
34021015025,34,021,015025,421,298,28.000000000000004,6,1,1,3,1,0
34021015026,34,021,015026,289,251,22,5,1,0,1,1,0
34021015027,34,021,015027,366,498,34,4,0,1,1,0,0
34021015028,34,021,015028,283,291,18,1,1,0,0,1,0
34021015029,34,021,015029,244.57083196761644,203.966408127433,8.498600338643042,7.554311412127149,0,0.9442889265158936,0,0,0
34021015030,34,021,015030,247,331,19,6,1,0,0,1,1
34021015031,34,021,015031,589.2462736172203,703.2608500201989,41.93086694850105,8.621161251427111,0.3001147156845156,0.974025974025974,0.9741050190219395,1.4766437750730945,0.25138794551952565
34021015032,34,021,015032,233,270,11,13,1,0,0,1,1
34021015033,34,021,015033,295,298,19,6,2,1,0,1,0
34021015034,34,021,015034,258,233,12,12,1,0,0,0,0
34021015035,34,021,015035,376,376,16,11,0,0,0,1,0
34021015036,34,021,015036,226.99999999999997,226,13.999999999999998,1,1,0,1,0,0
34021015037,34,021,015037,182.40506676565502,176.54030109419315,10.073947375324513,4.6055019868650255,0,0,0,0.7855616520107223,0
34021015038,34,021,015038,291,329,18,4,2,0,1,0,0
34021015039,34,021,015039,279.13912096879665,183.1064486200641,11.00562104924431,2.0014052623110774,1.0007026311555387,3.5131557776931356e-4,0,1.0007026311555387,0
34021015040,34,021,015040,232,209,22,6,0,0,0,1,0
34021015041,34,021,015041,455.5244755244755,325.45454545454544,16.825174825174827,10.636363636363637,0.20279720279720279,1,0.8111888111888111,1.2027972027972027,0
34021015042,34,021,015042,254.090198191575,300.09730284365116,18.004633468745293,6.003706774996234,9.266937490585665e-4,0,3.088979163528555e-4,1.0003088979163528,0
34021015043,34,021,015043,291.90980180842496,314.90269715634884,14.995366531254707,11.996293225003766,2.9990733062509416,0,0.9996911020836472,0.9996911020836472,0
34021015044,34,021,015044,225.38507821901322,304.98916967509024,10.54993983152828,1.9181708784596871,0,0.9590854392298436,0,0,0
34021015045,34,021,015045,293,518,22,6,2,0,1,1,0
34021015046,34,021,015046,209,316,8,1,1,0,1,0,0
34021015047,34,021,015047,396.0254957507082,495.19546742209633,15.028328611898017,2.011331444759207,1,0,0.0028328611898017,0,1.0028328611898016
34021015048,34,021,015048,245,215,2,0,2,0,1,0,0
34021015049,34,021,015049,220.21887655838393,373.0438472334537,13.866587791111634,2.400418611733052,0.7238536432059434,0.0187012987012987,0.02168064275019064,1.4634649829073225,0.7238392884088231
34021015050,34,021,015050,398,402,26,6,1,0,0,1,1
34021015051,34,021,015051,279.6350148367953,229.7700296735905,10.755192878338278,3.9109792284866467,1.9554896142433233,0,1.9554896142433233,0,0
34021015052,34,021,015052,401.4222695765657,340.38951513537313,23.40841394974826,14.009729400689684,4.643153005412263,0,0.9366576395277421,0.008027038445289396,0
34021015053,34,021,015053,219.46449040097025,277.45307526301525,16.05837734641246,4.46066037400346,0,0,0,0.8921320748006921,0
34021015054,34,021,015054,320.4755244755245,186.54545454545453,7.174825174825175,10.363636363636363,0.7972027972027972,0,3.1888111888111887,0.7972027972027972,0
34021015055,34,021,015055,465,505,18,17,2,0,1,2,0
34021015056,34,021,015056,316,362,26,6,1,0,0,0,0
34021015057,34,021,015057,283.6396959909368,373.15752470402293,20.051173313592084,1.1407348158401884,0.016256017665951077,0,0,1.9888613136932576,0.016256017665951077
34021015058,34,021,015058,233,267,15,6,1,0,1,0,0
34021015059,34,021,015059,412,491,16,6,7,0,0,2,0
34021015060,34,021,015060,353,467,16,9,2,0,0,0,0
34021015061,34,021,015061,360.9745042492918,420.80453257790367,9.971671388101983,3.988668555240793,0,0,0.9971671388101983,0,0.9971671388101983
34021015062,34,021,015062,193,224,13,6,1,1,0,2,0
34021015063,34,021,015063,266,192.00000000000003,10,2,0,0,1,2,0
34021015064,34,021,015064,290,365,18,8,5,0,1,0,1
34021020001,34,021,020001,428.6384266263238,221.6838124054463,17.372163388804843,11.186081694402422,1,0.06202723146747352,0,1.0620272314674735,0
34021020002,34,021,020002,297.7519610132892,200.39141604350564,19.850058599151033,9.4524207392548,4.3022903524595425e-6,2.1511451762297713e-6,0,2.1511451762297713e-6,0
34021020003,34,021,020003,352.2421052631579,169.6042105263158,13.149473684210527,6.5473684210526315,0,0,0,1,1
34021020004,34,021,020004,374.03995494969314,146.01545155341668,13.000807170700872,6.000461240400498,5.765505006224279e-5,0,0,1,0
34021025001,34,021,025001,424.14592734227796,116.08980144140183,18.00311810560423,6.002182673922961,6.236211208460064e-4,3.118105604230032e-4,1.0006236211208461,3.118105604230032e-4,0
34021025002,34,021,025002,455.0437329955946,158.02691261267358,24.000934465717833,10.000654126002484,1.8689314356666842e-4,9.344657178333421e-5,1.8689314356666842e-4,3.0000934465717832,0
34021030001,34,021,030001,415.68633275667264,231.40881216834626,13.420534442131988,15.257379840903118,0.030187852379200932,0,1.9017713527118447,1.4990017089953754e-5,0
34021030002,34,021,030002,508.6516769249555,307.7489358086414,39.5266625799996,13.183138108168178,1.000026765526875,1,2.676552687498208e-5,1,0
34021030003,34,021,030003,326.35621890547264,245.25572139303483,22.47363184079602,7.816915422885573,0,0,0,0,0
34021030004,34,021,030004,409.99999999999994,304,35,4,3,0,0,0,0
34021030005,34,021,030005,646.9221460137954,311.96245681036197,37.99542743203126,10.998676361903787,0,0,0.9998796692639806,1.9997593385279613,0
34021030006,34,021,030006,467.8103396621275,287.88328594592457,9.995947428677937,6.9971632000745565,1.9991894857355874,0.9995947428677937,1.9991894857355874,0.9995947428677937,0
34021030007,34,021,030007,488,334,18,12,1,0,2,0,0
34021030008,34,021,030008,529.2871687710806,276.13703300673234,36.016378447019804,4.004367585871948,0,0,0,1,2
34021030009,34,021,030009,393.23367292733496,218.03678654177796,27.522601936124705,5.596546512110813,2,0,1.0744869568797981,1.084761787380314e-4,0
34021030010,34,021,030010,975.9582116639064,412.7136870570554,37.881932628425375,7.975143711247447,4.984464819529654,0.9968929639059309,0.9968929639059309,0.9968929639059309,0
34021030011,34,021,030011,458.13106217083225,215.64954553377572,11.925320490347044,14.906650612933806,6.956436952702442,0,0,0,0
34021030012,34,021,030012,420,256,19,14,1,0,1,0,0
34021035001,34,021,035001,558.0851501489458,186.35023179713932,21.24199533438894,10.62099766719447,0,0,1.9310904849444488,0,0
34021035002,34,021,035002,451.6427651295465,250.11053692505797,13.007022548936298,8.097438781286682,1.9681017081617735,0.015398309634326427,0.9714892285742656,2.843149505806575,0.015398309634326427
34021035003,34,021,035003,658.4840909090909,143.02954545454546,15.670454545454545,9.222727272727273,0,0,0.11136363636363636,1,1
34021035004,34,021,035004,525.3612419341567,250.502767266415,29.96932475632014,7.9593817514505885,0,0,0,0,0
34021035005,34,021,035005,331.7978588551073,171.83300758434856,6.964012082618611,2.9860884627364697,0,0,2.9776220696969062,0.9939517554055627,0
34021035006,34,021,035006,408.00555352193794,218.23399566540667,17.188516680945632,15.282923513031836,0.20316570948312088,0,0.9731978091181477,1.8647060633783628,0
34021035007,34,021,035007,469,209,26,2,0,0,0,1,0
34021035008,34,021,035008,328.02272098518296,192.78064951343137,10.812075898544924,9.717330449606974,4.7968342905168795,0,1.0270561535206628,0.13537859083457396,0
34021035009,34,021,035009,209.99609052361532,112.75579171583367,2.9779953664598446,1.969767197360206,0.9679088852280208,0,0.022077542102720612,0.009337828167814196,0
34021035010,34,021,035010,353.82338276642406,164.8250560095334,9.545201244217552,6.182148622309858,0,0.09082603720226079,2.0004965479053367,1.6551596844563453e-4,0
34021035011,34,021,035011,335,130,11,7,0,0,0,0,0
34021035012,34,021,035012,548.2318995670367,238.20357825300766,15.455957367561567,1.8183479255954784,0,0.9091739627977392,0,0,0
34021035013,34,021,035013,516,172,19,7,0,0,2,0,0
34021035014,34,021,035014,317,163,13,6,0,0,2,0,1
34021035015,34,021,035015,661.3026657839056,219.04886687129502,19.77987731396123,17.366559356932072,0.9968827599935277,0.9968827599935277,0.4249305591106886,0,0
34021035016,34,021,035016,1733.6714064067212,460.4373758137638,38.845384639742285,29.638500495431405,2.6777479062530385,1.4478778185914694,1.878142665234765,1.9280080467071505,0.9815228645398709
34021035017,34,021,035017,576.0794195949007,255.94499669763755,10.38080249910474,6.2068591353909035,0.018120118716674093,0,0,1,0
34021035018,34,021,035018,533.6799085213286,269.8048426413383,19.765922537826984,4.941480634456746,3.9531845075653966,0,0.9882961268913492,0.9882961268913492,0
34021035019,34,021,035019,502.3657988896721,138.83086566745447,13.19308303182489,7.881114938656513,1.7784483138830487,0.5744470963648791,1.176447705123964,1.176447705123964,0.02755351239420558
34021035020,34,021,035020,404.61218406714863,144.60090133156567,17.978127351649835,9.012442975873459,0.0031172400064723056,0.0031172400064723056,2.6439789559448625,0,0
34021035021,34,021,035021,284.2308176439328,211.83192476783057,14.426824343400598,5.176725041362002,1.1059137202025064,0.003107036094069128,1.01481090920272,0.014810909202719932,0
34021040001,34,021,040001,381.06468822859364,123.03119432352584,12.003799308634555,9.001099799867898,1,1,9.998180617253996e-5,1.999636123450799e-4,0
34021040002,34,021,040002,392.01316575761086,99.0063488661122,24.000773259334178,3.000223838228315,1,1,1.0000203489298467,4.069785969357374e-5,0
34021040003,34,021,040003,376,87,9,3,0,0,0,0,0
34021050001,34,021,050001,740.44150065408,176.21214038073717,16.90413795511706,6.696694048843676,0.09290640738125495,1.0948054288051823e-5,0.046458677717771506,0.046458677717771506,0.0464367816091954
34021050002,34,021,050002,382,95,23,0,1,0,0,0,0
34021050003,34,021,050003,357.3515892947626,149.36019972685267,21.014296796660055,2.036250662677464,0,0,0,0,0
34021050004,34,021,050004,438,131,18,4,1,0,1,0,0
34021050005,34,021,050005,334,95,13,7,1,0,0,0,0
34021050006,34,021,050006,442,71,21,8,0,0,0,0,0
34021050007,34,021,050007,929.0582107843137,37.0453431372549,39.96997549019608,25.346813725490193,0.9748774509803921,0,0.9748774509803921,0.9748774509803921,0
34021050008,34,021,050008,440.62673796791444,31.11764705882353,2.4449197860962566,10.222459893048129,0,0,1,0.16684491978609628,0
34021050009,34,021,050009,634,35,5,18,0,0,1,0,0
34021050010,34,021,050010,388,83,16,14,0,1,0,0,0
34021050011,34,021,050011,783,138,18,13,3,1,2,1,0
34021050012,34,021,050012,415,52,5,3,0,0,0,2,1
34021050013,34,021,050013,740,117,25,25,2,0,1,0,0
34021050014,34,021,050014,487.9265944849538,101.71581721122354,4.603963120526268,3.2871069557793167,0.028846153846153848,0,0.028846153846153848,1.9990969448785187,0
