GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREIMCM,G16PRECCAS,G16PRESLAR,G16PREAROC,G16SOSRESP,G16SOSDOLI,G16SSCRNAK,G16SSCDVIG,G16SACRFRE,G16SACDVAR
35001000053,35,001,000053,108.4271133087118,263.5515180698455,36.35007493979556,2.0890159300964104,4.014835988349402,5.044507965048205,0,0.014835988349401731,111.09473278443488,288.92241777858055,159.92554813200138,228.79488266402598,126.79801301744685,259.95208975527936
35001000054,35,001,000054,192.79829275276646,351.6061350491203,75.22476740353603,7.80108698999633,9.472748487852687,1.6716614978563564,0.5572204992854521,0.5572204992854521,213.41545122632817,395.06933399338556,261.33641416487706,334.8895200705567,215.08711272418452,378.352719014822
35001000055,35,001,000055,55.58247422680412,117.60438144329899,23.04639175257732,2.711340206185567,0,0.3389175257731959,0.6778350515463918,0.3389175257731959,55.58247422680412,133.5335051546392,85.74613402061856,99.6417525773196,61.68298969072165,121.67139175257732
35001000056,35,001,000056,237.07589328940068,397.69092572287076,73.20074202012523,5.350663045817494,3.0566055986554144,2.1587873420812342,0,1.0621203255979184,246.54042432475677,439.1943013203362,300.7599703919425,377.9033052764097,252.50757743661356,420.1751590710269
35001000057,35,001,000057,348.99984276477335,430.28236238507344,80.58973472898732,5.485256057771879,6.16338215428279,0.10535986371226645,0.010087823297207397,0.7988324710369887,354.48846425274877,486.0907504896951,491.77802203283187,344.224260728658,412.7869995283021,399.40676601901197
35001000058,35,001,000058,56.25806396244347,102.00251549190946,14.85024554698245,2.149846317579825,0.024935524144587103,1.0179862215638251,2.0009927575115376,0.0349796856161126,58.81452748705436,113.77171881639548,67.0292987342337,100.38216572749172,54.78649710401901,108.35815230678365
35001000059,35,001,000059,118.97816593886462,303.70742358078604,62.620087336244545,4.6965065502183405,0.5218340611353712,0.5218340611353712,0.5218340611353712,1.0436681222707425,140.8951965065502,331.88646288209605,185.77292576419214,278.1375545851528,143.5043668122271,318.3187772925764
35001000060,35,001,000060,135.91691394658756,262.566765578635,48.909495548961424,4.6335311572700295,1.5445103857566767,0.5148367952522255,0,0.5148367952522255,139.5207715133531,283.6750741839763,187.9154302670623,232.19139465875372,134.88724035608308,281.61572700296733
35001000061,35,001,000061,100.99764775751704,294.9931295887874,33.99920815599584,4.999883552352329,0,0,0,0,109.99743815175123,302.99294327255114,139.9967394658652,269.9937118270257,105.99753130986937,299.9930131411397
35001000062,35,001,000062,69.96389133328175,230.88084139982976,36.980913990448926,4.997420809520125,0.999484161904025,1.99896832380805,0,0,82.95718543803407,244.87361966648612,118.93861526657896,199.896832380805,86.95512208565017,232.87980972363783
