GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVDSMI,G18GOVRMCM,G18GOVOWRI,G18SOSDWHI,G18SOSRHAM,G18SOSOWRI,G18TREDGLE,G18TREWGLE,G18TRERLOF,G18TREAWOR,G18TREOWRI,G18ATGDANA,G18ATGWANA,G18ATGRWIL,G18ATGOWRI,G18COMRECK,G18COMOWRI,G18SPIRMIT,G18SPIOWRI,G18AGRUNEL,G18AGRGEDM,G18AGRRWEA,G18AGROWRI
45019000301,45,019,000301,516.2632375189107,567.3978819969743,3.9334341906202726,426.77760968229956,632.2995461422088,2.950075642965204,375.642965204236,19.667170953101362,655.9001512859304,12.783661119515886,0.9833585476550681,483.8124054462935,29.500756429652043,567.3978819969743,0,774.8865355521937,10.81694402420575,683.4341906202723,14.750378214826021,32.450832072617246,190.7715582450832,693.267776096823,0
45019000302,45,019,000302,319,323,0,274,361,0,245,19,345,23,1,277,23,333,0,438,16,363,7,23,140,377,0
45019000303,45,019,000303,516,404,2.9999999999999996,462.99999999999994,440,1,414,19,459.99999999999994,11,1,475,15,428.99999999999994,2,562,18,481,22,31,191.99999999999997,500,4
45019000304,45,019,000304,492.1924227544629,434.21054674135615,3.8561674241054117e-4,416.1700569834031,490.2267426445374,0,381.14807682908565,20.00616986787857,486.2332981291584,17.008483568333034,0,457.1750700010544,25.01156850227232,426.20977550787137,7.712334848210823e-4,640.2803433717324,11.010026035302674,517.2371542965825,16.010026035302676,35.016581519923655,209.079822665679,528.2467947151428,0.0026993171968737882
45019000305,45,019,000305,345.8015832395431,526.971271440462,1.0036103872535935,254.59218077883472,601.122907705113,1,235.3863887053799,14.057766196057495,599.184284288424,15.079428519579055,0,295.6391158131314,23.108311617607804,546.9640506659549,0.00722077450718691,668.6247515333624,9.09387006859343,621.2203881609599,19.09387006859343,23.15524665190452,109.74735016149384,643.3106478422998,1.0252727107751543
45019000306,45,019,000306,497.005994005994,543.8181818181819,0.996003996003996,439.23776223776224,585.6503496503497,0,382.46553446553446,15.936063936063936,602.5824175824176,21.912087912087912,0,452.1858141858142,29.88011988011988,541.8261738261738,1.992007992007992,724.0949050949051,25.896103896103895,612.5424575424576,25.896103896103895,42.828171828171826,206.17282717282717,637.4425574425575,6.972027972027972
45019000307,45,019,000307,299,255,0,260,292,0,244,7,292,11,0,277,15,262,0,359,12,311,7,15,113,319,1
45019000308,45,019,000308,226,271,0,196,293,0,165,12,292,18,0,204,19,270,0,354,4,311,17,11,85,322,1
45019000309,45,019,000309,274.7367624810893,326.60211800302574,0.06656580937972768,204.22239031770044,372.7004538577912,0.049924357034795766,205.35703479576398,11.332829046898638,364.0998487140696,5.216338880484114,0.01664145234493192,257.1875945537065,24.499243570347957,307.6021180030257,0,414.11346444780634,7.183055975794251,372.5658093797277,17.24962178517398,11.549167927382753,104.22844175491679,379.732223903177,0.9999999999999999
45019000310,45,019,000310,244.1894589405743,338.56091626888946,0.9850167769199886,194.45794942306273,374.35611342858635,0,183.4138488261272,10.729907747531414,370.05941524279467,7.209310287844037,0,221.36759524930653,11.714924524451401,338.6865934086511,0,431.5890881958116,0.5027085590465872,374.5021909095212,5.867662432812294,9.996245250134718,84.12058270593462,400.8666899480108,0.0628385698808234
45019000311,45,019,000311,351.52405867966996,319.14571419374596,0.006684467893289457,306.2032042207921,356.37967057001106,0,289.1363595418592,7.0668446789328945,361.34624823054463,4.046791275253026,0,325.3836848539109,15.073529146826184,326.1457141937459,0,424.7339473683554,22,361.37298610211775,16.033422339466448,22.060160211039605,140.52138849567658,374.5467822673433,3
45019000312,45,019,000312,592.8921161825726,500.66390041493776,0.008298755186721992,529.49377593361,544.954356846473,0,486.41078838174275,20.08298755186722,546.9128630705394,22.058091286307054,0,530.7178423236514,29.09128630705394,518.6639004149378,0,693.3941908713693,15,574.9460580912863,27.04149377593361,38.0746887966805,242.64730290456433,595.161825726141,3
45019000313,45,019,000313,347.7057820810805,300.74551840921043,2.997463638630004,314.7336820561504,328.7218457030905,0,278.7641183925904,11.989854554520017,327.72269115688044,21.981400016620032,0,298.7472093167904,24.978863655250034,320.7286093334105,0,422.6423730468306,10.990700008310016,352.7015548121305,10.990700008310016,42.963645487030064,88.92475461269012,368.6880275514905,0
