GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREIMCM,G16PRECCAS,G16PREASKE,G16USSDDIX,G16USSRSCO,G16USSLBLE,G16USSASCA,G16USSOWRI
45083000004,45,083,000004,553.846099347711,1653.1213285941694,85.89383582598187,9.38516475865452,32.45537756353185,13.094923954428063,3.9910657382013213,508.71946328499376,1761.7401805954175,36.633449344124294,14.225826906344217,1.0850218914558796
45083000007,45,083,000007,436.5253057313245,800.1720957774768,40.78402655106258,7.506186645647742,6.012373291295484,1.1687288818825807,0,320.83576831437165,920.4645575723142,24.024746582590968,4.337457763765161,1.0843644409412903
45083000008,45,083,000008,696.8511862873228,1620.3450789182668,70.79380717804364,20.2734744143963,26.858123052176538,4.269779833115512,7,617.4395043731779,1696.1871921182267,54.42522871217452,8.335804765255856,0.003694581280788177
45083000010,45,083,000010,470,1396,38,7,22,4,1,369,1506,24,4,4
45083000011,45,083,000011,381.40717092337917,2138.8521611001966,50.52406679764243,7.9253438113948915,20.80402750491159,6.93467583497053,2.9720039292730847,361.59381139489193,2176.4975442043224,38.6360510805501,5.944007858546169,1.9813359528487229
45083000012,45,083,000012,346,1195,22,15,12,3,3,346,1132,53,14,1
45083000013,45,083,000013,302.63970432694754,1351.3911549648847,14.98216358054196,11.985730864433567,8.989298148325176,10.986919959064103,0.9988109053694639,260.68964630143006,1343.400667721929,53.935788889951056,9.98810905369464,0
45083000014,45,083,000014,450.71389205817974,575.6105127490006,22.214813956865374,17.278188633117516,13.822550906494012,4.442962791373075,1.9746501294991445,426.5244279718152,603.2556145619886,26.164114215863666,4.442962791373075,0.49366253237478613
45083000016,45,083,000016,207.35546195692896,407.5579158043433,8.300753926845154,1.8795761286715973,2.7460426640965507,0.9382601222850352,0.006697923643670462,182.10875698542793,406.47761613991463,17.295250899057947,6.339169355026104,0.023735810473154987
45083000017,45,083,000017,116.21307102855422,593.90786906635185,4.984669619675015,0.9977786969022681,2.0377960421677885,1.0400173452655204,1.9659903399502594,110.17571246910471,571.5714194388668,19.70636591270217,5.910642614359754,0.004223864836325237
45083000018,45,083,000018,662,662,20,9,7,5,3,599,721,24,1,1
45083000019,45,083,000019,218,748,21,7,9,1,1,224,728,22,4,5
45083000022,45,083,000022,170,385,14,7,3,0,1,136,395,20,2,1
45083000024,45,083,000024,246,552,9,2,0,1,2,208,543,23,4,0
45083000026,45,083,000026,255.11825902735427,966.7757853306038,26.661653416988663,7.140220187012186,6.235417842236861,4.067322586648474,0,265.536349886792,923.9258882788496,34.51885473607632,2.6162084631355573,0.9944249862847598
45083000027,45,083,000027,156.85535236589192,739.4183514337361,20.865831384702666,1.207626323165798,6.983758252453354,2.0905678302334865,0.9683848797250859,141.1561301959128,740.3012929408038,18.26827288709404,8.903439337372047,0.06835469812591771
45083000028,45,083,000028,103.46321235103764,367.27853221937715,5.610937248620991,0.0019895823280655614,4.807920365366977,0.8044063927950087,6.335797254487857e-4,93.04757797189026,349.65295306434587,9.623520852927644,6.409641423886961,2.1119324181626187e-4
45083000029,45,083,000029,399,1184,20,10,13,5,0.9999999999999999,342,1233,27,3.9999999999999996,3
45083000030,45,083,000030,270.34045560624054,1069.4556356112241,22.27692461559446,14.070080709533968,12.199104483197207,2.1313852271071525,1.3235554742777609,253.23737376321841,1080.022765641369,27.153841687388507,8.427036328419604,1.009763825184551
45083000031,45,083,000031,348,352,14,1,7,2,1,309,357,20,8,1
45083000033,45,083,000033,640.2029587698113,112.69688841466619,6.464998831564628,2.7705053145322243,5.539794551590853,0.9232585560160222,2.4321549471916632e-4,585.7759420468836,127.46756601795424,5.541983491043325,6.458432013207211,0.9222856940371457
45083000034,45,083,000034,201.37950384186774,739.00777965158,16.931719378087102,4.860885425598649,9.089674801368352,0.11237470345644729,0.9797520898637241,200.5598138480444,718.5257718988022,18.239513973534915,7.225908237943628,2.914043583535109
