GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW,G20PREAFUE,G20USSRGRA,G20USSDHAR,G20USSCBLE,G20USSOWRI
45053000109,45,053,000109,173.67374005305038,138.9389920424403,5.660477453580902,1.2864721485411141,0.2572944297082228,167.49867374005305,146.657824933687,4.374005305039788,0.7718832891246684
45053000110,45,053,000110,67.06070826306915,476.3204047217538,1,1,4,64.05396290050591,481.3237774030354,2.0067453625632377,0
45053000111,45,053,000111,467.2774990351216,204.68351987649555,3.993824778077962,0,0,447.30837514473177,217.66345040524894,12.979930528753378,0
45053000112,45,053,000112,321.7740350877193,388.72701754385963,9.99298245614035,0.9992982456140351,0,301.7880701754386,407.7136842105263,12.990877192982456,0
45053000113,45,053,000113,209,332,2,3,0,195,335,15,0
45053000114,45,053,000114,365,209,4,1,0,346,222,12,0
45053000115,45,053,000115,1127.113304223723,744.0482006197739,8.59991905987976,2.8656798121924987,0.716317109358758,1170.7736810402225,713.9925010092436,8.597862186092428,0.0012341242723991582
45053000116,45,053,000116,285.1764705882353,218.0392156862745,1.5686274509803921,0.3137254901960784,0.3137254901960784,280.156862745098,218.98039215686273,5.647058823529411,0
45053000117,45,053,000117,948.2129557232269,696.0128073377858,19.739603486539337,4.847848039266387,1.0263884609330192,947.7276452197245,706.3496740570695,16.028132508867785,2.2268825866029323
45055000101,45,055,000101,538.6994219653179,321.242774566474,7.907514450867052,2.9653179190751446,0.9884393063583815,518.9306358381502,340.02312138728325,13.83815028901734,0.9884393063583815
45055000102,45,055,000102,410,234,3,3,1,400,238,12,1
45055000103,45,055,000103,542,348,6,0,1,525,353,19,2
45055000105,45,055,000105,625.1567524115756,124.69935691318328,6.092443729903537,0.018488745980707395,1.0554662379421222,607.0458199356913,133.69935691318327,16.184887459807072,2
45055000107,45,055,000107,467.1716814159292,641.8619469026548,9.982300884955752,3.9929203539823006,0.9982300884955752,460.18407079646016,645.8548672566371,13.975221238938053,0.9982300884955752
45055000108,45,055,000108,137,147,2,1,0,140,144,3,0
45055000109,45,055,000109,739.3005780346821,590.7572254335261,25.09248554913295,6.034682080924855,1.0115606936416186,778.0693641618498,591.9768786127167,7.161849710982659,2.0115606936416186
45055000111,45,055,000111,525.9888996747718,393.1895609788311,14.189551886855444,1.2755266794617628,0.15948632974316487,527.105303982974,389.84107597119174,17.378186606268073,1.2755266794617628
45055000112,45,055,000112,148.57670454545453,272.2244318181818,1.9943181818181819,2.991477272727273,0.9971590909090909,145.58522727272728,272.2244318181818,4.985795454545454,0
45055000113,45,055,000113,157.56334973903245,134.77116707237997,2.9728933913024993,0,0,164.50010098540494,124.86152243470497,5.945786782604999,0
45055000115,45,055,000115,753,301,9,6,3,729,312,27,2
45055000117,45,055,000117,624.9319009468318,586.428987618354,9.872541879096868,0.9872541879096868,0,612.0975965040058,596.3015294974508,14.808812818645302,0
45055000119,45,055,000119,866.4531436960253,434.305387381646,14.87634204947456,2.962522597804599,0,825.9738320674228,446.2319526454063,42.47132110992612,3.9330357142857144
45055000121,45,055,000121,231.43665026096755,139.22883292762003,6.027106608697501,1,0,222.49989901459506,144.13847756529503,9.054213217395002,1
45055000122,45,055,000122,1096,711,32,7,1,1079,725,42,4
45055000123,45,055,000123,824.2354629807605,520.5171832884561,4.995366442307639,2.997219865384584,0,795.2623376153762,525.5125497307637,23.97775892307667,2.997219865384584
45055000124,45,055,000124,617,427,11,1,5,602,445,12,1
45055000125,45,055,000125,880,558,18,7,0,853,582,21,3
45055000126,45,055,000126,690,341,19,4,0,682,355,18,1
45055000127,45,055,000127,472.76453701923947,457.48281671154393,12.00463355769236,2.002780134615416,0,455.7376623846238,467.4874502692363,19.02224107692333,3.002780134615416
45055000130,45,055,000130,241,28,1,0,0,235,29,6,0
45055000131,45,055,000131,329.59266600594646,113.75322101090188,0,0.9722497522299306,0,333.4816650148662,107.9197224975223,1.9444995044598612,0
45055000132,45,055,000132,597,366,11,3,1,582,375,16,1
45055000133,45,055,000133,933,469,20,5,0,907,485,32,2
45055000134,45,055,000134,883,364,18,3,1,877,373,18,2
45055000135,45,055,000135,822.6149553571428,319.265625,14.251116071428571,2.0502232142857144,0,800.9285714285714,333.46651785714283,25.71986607142857,0.06696428571428571
45055000140,45,055,000140,571,488,6,2,0,563,490,15,1
45055000143,45,055,000143,1211,416,9,4,1,1204,410,26,0
45055000146,45,055,000146,90.8283185840708,448.1380530973451,2.017699115044248,3.007079646017699,0.0017699115044247787,85.81592920353982,455.1451327433628,1.024778761061947,0.0017699115044247787
45055000147,45,055,000147,693,285,11,2,3,682,286,24,2
45055000149,45,055,000149,428,307,8,2,0,424,310,7,1
45055000150,45,055,000150,623.4343957797737,648.586007202987,9.816129931326374,1.7329960478109645,0.8433545793477442,629.3094687442988,640.9344922106264,11.636017939186472,1.7244733205382372
45055000152,45,055,000152,875.6225329579587,299.19625211661236,5.910220017757375,1.9637479127023125,0,854.0545144076215,301.2121847983534,27.42130972914324,1.949515702964485
45055000154,45,055,000154,803,456,12,3,2,782,468,26,0
45057000001,45,057,000001,507,151,4,1,1,489,163,11,0
45057000002,45,057,000002,1312.3193929591407,891.5907047926005,15.376316255241576,3.0578752133636677,1.018572987819215,1321.0386944963782,896.254388725269,9.385111079369315,1.985654599741006
45057000003,45,057,000003,535,97,6,1,0,517,113,13,0
45057000004,45,057,000004,282,129,2,1,0,276,130,6,0
45057000005,45,057,000005,156.19287022870964,647.8691446937958,8.192256746768303,1.0410613206280441,0,144.7563327927185,655.2322593927788,8.267942201354998,0.9956500478760275
45057000006,45,057,000006,908.7529274004684,630.7236533957846,11.789227166276346,4.912177985948477,0.9824355971896955,879.2798594847775,648.407494145199,23.578454332552692,0
45057000007,45,057,000007,1186.8605813503898,242.16172790809793,25.004721982718188,0.0023609913590940876,0,1146.8393324281578,266.1664498908161,43.01652693951366,0.0023609913590940876
45057000008,45,057,000008,748.6295857988166,405.6710059171598,11.758579881656805,0,0.9798816568047337,730.0118343195267,425.26863905325445,12.73846153846154,3.919526627218935
45057000009,45,057,000009,592.9152654367206,536.0934782495309,2.0214038098713027,3.0026581605528975,1.0026858656425222,570.8272136773995,549.1522348325909,18.061387038523264,1
45057000010,45,057,000010,574.9618510454656,669.7201613357832,15.350405369272654,3.0192344700431732,0,540.142415785211,697.9497656356626,21.118860984083,0.004349952123972553
45057000011,45,057,000011,592.6798810703667,311.5797819623389,4,4.004955401387512,1,568.6997026759168,320.55004955401387,14.009910802775025,0
45057000012,45,057,000012,824,450,11,2,1,773,486,27,1
45057000013,45,057,000013,551.610733884746,299.5836303099792,20.009034524922278,1,0.0018069049844556418,542.5890510249326,312.6016993598237,15.0162621448601,1
45057000014,45,057,000014,702,383,8,4,3,672,401,25,4
45057000015,45,057,000015,909.1049199657281,203.47074491014678,13.089779982242625,3.0590469336802446,0,882.7641179015955,217.31804315011044,27.624279963621877,0.050484297035515116
45057000016,45,057,000016,431,726,6,7,1,416,739,15,0
45057000017,45,057,000017,271,325,6,1,0,258,338,9,0
