GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREOFUE,G16PREOWRI,G16USSRAYO,G16USSDHAS,G16USSLCHA,G16USSIDAY,G16USSOWRI,G16GOVRSUN,G16GOVDVAN,G16GOVLABR,G16GOVOWRI
33011WEAR01,33,011,WEAR01,2956.2369032258066,1733.5525161290323,280.92748387096776,61.984,7.997935483870968,70.98167741935484,2885.2552258064516,1931.5014193548388,113.97058064516129,150.9610322580645,0,2848.2647741935484,1884.5135483870968,261.9323870967742,8.997677419354838
33011WILT01,33,011,WILT01,1059.966576616162,1026.9980971326488,107.8948725246752,33.96684672825634,0.9990281826990287,46.954205140235814,1059.9667119889964,1073.952178844712,63.9376683199035,66.93468916313736,0,1040.9850371633265,1062.963012170965,92.90947765506743,20.979528131816384
33011WNDS01,33,011,WNDS01,94.29765220851571,28.265817747711896,2.0282530839633903,1.0051730998806208,0.0047751691205730204,0.006764822920811779,77.28611221647434,35.27894946279348,1.0151213688818146,9.021090330282531,3.979307600477517e-4,70.27337843215281,35.27656187823319,8.042578591325109,2
330130BOW01,33,013,0BOW01,2112.0547133234127,2560.4562237228474,217.03809667069868,27.95507287081406,1.9869750154742056,138.0192796786077,2498.451184444802,2427.2885925039145,53.939776970631996,61.02108631480949,2.9768905312879075,2401.9992134234094,2438.1098732876635,147.61239579196913,6.945999547968567
33013ALLE01,33,013,ALLE01,1202.8247937964577,875.3436255746622,97.01298685783989,17.00833114852922,0.01732309517115315,30.12469523684103,1071.9000022725709,1023.5074310847639,38.02305837324972,75.86667850569081,3.9893665510592577,1080.6835161823653,965.7690164413232,114.92276692070475,13.947411503214619
33013ANDO01,33,013,ANDO01,673.6955255769079,703.4880713337077,49.05874522871641,7.011193441064396,1.9983234195086277,5.086744253624418,642.8109008030385,735.482564833212,20.018441075952083,33.01292516571092,1.0003296707374583,626.7566529360938,728.5275609576366,50.942063704689126,3.008622771445682
33013BOSC01,33,013,BOSC01,933.4420156583419,841.7479431324679,83.35443492503761,16.268258900606572,0.02314680780201341,39.317336658486994,882.1995275590107,888.4337366765678,41.044839305806065,55.96894296736171,1.0107115178613928,873.1636360063881,881.135596224497,81.16720974919797,6.065070214503693
33013BRAD01,33,013,BRAD01,481.23333418941775,438.64481521582337,40.69266198058505,14.871886299590297,3.976763343443453e-4,14.88451245862232,474.3703887646124,470.3479735378414,24.76746325727807,18.834675377682466,7.953526686886906e-4,468.4014372956195,457.4453404289194,42.64474047612624,5.942779443676497
33013CANT01,33,013,CANT01,671.2125114714612,804.8848051316924,57.91541470174567,19.58766290318539,0.9902166380255275,33.66382795248318,720.7965135664433,814.8956679306697,22.91296798866757,27.263211183137518,1.0021496640832575,671.6512596878403,841.3196895218406,48.97285210002732,5.946928427638594
33013CHIC01,33,013,CHIC01,839.55984341099,634.4078936108702,73.73424845493984,6.902967478900222,0.04442948684840734,14.200625407353408,826.4546112891962,681.0863103776586,19.783167031260472,43.337496286498244,0.04910351881877891,801.3566985849923,695.0457008204005,65.83085167920952,6.880380190116721
33013CONC01,33,013,CONC01,1010.0018268642208,1350.9183142012373,120.9658735944504,38.823726437476736,4.144074890206256,58.36026488910214,1013.5356007813735,1438.5458530493647,37.85819051973975,67.8084869580109,1.3334479085191466,950.737319412582,1466.0194559627598,108.62350599536775,5.318503479560554
33013CONC02,33,013,CONC02,841.8681983353729,1027.8320706952761,85.19737321463602,22.509775714379128,2.0227368263724768,51.9266564534661,805.5231291627355,1095.1271216522966,33.99462872836312,67.83163632287415,3.6621983914209113,791.666280557865,1102.4941569905932,91.03130750763654,3.930491074347741
33013CONC03,33,013,CONC03,528.7616026429695,907.0323223397278,71.640380429785,13.936000571877628,4.8507695119680685,40.128320813056696,581.8868788872473,919.2829781024544,26.51205896429266,25.775328488703263,0.03079921458355308,532.208829260813,943.2589255978679,57.33928612958459,6.828793625149645
33013CONC04,33,013,CONC04,601.4355914355914,1315.2706212706212,81.83467883467884,27.606879606879605,1.9719199719199718,41.41031941031941,615.2390312390312,1338.933660933661,38.45243945243945,44.36819936819937,2.9578799578799577,590.5900315900316,1306.3969813969813,110.42751842751842,7.887679887679887
