GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20USSDBOL,G20USSRMAR,G20USSLBUC
2005300009B,20,053,00009B,12.02597249075012,22.115145978286822,0,12.037227448290944,20.103313924801256,1.0021643742291768
20053000100,20,053,000100,22.926870601896702,75.84101177035346,0.20675368629043359,28.356363119054635,68.31446668035622,2.25068159596631
20053000110,20,053,000110,4,28,0,5,27,0
20053000120,20,053,000120,21,70,2,20,68,5
20053000130,20,053,000130,62.68536236622537,174.12600657284824,6.96504026291393,71.640414132829,152.2358800322616,15.920092029517553
20053000140,20,053,000140,3,43,3,4,40,5
20053000150,20,053,000150,6,24,1,8,24,0
20053000160,20,053,000160,5,18,0,5,17,0
20053000170,20,053,000170,9,43,0,10,42,0
20053000180,20,053,000180,7,28,0,8,25.999999999999996,1
20053000190,20,053,000190,2,41,1,5,32,7
20053000200,20,053,000200,1.9999381145293984,43.99863851964676,0,2.9999071717940975,40.99873134785267,0.9999690572646992
20053000210,20,053,000210,2,22,1,3,22,0
20053000220,20,053,000220,47,197,5,54,185,12
20053000230,20,053,000230,16.02409638554217,33.273092369477915,1,16.04016064257028,33.26506024096386,1
20053000240,20,053,000240,109,318,7,116,280,33
20055000010,20,055,000010,6,51,2,6,51,3
20055000030,20,055,000030,293.55488863938405,219.2605622351225,16.05428258428757,279.57901423240077,198.15802846480153,40.11459656682932
20055000040,20,055,000040,219,315,12,220,275,47
20055000060,20,055,000060,153.73584905660377,193.87798742138364,5.124528301886793,142.6327044025157,179.35849056603772,20.49811320754717
20055000080,20,055,000080,187,187,14,173,174,33
20055000100,20,055,000100,206.9096554135142,196.02103894365027,13.99631869458612,198.91975375334528,173.0251505772409,40.982785769426656
20055000110,20,055,000110,175,190,13,158,184,33
20055000120,20,055,000120,167,357,15,167,337,31
20055000130,20,055,000130,162,420,8,175,389,24
20055000140,20,055,000140,159.26415094339623,391.12201257861636,9.875471698113207,159.3672955974843,384.6415094339623,15.501886792452831
20055000170,20,055,000170,196.71315731259818,364.4179227634307,9.971634702481936,188.55454710147657,345.38116560414704,31.727928598806155
20055000190,20,055,000190,231,811,16,244,756,50
20055000200,20,055,000200,94.6393013880723,205.0334508195827,8.95041250271431,98.15572649767428,188.57455939257594,18.99396420011893
20055000220,20,055,000220,5,63,0,6,58,3
20055000250,20,055,000250,4,78,0,6,73,0
20055000260,20,055,000260,38,126,1,38,121,7
20055000280,20,055,000280,8,57,0,8,56,2
20055180010,20,055,180010,168,190,5,162,174,18
20055180020,20,055,180020,52.84785361541996,118.45208568973439,1.8223397798420675,61.959552514630296,101.13985778123474,5.467019339526202
20055180030,20,055,180030,141,227,12,139,219,21
20055180040,20,055,180040,119.29306416103833,224.94943100104982,5.02422017859821,115.31728433963654,220.8888805545543,15.053284392916062
20055180050,20,055,180050,158.65612866137823,85.02566011134634,7.012425576193513,149.01404349411214,84.14910691432215,17.531063940483783
20055180060,20,055,180060,0.9904139894381089,0.9904139894381089,0,0.9904139894381089,0.9904139894381089,0
20055180070,20,055,180070,2.3347105251252054,0.7000735256832817,0,2.0346790141180846,0.7000735256832817,0.20002100733808048
20055180080,20,055,180080,339.9100505147034,381.9428690548653,14.996831440100284,322.9173016212789,368.9428128974695,38.99107548075652
20055180090,20,055,180090,37.17594482783029,91.60451137288001,1.150174781147961,37.39576640994066,85.93801482289732,5.32144411563831
20055180100,20,055,180100,0,0,0,0,0,0
20055180110,20,055,180110,397.4597486152873,281.6177077394647,14.71329904547513,378.8956355736097,254.15461004830257,47.038377664035124
20055180120,20,055,180120,6.946054750241708,12.867806495839478,0.35210415784635385,6.657969530185599,12.195607649041891,1.1203314113293077
20055180130,20,055,180130,0.11140795001129195,0.2530897994821741,0.010898603805452474,0.11625177392482637,0.23250354784965274,0.02300816358928855
20055180140,20,055,180140,113.8270996899477,355.5277909623251,9.103468697568731,122.05637791320903,333.05782228809386,20.49602105834469
20055180150,20,055,180150,3.0344765923965524,5.621472765637853,0.15382139408461787,2.9086227245091374,5.327813740567218,0.4894317084510568
20055180160,20,055,180160,5.168124335116627,12.599677588037027,0.1789807119378155,6.057745927686172,10.908604267086961,0.53588574238954
20055180170,20,055,180170,0,0,0,0,0,0
20055180180,20,055,180180,1.7411700240600327,3.4823400481200655,0,1.6715232230976313,3.2733996452328613,0.20894040288720392
20055180190,20,055,180190,0.1984367245657568,0.6428693886758403,0.016399729302955107,0.21483645386871195,0.6018700654184526,0.036079404466501236
20055180200,20,055,180200,0,0,0,0,0,0
20055180210,20,055,180210,131.47317970758635,114.36651785783762,3.16475777610657,125.26231695437987,111.36787400034036,10.390988855013035
20055180220,20,055,180220,16.202754794693895,6.299926474316718,0,13.502786305701015,6.299926474316718,1.7999789926619194
