GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREIMCM,G16PREGSTE,G16PREOWRI
51019000602,51,019,000602,274,1073,33,12,10,6
51019000603,51,019,000603,75.06166219839142,284.7833780160858,5.167292225201072,5.032171581769437,3.032171581769437,1.0193029490616623
51019000604,51,019,000604,564.8199378752921,1282.399547030852,54.727313848219104,22.866628428973964,10.944604860796636,8.952087252606969
51019000701,51,019,000701,317.00667834871126,1494.2602739946026,31.71412989001672,35.69621230644539,10.762146086118856,8.05833045385649
51019000702,51,019,000702,248.91469150338418,689.8174297515524,13.652362869835097,10.702142067639578,2.9148341704786125,4.864610030745262
51019000703,51,019,000703,163.23606102287198,581.7068373147503,25.72171200338056,4.946603328150222,4.9464871727940745,2.9679155347476742
51019000704,51,019,000704,729.9469974441605,1204.3924848701845,61.106488889222824,29.083660616046703,10.02281855169676,10.038026290218715
51021000101,51,021,000101,51.816781286158296,327.5211647332647,8.799076067460842,0.9776751186067604,4.8883755930338015,1.9553502372135207
51021000102,51,021,000102,57.11879230329244,334.7508570113767,9.020172277917583,0.002241364213064829,2.0112068210653242,1.0044827284261297
51021000201,51,021,000201,23,107,1,0,2,0
51021000202,51,021,000202,113.06442641054926,593.7279782553586,18.180751654621574,5.020083517180175,1.1004175859008742,8.04016703436035
51021000301,51,021,000301,52,340,7,3,1,1
51021000302,51,021,000302,27,175,4,2,0,0
51021000401,51,021,000401,130.09174311926606,699.497791369351,13.08800543662929,10.035677879714576,6.023785253143052,2.0309208290859666
51023000101,51,023,000101,484.22613531047267,1107.6672845227063,48.42261353104726,17.293790546802594,8.646895273401297,12.105653382761815
51023000102,51,023,000102,451.22578890097935,1557.0299238302503,62.60119695321001,15.240478781284004,13.120239390642002,13.175734494015234
51023000201,51,023,000201,475,1464,60,19,8,8
51023000202,51,023,000202,451,1476,51,24,7,4
51023000301,51,023,000301,418.7511290686465,1278.334731229814,45.669128855207035,18.267296891021054,10.13095759328081,3.2244852249237703
51023000302,51,023,000302,374.73637042569084,1201.9469753547423,40.862210604929054,12.95631067961165,10.963032113517551,7.973114264376401
51023000403,51,023,000403,236.12571849269423,852.4397725127932,30.122654484079,9.049063496518565,9.027255227549915,2.0081769656052666
51023000406,51,023,000406,552.9060739322055,1590.2252668653562,63.60836915445611,25.443347661782447,12.72179089661351,18.592026931660875
51023000501,51,023,000501,362.77386468952733,1063.3327154772937,28.577386468952735,15.706209453197406,8.353104726598703,1.8943466172381835
51023000502,51,023,000502,686,1780,66,28,13,16
51025000101,51,025,000101,208,180,4,3,4,1
51025000102,51,025,000102,266,351,9,4,3,0
51025000103,51,025,000103,NA,NA,NA,NA,NA,NA
51025000201,51,025,000201,130,106,2,0,0,0
51025000202,51,025,000202,591.421052631579,217.5662768031189,7.718323586744639,1.587719298245614,3.457115009746589,0.5224171539961013
51025000203,51,025,000203,385.99999999999994,194,5,4,0,0
51025000301,51,025,000301,84.3359375,84.828125,1,1,2,0
51025000302,51,025,000302,359.8753541076487,349,5.93201133144476,2.96600566572238,0,2.96600566572238
51025000303,51,025,000303,183,164,2,1,1,0
51025000304,51,025,000304,194,148,4,2,1,0
51025000401,51,025,000401,719,422,7,1,0,3
51025000402,51,025,000402,296.6640625,105.171875,0,0,0,0
51025000501,51,025,000501,807.578947368421,251.4337231968811,10.28167641325536,8.412280701754385,6.542884990253411,7.477582846003898
51027000102,51,027,000102,60.3394584139265,367.87911025145064,1.990328820116054,0.995164410058027,0.027079303675048357,0.027079303675048357
51027000103,51,027,000103,123.94090909090909,834.9954545454545,6.0636363636363635,5.031818181818181,3,4
51027000201,51,027,000201,31.628833210484597,81.63340886562408,2.0350433368071914,0.013627964313907724,0.0019468520448439606,0.007787408179375842
51027000202,51,027,000202,106.8922163621301,513.7191201533519,9.71393981197747,4.456869430250848,1.9030762403389128,3.934304109585764
51027000203,51,027,000203,104,547,8,4,0,2
51027000301,51,027,000301,154.7196324951644,589.1254352030948,5.9460348162475825,2.9730174081237912,1.9729206963249517,1.9729206963249517
51027000302,51,027,000302,118.01642716038506,482.3141457232796,9.35287221173688,5.549811772120588,8.103604962032522,1.072377092785671
51027000403,51,027,000403,158.7565324902193,710.9620532402198,21.427065517235107,15.571671112351963,1.9464588890439953,1.9464588890439953
51027000404,51,027,000404,14.895664162500342,62.56618943760442,1.9861143990828825,0.0015506449702132796,1.9383062127665995e-4,1.9383062127665995e-4
51027000501,51,027,000501,135.09467983520076,450.9753666222034,9.933373178882823,0.9933908208607988,0.9933290866617414,0.9933599537612701
51027000502,51,027,000502,65.61363884342607,117.42247681396618,1.1481723949809055,1.0437534097108565,0.009492635024549919,0.037970540098199675
51027000503,51,027,000503,110.23407515219388,449.366909571532,10.80456000959628,4.914586697515594,3.92664778169527,3.9297825779335143
51027000601,51,027,000601,87,305,4,0,0,0
51027000602,51,027,000602,99.87130434782608,435.7130434782609,6.853913043478261,2.9373913043478264,0,0.9791304347826087
51027000603,51,027,000603,105.39419156148588,287.27657390406466,2.2723214773069205,1.0906467070829824,1.071263447171088,2.208283461152722
51027000701,51,027,000701,164.4681326824401,582.8698769418284,6.510302971968959,7.3404312697114165,1.0417344234892933,2.0298306084338735
51027000702,51,027,000702,83.21290436324055,496.22968843444403,14.241013779332565,2.1052129259596164,0.02763640288359759,0.03509809870736045
51029000101,51,029,000101,446.3181047634146,497.4883333350163,14.213952381000466,5.685580952400186,0.9475968254000311,1.8951936508000622
51029000102,51,029,000102,98.1496704898357,183.48484203338484,2.786695519374812,2.2454850990385062,1.2086550527765239,2.118521681571921
51029000201,51,029,000201,309.04796838704993,315.0208424070848,3.0073429333623696,4.99830094004065,0.010452961672473868,0.9954790033391405
51029000301,51,029,000301,276.7914285714286,462.9028571428571,11.151428571428571,10.708571428571428,1.177142857142857,11
51029000302,51,029,000302,132.4319053671831,392.7941873647326,8.928011955065443,2.9791988732007284,1.0186253964982193,0.9994560674247369
51029000401,51,029,000401,428.84335906424025,671.0573078261734,19.414850275954652,11.69682683223946,5.810978520286396,0.983470378381066
51029000501,51,029,000501,168.95677395654133,361.3802411662876,6.619783646823581,4.364467280112279,3.168764153476777,2.0398290904207474
51029000502,51,029,000502,326.0893002434946,331.19327026518107,9.12502494374305,8.035059009165726,11.040229022066383,2.040023028557639
51029000601,51,029,000601,599.8916461010558,390.95134010683046,23.312613207998638,1.1158952961965962,2.041497669373031,7.043484031233715
51029000701,51,029,000701,349.31010452961675,355.2473867595819,4.947735191637631,6.926829268292683,0.9895470383275261,0.9895470383275261
51031000101,51,031,000101,487.1006048394533,1637.2944856889956,53.011826065564875,54.01049355113503,13.001998771644766,8.001665643037306
51031000102,51,031,000102,465.0000350156389,1746.0001545829296,77.0000053496115,44.00000361272465,13.000000138950947,9.000000486328318
51031000201,51,031,000201,466,1266,57,50,9,21
51031000202,51,031,000202,471,1769,65,37,5,14.999999999999998
51031000301,51,031,000301,194,615,18,6,0,2
51031000302,51,031,000302,199.13031508106454,628.0039767513001,12.76720709697155,12.565310492505352,2.3230345671459163,3.2018966044661976
51031000303,51,031,000303,728.4899572543205,1230.745736993637,62.93202227607826,16.194805126965083,8.112683003858427,14.022304745326572
51031000401,51,031,000401,239,1072,21,14,5,3
51031000402,51,031,000402,495,1845,67,28,4,15
51031000501,51,031,000501,470,1846,79,60,12,15
51031000502,51,031,000502,411,987,31,19,4,3
51031000601,51,031,000601,446.0787745520459,1100.5828577471461,46.04755366622327,28.02038014266712,3.0033966904445193,0.0067933808890388225
51031000602,51,031,000602,528.271833598252,1524.577747058695,42.05880322647107,24.01507649082949,11.991770575337641,10.024145835172698
