GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSDKAI,G18USSRSTE,G18USSLWAT,G18USSOWRI
51069000403,51,069,000403,656.6794456771015,930.1294337537823,42.91363303830433,2.993995262625651
51069000404,51,069,000404,645.9966106609266,892.9953147371633,28.99984784700754,5.999968520070526
51069000501,51,069,000501,770.9999999999999,1023,40,5.999999999999999
51069000502,51,069,000502,849.6875117683838,1216.4492701277052,52.665594123491985,0.9947024330714394
51069000503,51,069,000503,916.5526711149755,1217.9246012666952,30.615537969716126,5.355913216485928e-7
51069000601,51,069,000601,462.59055555555557,638.6027777777778,19.032222222222224,1.005
51069000602,51,069,000602,698,741,48,1
51069000603,51,069,000603,1098.865451725475,1395.289647150058,48.90500193873594,7.984490112446684
51071000101,51,071,000101,20.015693652024805,67.00518970459588,1.996497592932893,0
51071000102,51,071,000102,108.98430634797519,281.99481029540414,2.003502407067107,0
51071000103,51,071,000103,400.57033867830836,891.6370254043132,13.201528963107624,1.0231098210926113
51071000201,51,071,000201,507.4191363901504,1212.0929345235131,26.798507773494837,2.973525643442101
51071000202,51,071,000202,73.49841694725671,209.8178571497395,5.08416326276971,0
51071000203,51,071,000203,26,169,3,0
51071000301,51,071,000301,173.56939566703136,356.61536465608157,9.752088507847214,0.004194495678671202
51071000302,51,071,000302,421.6659026726468,886.2847170851331,22.14841842696439,0.9991697920302376
51071000303,51,071,000303,304.3718531324434,425.9263748710928,13.023192866959526,0.007711272834419454
51073000101,51,073,000101,369.61717612809315,775.5276564774381,17.183406113537117,0
51073000102,51,073,000102,299.91603681161564,615.8435591859914,14.0487656408956,0
51073000103,51,073,000103,257.43339735069463,545.6506573058919,13.056914250785045,2.9867373002870066
51073000201,51,073,000201,538.6041302065104,715.4504725236262,17.179558977948897,3
51073000202,51,073,000202,706.3828238719069,1079.472343522562,35.81659388646288,0
51073000301,51,073,000301,455.09620035913673,872.9215912061028,24.520269415901762,0.9808107766360705
51073000302,51,073,000302,603,1112,30,1
51073000401,51,073,000401,656,996,26,1
51073000402,51,073,000402,560,832,23,1
51073000501,51,073,000501,589,1391,42,3
51073000502,51,073,000502,492,873,34,2
51075000101,51,075,000101,389.92971953611664,474.47816484998964,22.878263879163416,3.1822924842722636e-5
51075000102,51,075,000102,587.8302788722948,874.75652530922,25.54448342845597,6.049226757210735
51075000201,51,075,000201,242.1211807109708,180.76654113788086,10.10980571643956,0
51075000202,51,075,000202,871.3169248095168,1045.3959316456196,34.17044284381482,3.096427805336194
51075000301,51,075,000301,647.3144365776291,868.1685777163476,24.15782849504035,2.0319291144200595
51075000302,51,075,000302,253.65050732807217,363.12965050732805,16.517474633596393,1.0304396843291996
51075000401,51,075,000401,584.8045812872773,731.079689235559,35.1836764623693,0.5196993693735791
51075000402,51,075,000402,712.7216765261107,1202.6800049384076,32.60197942273709,4.517507047400715
51075000501,51,075,000501,729.6128358036128,1105.637995985796,48.335014281303074,9.985442720395245
51075000502,51,075,000502,502.57873925627814,733.2946411205297,33.643505814585765,4.043481834359275
51077000101,51,077,000101,79.54577271589531,170.60105719232962,1.162306697134801,0.04994054696789536
51077000102,51,077,000102,39.550943396226415,106.4188679245283,0.06037735849056604,0.01509433962264151
51077000103,51,077,000103,89.9399924291776,169.89422416676936,0.9957480148599398,0.005656108597285068
51077000104,51,077,000104,NA,NA,NA,NA
51077000105,51,077,000105,38,145,0,0
51077000106,51,077,000106,NA,NA,NA,NA
51077000107,51,077,000107,24.963938793716725,95.86152496787223,1.997115103497338,0
51077000108,51,077,000108,54.30962343096235,120.46861924686193,0.9874476987447699,0
51077000202,51,077,000202,91.96642030156437,306.2818515929785,5.022414541972622,0
51077000203,51,077,000203,280.8397876967289,760.7871430507349,12.861564655622113,3.947681331747919
51077000301,51,077,000301,NA,NA,NA,NA
51077000302,51,077,000302,NA,NA,NA,NA
51077000402,51,077,000402,119.44181764595383,527.5264621294072,6.847819679882887,0
51077000403,51,077,000403,85.84097622116711,241.79210686548214,8.968193948737214,0
51077004011,51,077,004011,27.08131868131868,60.06153846153846,1.0725274725274725,0
51077004012,51,077,004012,75.63588745156036,168.61989254357226,3.111458898852425,0
51079000101,51,079,000101,263.97928503505165,529.9584131385507,10.999136876460485,0
51079000102,51,079,000102,423.3290320280621,640.9840532123015,25.958855737569845,0.998417528368071
51079000201,51,079,000201,865.3390158664714,1229.0295077048881,54.65457134445898,3.5723740823255126
51079000301,51,079,000301,656.2043795316927,1124.2942171054342,37.00901764598872,2.0008040749499725
51079000401,51,079,000401,1007.3910606090183,1293.218286138958,61.962545394602316,1.9987917869226555
51081000101,51,081,000101,244.96012179088436,126.97932843854007,0,0
