GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRNEW,G18USSDKLO,G18USSMSCH,G18USSGOVE,G18USSOWRI,G18GOVRJOH,G18GOVDWAL,G18GOVMWRI,G18GOVLWEL,G18GOVOWRI,G18SOSRHOW,G18SOSDSIM,G18SOSIDEN,G18SOSOWRI,G18AUDRMYH,G18AUDDBLA,G18AUDMFOR,G18AUDLDOC,G18AUDOWRI,G18ATGRWAR,G18ATGDELL,G18ATGMJOH,G18ATGOWRI
27163000190,27,163,000190,215.92094413513846,406.7845903960012,34.63834330232548,5.1906577911915726,0.999439250325918,258.7676285524957,365.0109505313719,34.587547721452665,9.17039854814091,0.021307560964128655,259.88823487022694,358.2078552526161,33.90631539018342,0.999439250325918,249.6254646947583,333.64558827370354,57.1669719577033,12.449133461808605,0.021307560964128655,263.26395879878504,328.07924968420303,63.41811491452943,2.067722214265603
27163000195,27,163,000195,38.402946516740016,91.69683147874657,9.404803228589392,3.918668011912247,0,47.80774974532941,76.02215943109759,13.32347124050164,3.918668011912247,0,46.240282540564515,80.72456104539229,11.75600403573674,0,43.889081733417164,68.18482340727309,21.160807264326134,4.702401614294696,0,45.45654893818207,71.31975781680289,23.51200807147348,0
27163000200,27,163,000200,694.4483315021528,1183.7756101500136,24.566705093764284,19.079852692701213,1.8233726576742613,848.4195487688838,1006.2446540691393,36.3001696900751,20.920232985910747,0.9201901466047673,841.2392147021761,960.4419325468967,75.54652906300745,0.00374911817506224,842.2467273967873,904.0549438844993,78.17277637387961,50.973927084485595,0.00187455908753112,890.4390540802533,872.230637990196,95.4932646253776,11.84341845711506
27163000205,27,163,000205,913.5096292807559,1533.4536042014824,48.11020788851596,19.729734275893748,4.874557307169614,1135.8489827869319,1319.685723591838,38.40329689786242,27.67154560846625,2.924734434097634,1159.6240295191783,1220.7112001970122,83.4046110519592,2.924734434097634,1167.183528785111,1138.0659054817343,99.11752811109623,44.57581372984949,1.9498229442089308,1207.5321750941894,1118.7928866000739,118.9285234758067,16.57349490128625
27163000210,27,163,000210,134.3710520966482,427.0633185348935,8.327648586723024,5.5969380047237385,0.020803965327984997,168.4336005880839,388.7901585946582,11.468801951365101,4.497392570737632,0.03937073432906085,169.3868490663883,374.77083556107203,20.671961345313118,0.030087349828522927,165.86898712951557,364.2943182231475,18.82687248710955,12.332457578569745,0.018566769001075855,176.13713021496736,360.5978347844376,25.669318282308193,0.10178263031301585
27163000215,27,163,000215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27163000220,27,163,000220,558.8556484511971,861.8410847199078,73.9378632717094,31.018008032114647,0,647.0575817591085,767.3864840162663,78.02584319099878,26.158049417794658,0,653.086096623646,758.744976612903,82.49315816307563,5.015141135914861,598.5575167173614,684.2553532644117,149.9714440102618,59.340744926350006,0.9961312262232002,659.5629165505686,683.2592220381886,144.47744672010663,2.112959969242411
27163000225,27,163,000225,432.9803063012954,788.5398834970988,41.88666214983251,10.904198332693229,0,497.4595610437205,706.6139114223646,44.93256740684136,18.762491408377606,0,495.0624549795643,668.6200444296479,89.68521979679144,0,481.64392953872454,637.6557563028719,84.42212349251767,36.65991722628501,0,521.3679277123815,625.7510956453549,98.82293556781798,2.9468599033816423
27163000230,27,163,000230,362.61674718196457,796.7632850241546,45.708534621578096,9.177133655394524,0,441.73268921095007,709.3639291465378,43.743961352657,11.318840579710145,0,439.69726247987114,680.6553945249598,70.55877616747182,1,436.4669887278583,633.1594202898551,91.41706924315619,21.63768115942029,1,453.1755233494364,644.9291465378421,93.66505636070853,4.053140096618358
27163000235,27,163,000235,638,1433,61,22,0,775,1291,64,25,0,777,1244,99,0,758,1184,115,45,2,833,1145,138,7
