GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTru,G16PREDCli,G16PRECCas,G16PREMVac,G16PRESKen,G16PREGSte,G16PREIDeL,G16PREIMcM,G16PRELJoh,G16PREOth
27129000050,27,129,000050,73.5888828530975,18.794277654640386,0.9294472160653526,0.9294472160653526,0,0.9387805493986859,0,0.9294472160653526,1.8775610987973719,0.009333333333333334
27129000055,27,129,000055,89,10,1,2,0,5,0,2,3,0
27129000060,27,129,000060,147.35782826145083,62.11390427844302,2.0028758640121644,0,0,0,0,7.016253647559058,11.005503712872768,0.9993752241672548
27129000065,27,129,000065,67.01682292243986,39.01257004463393,1.3480551634850564e-4,1.3480551634850564e-4,0,1.0005538978007507,3.370137908712641e-4,1.0004864950425765,5.000882211774875,2.0220827452275845e-4
27129000070,27,129,000070,97,26,0,2,0,0,1,2,6,1
27129000075,27,129,000075,354.8082204078067,134.2102269681821,5.00246924247617,2.002662283162345,0.9999356531046085,6.002404895580779,0,15.00958910271759,15.02014340886605,9.999356531046086
27129000080,27,129,000080,85.19122257053291,21.79310344827586,3.9623824451410656,0,0,0,0.9905956112852664,0.9905956112852664,6.934169278996865,0
27129000085,27,129,000085,117.23370779077659,50.642954378224786,1.9185173658630938,0,0,1.9185173658630938,0,4.6905291277432415,8.569869574235227,0.9381058255486483
27129000090,27,129,000090,72.09032258064516,46.76129032258064,0.9741935483870968,0,0,0,0,2.92258064516129,1.9483870967741936,3.8967741935483873
27129000095,27,129,000095,306.6352317078802,134.13959788441588,0.9999887943275029,2.9999663829825085,0.00742628655423625,2.0222564483177146,0,6.99992156029252,15.00725820146678,1.9999775886550057
27129000100,27,129,000100,85.36476829211979,18.860402115584122,1.1205672497099695e-5,3.3617017491299086e-5,0.9925737134457637,2.9777435516822854,0,7.843970747969787e-5,0.9927417985332202,2.241134499419939e-5
27129000105,27,129,000105,67,28,3,1,0,1,0,3,2,0
27129000110,27,129,000110,81,26,0,0,0,1,0,2,1,0
27129000115,27,129,000115,60,15,2,1,0,0,0,1,2,0
27129000120,27,129,000120,78,26,0,1,0,2,0,2,1,0
27129000125,27,129,000125,110.39425937420648,49.09432132387176,8.15195993685713e-6,2.9364406779661016,0,0.9788217112819708,0,3.915254237288136,2.962012579101387,1.957627118644068
27129000130,27,129,000130,61,22,1,0,0,0,0,5,3,0
27129000135,27,129,000135,700.4463167139512,374.284846845059,5.894385951522297,3.9293727456285286,0,10.805775050478454,1.9646863728142643,25.542557011982957,41.25939432833806,4.911715932035661
27129000140,27,129,000140,61,11,0,0,0,0,0,2,4,4
27129000145,27,129,000145,67,39,0,2,0,1,0,0,5,1
27129000150,27,129,000150,100.74146359681765,27.609688317111058,2.02952656780207,0.04157377172662492,0.013857923908874973,1.0413759651591663,0,1.2136701262299283,7.205864287467464,0.027715847817749946
27129000155,27,129,000155,302.0166118769804,217.00792225178495,2.0009437364004343,1.9998651944836514,0,8.999446102199249,4.999662986209128,8.000592046874207,17.00091535808643,2.9997977917254772
27129000160,27,129,000160,132,82,1,0,0,4,1,5,10,2
27129000165,27,129,000165,92.96656520057972,56.97950770358112,2.998921458083217,0,0,0,0,2.998921458083217,4.998202430138695,0
27129000170,27,129,000170,121.17456811687724,43.589873965079185,1.1025590520022504,0.07050783272927968,0,0.19389654000551912,0.03525391636463984,5.440413099783736,3.7338480315461546,0.08875956674434479
27129000175,27,129,000175,103,41,2,0,0,2,0,2,8,1
27129000180,27,129,000180,82,12.999999999999998,0,1,0,1,0,3,0,0
27129000185,27,129,000185,81,28,3,0,0,2,0,6,4,0
27131000005,27,131,000005,530.1997664400421,650.6067938603815,9.076065267654668,3.060780402960549,0.22398450984673376,22.38656354019804,1.9978451047998997,23.047517448209476,55.67309939714466,10.902592417844312
27131000010,27,131,000010,469.0097551595252,191.4483363494067,6.067899658391076,5.068134200345706,1.8672981902753975e-4,17.27193331851352,0.017606822258255467,14.343811152686543,27.689537415698965,6.112103443855742
27131000012,27,131,000012,95.87499867888525,43.34012861738314,2.715111434903617,0,0,0.39632927802343976,0,0.8917408755527394,6.1105028369331205,0.49541159752929964
27131000015,27,131,000015,438.1808944413074,446.13310091380544,2.196387044897954,6.190711931136125,0.11969299185907165,10.34410003721389,0.0017810513892330395,15.268304078003833,42.4044710649659,5.889762706914066
27131000020,27,131,000020,347.19116869399085,149.9831654642431,1.0619383982397388,0.061678157654163096,0,5.184774232376913,0,5.337278062706079,12.889258594566638,2.0921268756028812
27131000025,27,131,000025,983.7321745912742,758.6963897690877,8.021831541685508,6.972906826892677,1.0204260158127074,18.113347235825447,1.9840213445896167,27.183269937681544,62.50144930288462,14.087556949525952
27131000030,27,131,000030,1038.1279851922982,849.6729406333059,7.933049799217513,7.932711882906079,0,31.729833782690015,1.9827555753372277,39.65984233510463,79.31934675389782,12.889938737560582
27131000035,27,131,000035,1375.2694158402628,1190.09962657715,13.00129403751453,13.000478173716736,0.9999740238399187,30.002484170388733,5.000685982997386,44.009463278327736,122.01151645683035,20.00355979578734
27131000040,27,131,000040,1265.5064680463772,1035.5354146986285,1.0152044227601396,9.924204622269954,1.9846339358189817,25.81392212856378,2.9757693169939397,43.697517952828186,85.49184241470195,15.876348290643834
