GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREAFUE,G20PREPLAR,G20PRESKEN,G20PREIWES,G20PREIPIE,G20PREOWRI,G20USSDSMI,G20USSRLEW,G20USSMOCO,G20USSCSTE,G20USSOWRI
27109000012,27,109,000012,66.02966874922595,83.33554583632744,1.9078619196908606,0.02345586310649531,0.8854486096259098,0.004354270895909677,0,0.021463462716418438,0.012939655982477052,0.023579019811747287,59.92748348808678,85.21110835015187,4.910561120816797,0.43489472864234413,0.006346671285986547
27109000013,27,109,000013,18.073183887108762,12.880583846447056,0.3486197907158035,0.14678728030139096,0.01834841003767387,0,0,0.09174205018836934,0.03669682007534774,0.14678728030139096,16.660356314207874,12.256737905166144,1.5779632632399527,0.2935745606027819,0
27109000015,27,109,000015,300.8808109915511,406.2267341700859,12.042975021479963,0.0217941714710847,5.021538620861832,0,0,0.0217941714710847,3.999795559512598,1.999897779756299,287.96865210901944,337.9250912577765,58.19318315617243,19.020823079155925,0
27109000020,27,109,000020,152.94858439295632,257.85562625222764,4.902198217722959,3.921758574178367,0.9804396435445918,0.9804396435445918,0,1.9608792870891836,0,0.9804396435445918,149.02682581877795,207.85320443145346,42.15890467241745,8.823956791901326,1.9608792870891836
27109000025,27,109,000025,64.05141560704368,173.14437374777236,1.097801782277041,1.0782414258216326,0.01956035645540817,0.01956035645540817,0,0.03912071291081634,0,1.019560356455408,66.97317418122203,153.14679556854654,7.8410953275825515,6.176043208098673,0.03912071291081634
27109000030,27,109,000030,85.11918900844894,145.77326582991415,1.9570249785200369,0.9782058285289152,0.9784613791381679,0,0,0.9782058285289152,2.0444048740211773e-4,1.0222024370105887e-4,89.03134789098054,132.0749087422235,8.80681684382757,0.9791769208440754,0
27109000035,27,109,000035,387.974612753309,715.9975096317896,8.000093527238766,0.9998454502505613,1.9996909005011225,0,0,1.9996909005011225,1.0002887586619869,0,388.97534482038236,594.0106016918727,81.99176000466028,24.99613625626403,0
27109000040,27,109,000040,85.64028476957411,256.0255005533501,3.09771317289385,1.8820935363995448e-4,3.511740041290333e-4,0,0,3.511740041290333e-4,0.9924984403893099,0.05970572168726266,87.38617799033848,241.19686246166643,11.010461550379308,0.36205599935429417,0.0596636471820112
27109000045,27,109,000045,83.04728560496513,177.05715921043077,2.001602589651624,2.8129559381383137e-4,1.0004262340340604,0,0,3.750607917517751e-4,0.9999574080443706,5.625911876276627e-4,87.04270827283953,159.05614432687128,13.004322094869591,2.0025402416310034,0
27109000050,27,109,000050,491.06506647953495,465.0343227422361,8.211775606038247,1.0411473939562235,2.984156364436507,0.023608872134668172,0.9597000491728076,0.1257221402388919,3.9202475414746463,6.007852693576798,464.8911550292907,451.96320018724737,33.30269756387042,10.244485234305513,0.023608872134668172
27109000055,27,109,000055,201.7690384591753,443.4292495350422,11.753652476614368,4.819698310333209,0.09244192390102396,0.00843081447345431,0.00843081447345431,0.983565222060098,1.0096223811566354,2.9305767312784696,215.00889615749378,414.3986685981913,20.97150557884277,7.145759539841664,0.019919468129504927
27109000060,27,109,000060,276.7232834931886,414.745766778848,8.619057813570606,0.13607335212470872,1.8686167125198843,0,0.8714732661602226,1.8185428390563945,2.7202546279109967,0.09071556808313914,266.83590652209034,393.52112366697236,16.34160453973684,16.684390039798537,0.8714732661602226
27109000065,27,109,000065,1010.8524660601787,1512.2955520850721,30.001680892710443,4.0077256059062245,5.016675607044367,0,0.012866842062026786,4.991470224317015,3.9941477119162134,7.001228171805866,975.7386023689514,1387.2906765801233,124.09201573018272,37.03041040336175,1.9960272282632774
27109000066,27,109,000066,1.7559112131320884,0.033606783582415284,0.8561761030426763,7.211756133565511e-5,0,0,0,0,7.211756133565511e-5,3.605878066782755e-4,0.8967061725133145,0.0289191420955977,0.006202110274866339,1.711486795349325,0
27109000070,27,109,000070,320.7021101431423,565.1747572469087,9.322374706476118,1.0242318481982764,0.022578663373646224,4.95212393307359e-4,0,2.0253871500041165,3.9992545769823598,2.0416827162622075,312.3641959221678,546.7556437336078,23.802933075922624,13.180378777679456,0.01936613583722232
27109000075,27,109,000075,129.3936099420788,218.98972156014932,1.902445746898892,0,0,0,0,0,0.007246460552904409,0.9403531826200894,125.64669013270425,188.8042157291187,16.998821892690653,5.6421190957205365,0.9403531826200894
27109000080,27,109,000080,433.4112627237165,586.5895903830792,15.8923473595888,5.940251024846736,2.001586202426779,0,0,1.0051144358264332,1.980120629834746,4.9652750666541055,418.407887931479,560.7451366101432,45.722728513347185,10.995951603007477,0.9878895690056237
27109000085,27,109,000085,625.4066850352029,870.7462330788933,20.170302894460754,3.0378985614153495,5.962209343785888,0,0,3.9871280696200007,1.0031299225932264,5.992848162494362,582.786057833342,833.39621801697206,65.33045701807379,29.823850692467015,0.0139026238939068
27109000088,27,109,000088,214.86643756333763,274.03219637267256,14.851966058226742,0.027759780735804183,0.042947841752221286,0,0,1.012080893486294,0.018616758902024674,1.0288849596756016,202.79463224634443,257.07514617917786,32.83565101046747,6.120226191166538,0.9793368836565546
27109000090,27,109,000090,139,345,4,1,1,0,0,1,0,2,133,320,23,4,1
27109000095,27,109,000095,71.0419258885794,123.09341382192252,1.0007355419049018,0,0,1,0,2.000367770952451,3.677709524508424e-4,1,78.04339697238919,107.0831162352539,10.005516564286763,2.0029421676196066,0
27109000096,27,109,000096,454.6811492641906,302.78766643307637,7.994393833216538,3.997196916608269,2.9978976874562018,0,0,0.9992992291520673,1.9985984583041345,2.9978976874562018,392.72459705676243,270.81009110021023,65.95374912403645,22.98388227049755,0.9992992291520673
