GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGJAN,G20PRECBLA,G20PREIPIE,G20PREOFUE,G20USSRSUL,G20USSDGRO,G20USSOHOW,G20HALRYOU,G20HALDGAL
0207037-702,02,070,37-702,73.99989980475075,24.999966150253634,0,2.9999959380304357,0.9999986460101453,0,0,60.99991740661886,32.9999553183348,12.99998239813189,68.99990657470002,35.99995125636523
0207037-710,02,070,37-710,59.63302752293578,64.37308868501529,2.5993883792048926,0.9174311926605504,1.6819571865443423,0.1529051987767584,0,53.97553516819571,70.64220183486238,4.892966360856269,58.56269113149847,68.34862385321101
0207037-714,02,070,37-714,330.3669724770642,356.6269113149847,14.400611620795106,5.08256880733945,9.318042813455657,0.8470948012232415,0,299.02446483180427,391.3577981651376,27.10703363914373,324.43730886850153,378.651376146789
0207037-718,02,070,37-718,34,23,3,0,1,3,0,26.999999999999996,36,3,38,23
0207037-724,02,070,37-724,39,40,0,0,1,0,0,38,39,1,38,39
0207037-732,02,070,37-732,92.88887250202787,72.75591770518399,2.383452547747216,2.9521421724061647,1.1184278445542364,0.03664921465968586,0.07329842931937172,71.74743750460881,86.54479758129932,11.03768158690362,93.54855836590222,79.55873460659244
0207037-736,02,070,37-736,43,254,5,3,8,2,2,55,237,24,113,199
0207037-754,02,070,37-754,145.10697601279134,126.2404637705706,11.616210845346234,1.0478297770182894,3.88145995314358,0.9633227347647683,1.9266454695295365,125.24897202172133,131.45144364157753,34.961308592376724,162.44678523855717,126.43764686916215
0209001-446,02,090,01-446,826.2105325040636,701.8954296530995,70.62308314742143,4.919843836209912,7.832813640624155,3.9224906480170314,0.006083827704953759,822.2393712344069,688.0663292279081,93.28843422913477,812.4605218390367,775.5166561928045
0209001-455,02,090,01-455,162,141,3,3,0,0,0,151,134,17,166,134
0209001-465,02,090,01-465,223,253.00000000000003,21,2,3,0,1,216,224,47,219,266
0209001-470,02,090,01-470,380,380,18,4,0,6,1,382,366,26,393,378
0209001-475,02,090,01-475,234.58008658008657,320.3636363636364,10.246753246753247,2.0865800865800868,7.138528138528138,1.0692640692640691,0,240.5108225108225,271.1212121212121,34.64502164502164,242.33766233766232,310.6623376623377
0209001-480,02,090,01-480,685.5952652544689,621.6330247642561,36.978170283404296,12.992330099574483,1.9988200153191513,0.9994100076595757,0,724.5722555531923,538.6819941285113,57.96578044425539,675.6011651778732,656.6123750323412
0209001-485,02,090,01-485,343.05043508993816,416.05277847217064,28.001048740411964,0.0022600391706988124,2.0011624476754766,3.000911025502957,0,335.04519055208607,425.0531325600788,41.00943729631282,342.0455716866191,447.0611615073076
0209001-490,02,090,01-490,452.9092495822549,480.2997165041723,11.738727104223711,18.58571838150245,9.781984089520918,7.825606204254158,0,408.8903347027232,484.2126210311427,82.16899361613689,412.80321218306875,552.6866178442887
0209001-495,02,090,01-495,192,161,16,2,2,1,0,196,159,13,201,159
0209002-345,02,090,02-345,1575.6353013957744,568.0302274719479,105.24152245467877,0.0067539899438052425,4.9632464934528775,4.961962253122806,0.006991486420679893,1387.0900123122874,463.82374147909803,196.5807795519006,1420.8415516610967,647.5020502939467
0209002-355,02,090,02-355,641.0649864974351,547.1325035816478,31.956411713618365,10.652137237872788,0.9683761125338899,8.71538501280501,3.8735044501355596,585.8675480830034,549.0692558067155,49.38718173922838,555.8478885944528,602.3299419960795
0209002-365,02,090,02-365,1053.899292324442,740.4202504082743,81.70332063146434,18.01034295046271,12,0,5,1020.7441480675013,646.2961350027218,86.39303211758302,1014.682090364725,714.5753946652151
0209002-375,02,090,02-375,393.83593476095757,243.24333402388424,68.53314675875583,1.131091185954384,0.05147503017221194,0.1544071086921052,0.051466039259946625,376.7920262580858,230.5835731801381,39.78835337031261,370.71834492431316,259.43785507889703
0209003-130,02,090,03-130,1369.6679726368159,509.6363450604122,67.29227967306326,14.209905828002842,4.048214285714286,0.03214285714285714,4.0321428571428575,1344.6249289267946,485.92668798862826,107.83870824449183,1338.4175373134328,573.7389836531628
0209003-135,02,090,03-135,1296.2159696620715,362.22201557981003,62.86497830087832,11.974281284435127,7.9828542566167044,2.993570414420859,0,1256.3016989819278,363.21987276743573,118.74495700616174,1251.3124149100406,448.0376997213154
0209003-165,02,090,03-165,1505.7797483200738,452.0100163337232,91.64484795795174,7.01541121838646,7.014483506143721,5.004167373121616,0.07767857142857143,1491.784054320044,465.58360945717396,103.81511628215996,1481.3098800732903,558.6706134038893
0209003-175,02,090,03-175,698.280858852717,293.99425003273154,48.85056446856182,6.2288895745047554,5.1038895745047554,3.074206838931968,2.375,708.9480797037075,238.46687054952747,75.63881951421214,689.1746660258435,345.19243501808927
0209003-183,02,090,03-183,1250.3531249999999,305.26383928571425,48.199553571428574,2.835267857142857,2.835267857142857,1.8901785714285715,1.8901785714285715,1245.6276785714285,275.9660714285714,80.33258928571428,1230.50625,359.13392857142856
0209004-230,02,090,04-230,274,679,24,8,4,1,0,292,651,32,284,673
0209004-240,02,090,04-240,713.016277744221,1022.5577462106578,45.257923987629354,24.017911388029816,2.028658220847706,10.014329110423853,1,765.0019486337972,987.5075943241743,56.340316372566505,729.9661258577376,1076.826417031105
0209004-250,02,090,04-250,358,731,41,9,1,4,0,365,757,41,364,759
0209004-260,02,090,04-260,424.6395293841106,1067.6269038051053,41.82597673611784,12.989707999404272,1.1141141486934023,0.9896328208925725,0.9896328208925725,426.63123062892384,1086.5357553253227,46.15173420157655,428.72254199548166,1081.7431615562311
0209004-265,02,090,04-265,1439.4460242468324,780.3844081915291,62.07410852395148,16.717205063317312,11.644286513846728,7.005249080691648,1.0129069323434385,1465.0910604326402,769.675045921946,100.55336139036378,1448.8922511020644,885.3606989133405
0209004-270,02,090,04-270,1383.5907225266726,863.6384001506462,92.93251954129607,21.282892408230445,6.355713486153272,5.994750919308352,0.9870930676565614,1391.9442242676482,867.3465927616563,120.45034252845105,1386.1424487689376,1031.6635715020514
0209004-280,02,090,04-280,98.05809128630705,207.49792531120332,15.759336099585063,0.8755186721991701,0.8755186721991701,0,0,112.06639004149378,187.3609958506224,11.381742738589212,98.93360995850622,223.2572614107884
0209005-580,02,090,05-580,140,72,11,1,0,2,0,139,83,9,137,98
0209005-582,02,090,05-582,1494.433503944756,1519.682321874071,94.41285286539495,31.15750584039807,13.05097816463476,4.058066477426085,0,1554.0305180620633,1496.878308142264,99.85938060796813,1473.6261517736332,1673.4842080704536
0209005-586,02,090,05-586,535.4047347455311,679.3669752357439,36.0218297165957,7.007669900425516,5.0011799846808485,3.0005899923404242,3,556.4277444468077,671.3180058714887,44.034219555744606,558.3988348221269,681.3876249676588
0209005-587,02,090,05-587,194.4576993328507,112.24542339654181,6.879217617851402,1.6183527334892094,0.2356108404547294,0.34229916910299596,0.07502951060449387,185.41268822412042,116.3696795369655,14.778195347757586,189.91795090205704,126.91930954740253
0209005-588,02,090,05-588,253.61839099980554,220.4372791216602,16.832235565822284,3.979865508672117,1.9844895194993555,0.008709175738724729,0,267.4423215243259,212.56246256776853,20.755491432192688,273.1345148106622,210.9916588958586
0209005-590,02,090,05-590,253.94682581719402,86.39428094811755,17.4533900905288,0.87266950452644,0,0,2.61800851357932,246.09280027645607,81.15826392095892,35.77944968558404,255.69216482624694,111.70169657938432
0209005-592,02,090,05-592,295.19310317162876,460.18318777260646,20.872239618195973,3.975664689180185,0,0.9939161722950463,0.9939161722950463,286.2478576209733,440.3048643267055,44.72622775327708,288.23568996556344,490.99458911375285
0209005-594,02,090,05-594,30,78,3,3,0,0,0,31,80,1,27,88
0209005-596,02,090,05-596,875,994,51,16,1,7,1,916,942,60,895,1008
0209006-145,02,090,06-145,454.1915830045289,200.1979848735289,57.75027845674743,3.9835617686757763,2.9887237820396746,2.203073453191468e-6,0,444.2238761755008,218.1208202167961,31.874439337967964,440.2537171101282,247.98693181896513
0209006-150,02,090,06-150,317.99831605364864,93.99950222969488,14.999920568568333,8.999952341141,0,0.9999947045712222,0.9999947045712222,283.9984960982271,92.99950752512366,62.999666387987,330.99824721307454,105.99943868454956
0209006-155,02,090,06-155,262.64446397891436,64.50493529164777,6.847692710291859,3.7421606285919182,0.9537296445656398,1.8566136635076333,0,247.71969715862178,72.91209247060827,17.023155244445093,254.16960456768936,74.13102460843433
0209006-160,02,090,06-160,679.4836550437273,153.60159386051185,20.26398396722999,8.153710390807372,3.0363633318529364,2.081362002917424,0,654.8504079746269,166.96135718932425,30.708999939333633,674.105107933228,186.96130403639003
0209006-170,02,090,06-170,529.3041377527945,282.25083026426313,38.3647657814822,12.967139626542611,0.19324675324675322,0,0,531.139551592686,265.7521431802029,39.10554500226142,536.1848652839698,297.35413322995413
0209006-180,02,090,06-180,622.0641050197352,261.2088776910241,25.153447481357876,3.8697611509781353,5.804641726467203,0,0,588.2036949486766,269.9158402807249,47.404574099482154,621.0966647319907,269.9158402807249
