GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW
39005003ABJ,39,005,003ABJ,362.29694510940834,109.5946165904397,6.904111996916869,2.955236899876498
39005003ABN,39,005,003ABN,641.922959106426,235.7103556175728,14.463399838732972,7.007738070449578
39005003ABO,39,005,003ABO,688.4056573349771,296.69148750230664,20.561941619277444,0.0031225544120278862
39005003ABS,39,005,003ABS,535,242,9,2
39005003ABT,39,005,003ABT,768,206,10,6
39005003ABV,39,005,003ABV,268,73,4,4
39005003ABZ,39,005,003ABZ,686.3197336296831,176.88652751055602,9.984571020571192,2.9924609400714957
39005003ACA,39,005,003ACA,330.91442724601427,76.01491672304311,3.001340535650695,0.0014916579395537124
39005003ACB,39,005,003ACB,165.9384137061293,64.58580078547647,1.9873229759750388,1.9872546580373227
39005003ACC,39,005,003ACC,690.0615862938707,165.41419921452353,12.012677024024962,5.0127453419626775
39005003ACE,39,005,003ACE,388.6085600514966,112.01638459423168,3.004998585922113,1.9941440175899783
39005003ACF,39,005,003ACF,528.7775637063631,136.52235459902707,9.956793928749057,1.9991908054796201
39005003ACH,39,005,003ACH,389,94,1,3
39005003ACI,39,005,003ACI,647,164,12,7
39005003ACJ,39,005,003ACJ,390,106,8,1
39005003ACM,39,005,003ACM,837,153,13,1
39005003ACN,39,005,003ACN,417,89,9,2
39005003ACO,39,005,003ACO,546,136,5,3
39005003ACP,39,005,003ACP,458,127,4,2
39005003ACQ,39,005,003ACQ,506.00394304315336,98.00129966226842,6.000044056348082,4.00001101408702
39005003ACS,39,005,003ACS,520,140,6.999999999999999,0
39005003ACT,39,005,003ACT,693.0005174155765,180.00013223828628,6.0000106500633255,3
39005003ACV,39,005,003ACV,583.2595574078746,149.05958282691697,12.00234652356312,0
39007004AAA,39,007,004AAA,283,328,4,1
