GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREIDUN,G16USSRPOR,G16USSDSTR,G16USSGDEM,G16USSICON,G16USSIRUP
39093047AGV,39,093,047AGV,452,315,45,12,4,482,251,20,22,14
39093047AGX,39,093,047AGX,339.2345734480396,246.513938857565,16.332760471353396,5.108346175966391,2.7856907536952358,371.31999931323827,203.38907765984854,7.865416217947684,8.01180671508525,9.158692323060375
39093047AGY,39,093,047AGY,373.55542791499136,243.07409534750144,15.257897759908099,7.365881677197013,3.156806433084434,389.3394600804136,211.5060310166571,8.94428489373923,7.892016082711085,9.470419299253303
39093047AGZ,39,093,047AGZ,452.7354627354627,335.7076167076167,30.75184275184275,4.271089271089271,4.271089271089271,468.96560196560193,295.55937755937754,7.687960687960688,22.209664209664208,9.396396396396396
39093047AHA,39,093,047AHA,297.7704918032787,195.1912568306011,12.874316939890711,4.568306010928962,2.0765027322404372,351.344262295082,137.46448087431693,6.644808743169399,7.475409836065574,3.3224043715846996
39093047AHB,39,093,047AHB,467,376,29,4,3,539,289,12,15,4
39093047AHC,39,093,047AHC,342,257,19,10,4,365,226,13,7,11
39093047AHD,39,093,047AHD,319,210,20,6,5,320,180,10,17,11
39093047AHE,39,093,047AHE,320,283,14,5,3,377,223,10,13,7.999999999999999
39093047AHF,39,093,047AHF,334,250,22,3,0,381,192,10,19,4
39093047AHG,39,093,047AHG,259,219,14,4,4,265,178,17,13,8
39093047AHH,39,093,047AHH,395,268,18,4,2,408,236,6,8,18
39093047AHI,39,093,047AHI,76.00000000000001,523,9,13,1,113,461.00000000000006,24,5,9
39093047AHJ,39,093,047AHJ,55,425,9,5,0,62,397,15,5,8
39093047AHK,39,093,047AHK,43,387,3.9999999999999996,3,0.9999999999999999,62,347,15.999999999999998,1.9999999999999998,0
39093047AHL,39,093,047AHL,20,836,8,5,0,30,791,37,3,0
39093047AHM,39,093,047AHM,70,698,13,9,0,128,631,16,1,6
39093047AHO,39,093,047AHO,106.30520761791747,477.65052435487047,16.71883869042808,5.899012177451958,3.93161370610106,134.81000996224952,438.3280505079314,11.800031195355283,8.853950522845556,7.866242554146203
39093047AHP,39,093,047AHP,511,436,44,8,5,542,355,25,23,29
39093047AHR,39,093,047AHR,444,448,50,15,2,465,379,19,28,39
39093047AHT,39,093,047AHT,482,404,36,20,4,461,360,18,27,57
39093047AHV,39,093,047AHV,545.3334931502424,450.9906771031619,39.927905507368706,10.084355046124427,9.126532569186642,511.00833351923785,430.1348660884245,24.379597707559924,27.590485322870993,33.50613027674657
39093047AHX,39,093,047AHX,314.0277973255466,223.0162968634087,19.00185315503644,7.0004360364791625,1.0003815319192673,351.0301410216221,184.01449821293215,4.00070855927864,20.00054504559895,6.0007630638385345
39093047AHY,39,093,047AHY,432.66764547464356,253.67782180129126,28.84344525979602,6.786286011108589,5.937667622684531,469.13801184512056,225.67820495660834,11.028313514715329,8.4877805420109,11.877996341652935
39093047AHZ,39,093,047AHZ,479,393,36,10,5,487,352,13,20,20
39093047AIC,39,093,047AIC,285.4344949236994,197.26964719600247,16.825335915006367,3.1946483203404266,2.1175615033920843,291.89934197513384,171.707812571701,6.367468268708526,13.373898936854923,9.30343512365478
39093047AIE,39,093,047AIE,460.2665418410518,277.12517173779634,27.453027351542797,4.202282173009297,3.9876051574163656,476.01436613905696,251.06485132130155,9.337062530694807,22.103569978264357,15.103793251226424
39093047AIF,39,093,047AIF,388.6397574525435,347.1345406372233,25.46911031849193,4.7165019108318385,2.829901146499103,413.165567388869,279.21691312124483,10.376304203830044,24.525809936325558,9.433003821663677
39093047AIG,39,093,047AIG,386.39446220348634,230.4799134391507,42.50170234278063,5.967765760970573,3.9716624202650443,400.7976843624287,201.04984930637735,13.828002402320672,16.897207136394556,14.871339911832191
39093047AIH,39,093,047AIH,349,246,18,4,3,381,194,11,8,9
39093047AIK,39,093,047AIK,447.0585275761926,287.6491853265294,31.62891300335558,6.878190556420754,3.937211343999408,455.9768995780823,241.60167935494414,12.807866163576287,22.567389454527333,15.736916080419423
39093047AIM,39,093,047AIM,314.2899800838521,143.53110954372474,9.765172499368429,0.9962644797598731,3.8957252126972133,323.9658198768782,126.89082183515235,6.851606602271782,9.751067335209122,6.828097995339603
39093047AIN,39,093,047AIN,638.8700622761104,393.03623413929756,30.32936567016117,7.018629632071821,2.944389342004117,698.9325051581235,317.5994842587585,14.603509657297506,18.137775475535225,10.81780547085375
39093047AIO,39,093,047AIO,563.3333348014432,268.61592878496555,19.350654661035744,6.226906448710856,5.129859609683317,563.7630966241941,228.06755810432233,16.4064407295809,15.659782040150485,11.572928243485574
39093047AIQ,39,093,047AIQ,267.2180942931359,191.01034436420858,10.89481901506476,3.590193977544233,1.9508255112196955,294.98664242586926,154.47915186778633,3.060585210329754,8.363842571949485,7.468087690042104
39093047AIR,39,093,047AIR,601.7957232975034,385.6071169252895,46.63011132090666,10.750351379754035,9.218184348108258,620.7741816417495,331.1529881436836,14.83610636966174,29.474017668968518,23.816720385641208
39093047AIS,39,093,047AIS,348.7361188632718,179.31788467593788,18.153994855505207,5.028485191473307,4.035326483986652,343.8300997009716,171.96195745173654,9.059648570994101,12.114076102744077,11.110739192240372
39093047AIT,39,093,047AIT,477.4341440447302,285.65095259463743,24.246035984773254,9.8664977246172,2.276120499309622,508.52630638554785,237.89401059201023,13.991569439412302,12.766479803896361,8.987456201254792
39093047AIU,39,093,047AIU,546.7619233359391,291.6775691598453,30.645957633762634,8.2903275521271,2.4854902968271264,586.518282593666,217.1588022210602,19.047768614669856,16.564575416144162,9.114995820567085
39093047AIZ,39,093,047AIZ,517,281,38,9,7,533,225,14,21,30
39093047AJA,39,093,047AJA,619,351,31,9,1,641,288,21,21,19
39093047AJB,39,093,047AJB,579,362,35,4,3,596,297,17,26,14
39093047AJC,39,093,047AJC,567,328,26,6,3,594,260,15,22,15
39093047AJF,39,093,047AJF,600.6566079587469,303.3287856403812,35.9199086081831,14.966268058283795,3.991232057722667,653.5389687595259,245.45710071472342,19.95524257980819,18.95828672355373,18.957718618102927
39093047AJG,39,093,047AJG,610,308,42,12,6,632,257,18,22,20
39093047AJH,39,093,047AJH,494.21176470588233,274.56209150326794,36.29803921568627,11.168627450980392,4.6535947712418295,475.597385620915,248.50196078431372,14.891503267973857,26.990849673202614,27.92156862745098
39093047AJL,39,093,047AJL,435.57451837035234,326.68088877776427,23.976578992863434,7.992192997621144,7.992192997621144,412.59696350219156,318.6886957801431,15.984385995242288,23.976578992863434,9.99024124702643
39093047AJM,39,093,047AJM,478.9153887279223,339.05724067438695,18.510867062622125,7.027020954727687,7.018069365413021,492.40945736853126,305.53637207523855,13.295293028792727,25.663074553826007,9.111355635794153
39093047AJP,39,093,047AJP,589.1189720966435,275.5529408413787,35.91543416970151,6.236640577924227,2.6203804145677294,601.0837237034368,229.29725573066278,16.739341585516534,17.71404198498391,13.610431621893726
39093047AJQ,39,093,047AJQ,460,222,31,4,6,469,173,11,17,21
39093047AJR,39,093,047AJR,281.88102790335654,159.44705915862127,23.084565830298487,1.7633594220757731,3.3796195854322706,292.9162762965632,133.70274426933722,5.260658414483464,10.285958015016087,9.389568378106272
39093047AJT,39,093,047AJT,430.04563165177234,265.77518655414787,18.052754216485276,8.926181584741649,3.3748479394747823,462.1150941082055,206.98203595160373,15.326557514186838,16.198768398241466,6.182721311843265
39093047AJV,39,093,047AJV,635.206327073615,324.0848607518443,41.881735851007576,10.96902605621627,8.974657682358766,648.1697215036886,277.217203966193,16.952131177788782,39.88736747715007,13.960578617002525
39093047AJX,39,093,047AJX,466.0997006731957,176.75412657842128,26.00620147276638,4.008879551138427,4.990493195069676,467.21525490217374,149.6941896082369,12.977342931566492,20.984798911916666,14.950873341355669
39093047AJY,39,093,047AJY,534.0716320414775,289.2390644287013,39.23323587798971,5.0266555289131105,6.039983293369666,566.3581789772935,237.8059120838632,8.073302704511054,20.106622115652442,18.119949880108997
39093047AJZ,39,093,047AJZ,729.45743933545,329.0616490039253,40.31385466569482,5.035509664651415,5.055361230307081,748.8683128237391,282.4550530133874,15.096603211126412,20.14203865860566,15.166083690921242
39093047AKB,39,093,047AKB,601.4709286230725,330.69928656737346,34.45290945631547,3.937834806435475,5.904655476323254,643.7735081989674,266.7390349027494,10.830094084362536,15.7513392257419,17.713966428969762
39093047AKC,39,093,047AKC,611,313,46,8,2,627,260,24,17,20
39093047AKD,39,093,047AKD,520.9783627007877,264.42033334198834,41.99199285213581,7.866571752197216,3.956271489484272,562.1253557008688,211.33129049097144,14.778904515873403,19.573270101426797,18.57333834261082
39093047AKE,39,093,047AKE,279.7955689833987,115.20607711822348,20.98790750390876,3.990205665206194,3.008385353535142,291.67966490354956,88.27218887808166,8.01973909198863,15.010464558414718,7.0457843326328256
39093047AKF,39,093,047AKF,483.46379273445865,451.3650667579055,40.90423634914674,11.203280202987886,4.113417534472216,508.83834557568224,392.8642521953032,30.403302737591673,33.64635321820041,14.46777534548856
39093047AKH,39,093,047AKH,200.7129985981598,187.40430081554044,13.872026206772523,4.91405732926496,0.9695566794023293,183.57517870672586,185.92172200157017,5.916750974793946,17.452020229241928,6.016161873173917
39093047AKI,39,093,047AKI,188.27285310858113,248.34971313916736,14.014091005607478,6.008967003568394,2.0038430015293116,180.28053911163977,223.29078711571793,10.015372006117246,16.0217770086661,11.023058009175871
39093047AKK,39,093,047AKK,178,284,5,8,7,175,255,12,18,8
39093047AKL,39,093,047AKL,362.2035731076634,259.93417959567466,23.17301363422661,5.052656323460273,3.0451339915373765,409.451810061119,203.43018335684062,7.060178655383169,7.150446638457922,17.15044663845792
39093047AKM,39,093,047AKM,370.05992509363296,307.8976279650437,20.39700374531835,4.856429463171036,1.9425717852684146,411.8252184769039,236.9937578027466,11.655430711610487,13.598002496878902,11.655430711610487
39093047AKN,39,093,047AKN,537.8028487843162,210.81596842757364,25.25848694980518,1.8356979495949837,2.322932962465153,540.8591881718836,168.5242618796569,10.931693545047365,32.53353742975227,15.941415652853806
39093047AKO,39,093,047AKO,496.1091122023644,284.6887915455159,41.63144850828102,7.908460921861662,7.914772396143763,523.772946743175,238.01751604398405,21.794025723664802,21.926566683588916,17.874508371285525
39093047AKP,39,093,047AKP,577.2093721128429,383.02403097166183,40.14866460970193,14.268278558232726,4.772919316110361,610.4873854294948,319.90881166744293,15.307309886875053,33.57087629320818,18.207388311116947
39093047AKS,39,093,047AKS,27.89619410660073,483.20193363219124,5.977755879985871,1.9925852933286237,0,52.80351027320853,434.38359394564,10.95921911330743,4.981463233321559,6.974048526650183
39093047AKT,39,093,047AKT,313,392,14,5,1,378,308,15,6,4
39093047AKU,39,093,047AKU,527.4701195219124,505.31474103585657,26.533864541832667,6.697211155378486,1.1394422310756973,629.0478087649402,363.7828685258964,12.348605577689243,19.348605577689245,10.139442231075696
39093047AKV,39,093,047AKV,541,302,18,2,1,632,201,6,6,7
