GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PRECCAS,G16USSRTHU,G16USSDWIL,G16HALRNOE,G16HALDHAW,G16PUCRNEL,G16PUCDRED
46083VTD-B3,46,083,VTD-B3,25.14609053497942,8.631001371742112,1.4938271604938271,0.5809327846364883,28.05075445816186,7.801097393689987,24.64814814814815,10.705761316872428,28.63168724279835,6.141289437585733
46083VTD-C1,46,083,VTD-C1,101.2004132231405,53.566115702479344,7.729338842975207,1.9772727272727273,122.5909090909091,41.70247933884298,103.89669421487604,60.396694214876035,125.64669421487604,34.332644628099175
46083VTD-C2,46,083,VTD-C2,76.84645846967192,40.67502762558783,5.869281848184974,1.5014248707174973,93.08922389317836,31.666456535778046,78.89385270769505,45.86187874077255,95.4097012096259,26.07016301549669
46083VTD-C3,46,083,VTD-C3,378.77173332464474,200.48282895296728,28.929428458068735,7.400348471520699,458.83086997434725,156.08050841954397,388.8630828003094,226.0488315702797,470.26875362143,128.4966187475971
46083VTD-C4,46,083,VTD-C4,178.47457627118644,127.67796610169492,19.906779661016948,3.4322033898305087,230.64406779661016,100.22033898305085,197.6949152542373,135.22881355932202,240.9406779661017,78.25423728813558
46083VTD-C5,46,083,VTD-C5,81.52542372881356,58.32203389830509,9.09322033898305,1.5677966101694916,105.35593220338983,45.779661016949156,90.30508474576271,61.771186440677965,110.05932203389831,35.74576271186441
46083VTD-H1,46,083,VTD-H1,580.9660290157722,258.24498929853127,62.32901056227469,13.850442760083787,714.5240228638413,199.8875642202588,614.6152243252102,306.7185230410049,691.8268433178432,178.08261351616963
46083VTD-H2,46,083,VTD-H2,678.498689685961,304.77601288238003,84.11944606491704,19.03068753110015,831.753730501209,261.68467447441907,728.545454229077,363.94085200216585,832.848555474197,217.5516261886688
46083VTD-L1,46,083,VTD-L1,204.53313189390013,100.14630827114199,16.403357519353396,3.838072815950222,251.97932643687056,75.73180967381408,212.19624656984587,115.16360671077385,253.3909837227278,61.062535014305986
46083VTD-L2,46,083,VTD-L2,215.4237063069581,105.50532330907278,17.278947050536676,4.043601105315364,265.41708766229857,79.77450686592856,223.50835310344465,121.31569940189345,266.891088875071,64.33071451569283
46083VTD-L3,46,083,VTD-L3,165.32944371427178,80.92823072697954,13.255738576385301,3.101676328856974,203.666888201087,61.20411439273095,171.51644547486165,93.0682758525457,204.8136483564419,49.3470803541506
46083VTD-T1,46,083,VTD-T1,287.04683885885555,130.64311255755604,34.69796953238913,4.994404705419647,364.85440690118264,95.15655280852171,304.6586870305985,152.98650202917025,364.0658166845375,76.23038760903673
46083VTD-T2,46,083,VTD-T2,513.1362471730989,233.47195904866496,62.0052603864639,8.924829984220986,652.1561075664322,170.07017177080695,544.6053537744468,273.4039800350454,650.7570929610778,136.24173289430777
46083VTD-T3,46,083,VTD-T3,293.90650023562137,133.51573731152854,35.4489865121761,5.101908310382133,373.3198511536096,97.30575857229843,311.8880645261986,156.35820025521997,372.55009817534403,77.94393097114978
46083VTD111,46,083,VTD111,902,454,44,5,1078,317,985,423,1150,224
46083VTD112,46,083,VTD112,632.0916434112872,414.05962734981154,77.31038324517408,15.62846937232553,850.1396318373094,293.8178942068023,703.5291444993708,431.674538225132,836.5490694041595,253.52492010413462
46083VTD113,46,083,VTD113,326.82553191489365,244.22127659574468,46.689361702127655,5.3872340425531915,423.79574468085104,191.2468085106383,363.63829787234044,254.0978723404255,424.69361702127657,164.31063829787234
