GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PRECCOP,G16PREIMCM,G16PREISTE,G16PREICAS,G16PREIFUE,G16PREOWRI,G16USSRCRA,G16USSDSTU,G16USSCWRI
16057575008,16,057,575008,285,746,108,1,19,31,5,7,0,439,657,36
16057575009,16,057,575009,184.2507996293307,360.5554210384719,27.48447075000747,0.0387409200968523,37.233940154844106,17.560667204735,14.662945027351807,0.009685230024213076,0.9691358024691358,314.31777419065554,320.55935192658353,14.769482557618149
16057575010,16,057,575010,109.09454834372326,195.72552255225523,24.171128223933504,4.237623762376238,25.009473169539174,10.61991199119912,8.938210487715438,1.589108910891089,0.030864197530864196,181.001466813348,197.63830827527195,13.175834250091675
16057575011,16,057,575011,127.05681633856817,356.08661168515187,39.399216355420734,4.01817128532457,31.308996113375677,18.17265880915516,33.15902507873311,1.0149271652921288,0.014927165292128796,238.8506693630781,379.27873521450164,11.177217429772174
16057575012,16,057,575012,262.23404078073935,263.25336432325463,55.48075376904417,3.831458600957325,38.250356563440775,17.27695024456991,17.18715091571248,3.821338410050108,0.9544069384451964,372.2444473254915,277.543089094887,25.864588330808605
16057575013,16,057,575013,103.00156964994109,275.0016693102548,31.000348811098018,5,30.00017440554901,9.000062287696075,2,1,0,183.00227972967633,266.0014326170097,11.000099660313719
16057575014,16,057,575014,95.13706407137065,306.1265206812652,39.12895377128954,3.0689375506893755,27.62043795620438,19.948094079480942,19.1808596918086,2.3017031630170317,2.3017031630170317,183.3690186536902,330.67802108678023,16.111922141119223
16057575015,16,057,575015,125.34545454545454,343.20779220779224,44.76623376623377,0.9948051948051948,36.80779220779221,16.911688311688312,14.922077922077923,0.9948051948051948,0.9948051948051948,205.92467532467532,360.11948051948053,20.89090909090909
16057575016,16,057,575016,207,493,92,3,41,33,24,3,0,344,489,41
16057575017,16,057,575017,239.60912052117263,313.4885993485342,33.94462540716612,7.986970684039088,26.95602605863192,8.985342019543975,14.97557003257329,0,0,346.43485342019545,278.54560260586317,19.96742671009772
16057575018,16,057,575018,165.24590163934425,449.5081967213115,71.8032786885246,2.9508196721311477,16.721311475409838,39.34426229508197,3.9344262295081966,2.9508196721311477,0,239.01639344262296,477.04918032786884,29.508196721311474
16057575019,16,057,575019,482.44974394114365,151.19279289467818,30.464314831683026,7.0725283452991,8.103192876678474,4.571664142001355,0.9994506585470029,2.6834120023195327,0,497.44571860909724,160.36733505151324,34.32218860860114
16057575020,16,057,575020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16057575021,16,057,575021,492.8867324202258,234.37739593064282,37.233180512478825,4.0344304923568,22.0013687393253,28.586016499787373,2.4769036009785133,1.1270268418363187,0.005698479752106627,568.1465654488436,226.6975188659971,28.219941884161056
16057575022,16,057,575022,136.58861382220013,20.953935074996608,3.880358347221594,0,0.7760716694443188,2.3282150083329562,0,0.7760716694443188,0,125.72361044997966,26.38643676110684,14.745361719442057
16057575023,16,057,575023,237.6896701075911,102.5187533519873,19.092095641296744,0.9992666070396102,4.03958769149762,4.027616205569738,2.0236933241235047,2.999596376907835,0,247.92430012090054,98.4797950520795,27.013157456863148
16057575024,16,057,575024,205.20170293983335,91.30092103119466,12.985796090686204,0.212230102975353,5.699855760981755,2.9354308211970648,5.499724842637303,0.08971670314766235,0,225.04147286070364,97.0618403814626,7.549437710428399
16057575025,16,057,575025,113.58031088082902,19.05699481865285,3.6424870466321244,0.6217616580310881,4.699481865284974,1.38860103626943,0.07772020725388601,1.233160621761658,0,113.90155440414507,24.83419689119171,5.953367875647668
16057575026,16,057,575026,166,63,9,0,9,5,4,1,0,184,66,11
16057575027,16,057,575027,455.11343042748575,176.61353698495637,18.355500458577687,0.917178205952757,5.499090455875693,11.883528878977353,7.313552968576963,2.7395982783357247,0,488.1000156030582,182.08875476178696,22.857837111683647
16057575028,16,057,575028,348.03006542265564,113.40956451733129,26.540848608824817,1.0773478396614122,6.4421819521279255,3.9688989458423762,2.818214985662847,0.21216463824136167,0,382.794407751496,110.73751992167755,9.366737681773264
16057575029,16,057,575029,571.8411408378662,395.8524547256272,67.97117208884154,1.1371394902128762,26.96579194065697,18.467386756480305,14.071234142596172,3.8625100905881746,0.03989458180269701,705.1331480761651,365.70953566691145,38.70542591357852
16057575030,16,057,575030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16057575031,16,057,575031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16057575032,16,057,575032,100.96022898190778,52.631588732431176,8.057067331549689,3.039269157916486,1.2222124847369717,1.5586472699405785,2.0049086447395608,0.19276061629960714,0,99.55119039334737,65.92691795439326,10.569187459640881
16059598001,16,059,598001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16059598002,16,059,598002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16059598003,16,059,598003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16059598004,16,059,598004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16059598005,16,059,598005,826.6835204581678,247.4384521005384,45.38635090197295,2.003551031044548,43.39430632716944,7.937102259041894,6.895671076374713,2.9635761878867646,0,843.2339624716877,256.20608166850286,73.27793047289505
16059598006,16,059,598006,728.0529501300675,204.708606722991,42.64188439214469,5.004684263073099,36.644517202242326,13.06995656448752,5.107858335389993,3.039953223877941,0,710.5354492930181,201.9162712726736,101.78795188004612
16059598007,16,059,598007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16059598008,16,059,598008,67.00004203024938,13.00000250926862,6.000000627317155,0,4.000003136585775,0,0,0,0,59.000043912200844,19.00000501853724,13
16059598009,16,059,598009,137.7717024583642,22.947229063775733,2.992293902023141,0.0031545741324921135,2.9970257632218793,0,1.9948626013487607,0,0,135.7689534216842,29.91662987196643,9.985354016207527
16061616001,16,061,616001,264.18718925190313,88.90712513855642,15.437014289103104,3.1783370899915897,9.26394152811024,4.3061730521230945,8.232802316102736,0.09156854499579478,0.018292682926829267,303.2053754544866,73.07229714692373,22.141751775894416
16061616002,16,061,616002,171.81147586206896,27.89413103448276,6.841365517241379,0.9789379310344828,0.5014689655172414,1.4676068965517242,0.4998689655172414,0.4870689655172414,0,163.10983448275863,33.71175862068966,12.694193103448276
16061616003,16,061,616003,294.43544995794787,54.590832632464256,10.136879730866275,0.9646761984861228,0.9091673675357443,4.532380151387721,2.823801513877208,0.4823380992430614,0.042682926829268296,281.11312026913373,61.46425567703953,29.333473507148863
