GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREIWES,G20PREIPIE,G20PREIBLA,G20PREIFUE,G20USSRRIS,G20USSDJOR,G20USSIFLE,G20USSCWRI
16069696002,16,069,696002,442.7515356308947,190.12893802474366,15.931952418523588,1.9817262622882186,1.1843536397384075e-4,1.9816078269242448,0,430.72144567661223,185.1571423654561,40.9056624463352,1.9976863453509133
16069696003,16,069,696003,421,309,20,2,7,0,0,410,281,30,3
16069696004,16,069,696004,441,241,22,0,3,7,4,457,207,35,11
16069696005,16,069,696005,386,166,31,5,5,2,0,376,170,32,8
16069696006,16,069,696006,495.2402279405218,301.0575193660404,15.002416780085733,7,3,0,0,492.23587773636746,281.0570360100233,35.008700408308634,3.0004833560171464
16069696007,16,069,696007,340.00534256317076,170.00139695763545,16.000042655194974,7.000063982792464,0,5.000021327597488,4.000031991396232,343.0055025201519,174.0012156730568,25.000117301786183,8.00005331899372
16069696008,16,069,696008,551.702369942749,260.38511567472875,4.988468348156523,2.9929114539215003,3.5323952586152246e-5,3.5323952586152246e-5,0,551.7022816328675,232.45161101567763,27.933999194387308,5.985964203653345
16069696009,16,069,696009,632,305,11,8,3,0,3,602,299,28,13
16069696010,16,069,696010,386,107,9,2,0,0,0,373,96,18,8
16069696011,16,069,696011,346,143,2,3,3,0,0,343,122,16,2
16069696012,16,069,696012,253,103,0,7,2,0,3,241,103,21,5
16069696013,16,069,696013,745,297,11,3,5,9,0,708,303,51,6
16069696014,16,069,696014,491.832651204708,99.15255393000925,15.39360624323334,0.0032045837070570817,1.9239337317619127,1.9250019263309317,0.0016022918535285409,487.03082833457086,117.42084472791076,8.663576863058212,7.698405413470199
16069696015,16,069,696015,618,198,4,3,0,0,0,600,159,51,0
16069696016,16,069,696016,398,166,7,0,5,2,0,392,162,21,5
16069696017,16,069,696017,465.2542372881356,123.5593220338983,0,1.5254237288135595,1.5254237288135595,0,2.288135593220339,462.2033898305085,106.77966101694915,19.06779661016949,1.5254237288135595
16069696018,16,069,696018,469,143,16,3,0,0,0,474,129,21,2
16069696019,16,069,696019,624,174,13,3,5,4,3,627,177,28,6
16069696020,16,069,696020,634,146,5,7,0,0,7,610,154.99999999999997,37,3
16069696021,16,069,696021,815,257,15,7,2,0,0,806,266,21,8
16069696022,16,069,696022,638,234,7,2,2,0,3,610,259,7,5
16069696023,16,069,696023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16069696024,16,069,696024,475.1878501664482,114.59326017347438,4.885477524729585,0.018392173075755327,0,0.018392173075755327,0.0029403358534928112,466.55436554747826,113.59471115300447,17.439964612253558,0.9690005369539566
16069696025,16,069,696025,662.2001651172355,174.40423733278746,4.703262732396836,6.4126264450853,0.5506577850258128,2.0530383813805027,3.6773452206898405,675.9529575987061,153.29400328523172,17.213982623072457,5.735375505401399
16069696026,16,069,696026,243.79067056791354,1373.121367315167,4.36223504920744,15.176629018416147,0.45373451478288146,1.9993924665856622,0,214.4321759525157,1388.9372328640336,5.45314072660446,5.451599162874795
16069696027,16,069,696027,244.20606130279782,55.09741826562676,2.029275249720491,0,0,0,0,238.4064289532632,55.12834770677386,8.854853637068762,5.887677589009678
16069696028,16,069,696028,289.86119718722875,76.11356031031758,3.6525800485529665,1.8233709815838528,4.556847645134836,6.075334143377885e-4,0,286.1519657575264,84.36753749709919,4.570140209903524,4.55051732451545
16069696029,16,069,696029,193.32268832293224,65.35488298838696,2,3.096774193548387,0,0,0,185.935592555073,61.32262492387084,5.290324593313777,1
16069696030,16,069,696030,107.00147859410386,44.00052739719339,3.605163351832064e-5,0,2.5751166798800457e-5,0,0,108.00131278030204,44.00069735489426,2.0000546398983414,5.150233359760092e-6
16069696031,16,069,696031,316.1818341656242,113.03710915539988,7.052211325025033,0,5.027155317820729,0.05397180039736022,0.04260355029585799,284.4796472302413,145.5402410679607,11.10232333943364,1.0934857041981925
16069696032,16,069,696032,105.91666063917593,95.89502138933771,5.015375342312454,0.06576980568011959,4.971528805192373,2.0105347906369895,0.03288490284005979,109.06400243649165,96.70297936761584,5.092106782272593,3.037725454515524
16071713201,16,071,713201,614.6711590296496,62.076040089344,8.113802581739543,1.9934102141680394,0.2803234501347709,1.2770285572187907,0,578.5094517244901,73.03979626726822,15.230900056395066,18.36117710271451
16071713202,16,071,713202,464.6871508379888,69.21601489757914,4.182495344506518,4.052141527001862,2.026070763500931,0.1042830540037244,1.0260707635009312,437.8268156424581,70.13780260707635,12.547486033519554,6.443202979515829
16071713203,16,071,713203,529.8293678700438,84.08387419971243,7.08603266062638,2.0393550178244255,1.0141262983067019,3.938558265294412,0.9731106733067019,497.0824463019762,81.02097863499084,21.240176797620876,16.980355414459698
16071713204,16,071,713204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16071713205,16,071,713205,90.15509191778303,5.763592574819147,0.9749743240152307,0,0.0431266846361186,0.99653766633329,0,90.11196523314692,5.763592574819147,0.0431266846361186,1.0181010086513493
16071713206,16,071,713206,62.173746393663166,1.956083897976395,0.8848639123825403,0,1.6765497881594231,1.723138806462252,0,60.49719660550374,1.956083897976395,1.6765497881594231,2.5614137005419635
16073732301,16,073,732301,453.4854258559007,120.2272840853577,6.251776136630134,1.3735773543595668,5.431484491205304,2.0603660315393504,1.3814304701386872,425.45273994399554,143.31894628875938,18.51973493651679,8.312142168169485
16073732302,16,073,732302,832.430234348331,174.54270079109088,17.428054007235552,1.9401004277041316,0.024578268016145294,2.9094535299695874,2.9060617369903725,808.1363288408055,175.61492061104448,23.282666616554597,20.33773990773401
16073732303,16,073,732303,609.0942485241146,104.62132323895482,7.459104502482294,6.050842544643862,1.99976762947113,3.07611683425078,0.07759084911291553,585.4450782336012,122.65653768776573,6.618341492713468,12.538928072945112
16073732304,16,073,732304,473.60427708812557,79.48830129392375,2.0018673748027562,0.99566667813623,0.007022679020197488,0.007022679020197488,1.9843106772522625,447.785076331798,100.3446314421331,12.919087439200299,8.945907787691889
16073732305,16,073,732305,82.32537506707993,0.6074430138778782,0.10190500916064126,0.003658743433656281,0,0,0.007317486867312562,84.0195283998802,0.8998229165871442,0.1556541461688523,1.0222567556749773
16073732306,16,073,732306,323.0718897197506,32.80422264846698,4.9703367649192405,0.994067352983848,1.988134705967696,1.988134705967696,0,315.1193508958798,38.76862676637007,5.964404117903088,3.976269411935392
16073732307,16,073,732307,175.25388522739047,21.50067951585541,6.542939437836984,2.8648679988564016e-6,1.0027037995997405e-5,0,4.297301998284602e-6,164.04336091467167,36.455479181484364,7.477654894218263,0.9434430597752359
16073732308,16,073,732308,90.20707262165917,5.053374591234009,0.028204628666305173,0,0,0,0,79.2492010467449,4.125701865919477,0.0322338613329202,7.943164888944204
