GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVRLIT,G18GOVDJOR,G18GOVLBOE,G18GOVCBAY,G18GOVOWRI,G18LTGRMCG,G18LTGDCOL,G18SOSRDEN,G18SOSDHUM,G18CONRWOO,G18TRERELL,G18ATGRWAS,G18ATGDBIS,G18SPIRYBA,G18SPIDWIL
16045458004,16,045,458004,337,150,10,3,0,331,165,337,155,424,419,345,148,274,219
16045458005,16,045,458005,604.0949040343738,126.52158924203563,6.891811268377705,12.829926561739802,0,606.0620161317187,135.3929722507735,610.0211758267017,127.46293907387452,647.456306028518,647.4983987455129,612.906664181374,123.55151009680694,515.178113003147,222.33613761355127
16045458006,16,045,458006,595.8650254344008,162.36466797034404,5.335097681712483,10.669510823113367,0,585.9880399058172,179.33455971619824,596.1248594567477,170.19661236698965,652.823474618384,651.7080571842775,603.1944448179988,163.23946499625356,524.3855329891218,236.64608426046252
16045458007,16,045,458007,444.3962782756418,97.19099937207748,2.6506014069866137,5.300905277116493,0,422.31057137754976,120.16045826619334,431.14612759453337,111.32442599023892,483.27226147287337,482.38892602844896,447.0494384995963,96.30379594851554,363.11721837747257,184.65400245493083
16045458008,16,045,458008,571.6981530343008,123.93456464379948,3.9978891820580476,17.990501319261213,0,572.6976253298153,118.93720316622691,606.6796833773087,91.9514511873351,571.6981530343008,571.6981530343008,586.6902374670185,94.94986807387862,505.732981530343,182.90343007915567
16045458009,16,045,458009,516.2201899839195,102.5486293216499,1.1104130494028743,7.179718047362934,0,516.2533785913828,105.67493207573779,520.3125986339982,95.59014973233546,529.8605877729306,536.8185112701983,509.41715611733457,99.50236732398912,451.1003203074233,169.76709636924673
16045458010,16,045,458010,391.1122244994609,98.60471672787195,0.9413056229486454,1.7927203473507687,0,378.4373348100404,109.45092971052308,387.49082744534076,95.92462529670044,423.5725104505123,426.2526018816838,390.22485341564015,89.65909317082742,339.0693998871607,146.9722097469241
16045458011,16,045,458011,483.96553587982527,110.96409731198662,3.0824109947038916,7.048277655746075,0,472.62173359326283,118.25545115066161,480.87729417069863,110.95576971866252,507.9134651878193,505.93427717565027,479.9830140321349,104.87335872395863,424.06734253140655,168.70412235108168
16045458012,16,045,458012,404.72276117380244,101.9301768882169,2.997946379065203,4.996577298442005,0,382.7378210606576,116.91990878354292,393.73029111723,107.9260696463473,434.70222496445444,430.70496312570083,406.7213920931792,90.93770683164449,352.75835727000555,154.89389625170216
16045458013,16,045,458013,101.96409485129799,37.94027094161121,0.13432517919731773,0.35365371268443163,0,99.6742025894441,37.295925636675115,105.89633143570848,29.700902156646542,115.4927729423521,114.70668148446522,103.42821216112375,32.169021431231265,80.19302597509856,57.886766517764215
16047472601,16,047,472601,191.64022712285896,113.89010224884763,6.156407193236277,3.463218913269082,0,202.4128639435405,111.581987435125,208.5706667270236,103.11554649157668,271.67072945443687,270.901454765852,215.88095687834036,95.03615610045595,178.55400942665463,131.2095113420293
16047472602,16,047,472602,259.53286599955584,154.24091498851607,8.337566348869641,4.690165099552493,0,274.12233328612706,151.11496451966525,282.46155216336507,139.64917547543828,367.91792347812435,366.8760547474219,292.3618871806141,128.70717829353288,241.81097584135756,177.69566524115348
16047472603,16,047,472603,857.3700274671972,226.7381716016871,15.42068224815492,12.789208292667766,0,865.9615865529172,230.18413608934154,905.2046484322146,185.39799487092532,1010.1492798376977,1012.9165081626204,915.9406135811682,180.41468273837654,758.6225753450038,347.3991372700178
16047472604,16,047,472604,408.248416856836,191.83656924449485,7.560095105726961,8.505158509544934,0,402.5783693039725,206.01185456167573,413.918511962563,194.67160094640383,541.4942411064696,539.6041301497883,429.98352781351747,170.10150584067688,342.0969585690226,260.82321774376214
16047472605,16,047,472605,540.627330178111,107.9112987450037,6.270177767754688,10.19595227247529,0,537.3822412942337,126.15078134780079,546.8355399672133,109.9316326284514,599.2507643165302,592.3428929225954,548.8423029729798,102.59940682867537,447.25318568227897,213.07477476033446
16047472606,16,047,472606,187.63738523962886,78.07170791464878,3.0880616017441076,4.046810358449865,0,192.5121223158107,73.22349224677538,195.94282128815544,71.72578407729817,234.91813115538355,233.89852553350462,204.08738704402683,64.62015685321154,166.07850347553463,103.70807384102804
16047472607,16,047,472607,749.6027247055744,234.07447775401246,5.987447673316042,6.02686025854195,0,746.6785570791212,233.1625972774162,767.4631324580738,214.31916608703278,885.4477735431124,879.4888803756697,793.1929870172337,190.5374928190941,626.579134207732,360.17819977250264
16049497001,16,049,497001,78.55506086406416,5.966207154232721,0.9943678590387868,0,0,76.56632514598658,5.966207154232721,77.56069300502537,6.960575013271508,78.55506086406416,77.56069300502537,80.54379658214174,3.977471436155147,74.57758942790902,11.932414308465441
16049497002,16,049,497002,189.833827014218,26.420171800947866,0,2.935574644549763,0,188.8553021327014,23.484597156398102,192.76940165876778,19.570497630331754,188.8553021327014,187.87677725118482,185.91972748815166,17.61344786729858,178.09152843601896,33.26984597156398
16049497003,16,049,497003,240.17465753424656,51.821917808219176,3.9863013698630136,5.97945205479452,0,244.16095890410958,51.821917808219176,243.16438356164383,56.804794520547944,253.13013698630135,253.13013698630135,245.15753424657532,49.82876712328767,209.2808219178082,92.68150684931506
