GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREOMCM,G16PREGSTE,G16PREIHED,G16PRECCAS,G16PREIKAH,G16USSRBOO,G16USSDELD,G16USSLGIL,G16USSOWRI
050470003-F,05,047,0003-F,73.3014142536825,12.722725250907283,3.5945132500533696,0.021026500106739072,0,0.021026500106739072,0.9065132500533696,0.010513250053369536,61.63238775357576,19.015751751014022,5.407539750160108,0
050470004-A,05,047,0004-A,148.98921690518796,43.69961516359779,9.931576935702566,3.9726307742810265,0.9938343400767558,0.9931576935702566,0,0,135.08297925568488,62.571641280952164,12.911050016413336,0
050470004-B,05,047,0004-B,144,25,2,4,0,3,1,1,130,39,9,0
050470004-C,05,047,0004-C,31.423708099876148,15.711854049938074,0,0,0.7855927024969037,0,0,0,32.99489350486996,12.56948323995046,3.142370809987615,0
050470004-D,05,047,0004-D,295.75948789138033,75.30147405350563,15.766724888613268,4.930882780905733,0.03756079475442855,1.9540600995878612,4.884280543422355,0.028519352025478575,281.0617834347245,90.89291523326489,16.846526174394235,0.0017394110945964376
050470005-A,05,047,0005-A,286.897560506789,82.29388701020014,3.7938951882084355,3.7938951882084355,1.890280927437551,0.9584737970521089,0,0.9451404637187755,261.35210131971536,104.09878434239864,13.231966492062858,0
050470005-B,05,047,0005-B,44.30983869041095,8.535146850236373,1.1930712086051858,0.2138556223696036,0.10790061357435572,0.05249110320284697,0,0.054436707981954824,40.94387575535845,11.6843357557506,1.7257646597500869,0
050470005-C,05,047,0005-C,312.9250448329389,74.03525637444572,2.9155742386820402,0.9731783855195969,2.8838705469471884,0.9573390736714865,2.8719812538285976,0.9652565497660955,306.2078614330879,83.59669133324388,6.776587358769746,0
050470006-A,05,047,0006-A,170.18292804569924,43.92990170379654,5.842328243282229,2.891374277012315,0.9639566883854775,0.9740100363486329,0.9824933885220829,0.9838716723762458,146.06145616074414,64.22601095530777,12.609665702678445,0.009392297104332056
050470006-B,05,047,0006-B,163.3383004935341,58.925811128659475,6.414002396906312,0.16909899569328032,0.016824490402143573,1.053156548960683,2.1133221681184158,1.9944932891906468,159.59608798719407,65.59136746383426,8.532801695413536,0.9888682918010715
