GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVDPOL,G18GOVRSTA,G18GOVLHEL,G18GOVOHAM,G18ATGDWEI,G18ATGRBRA,G18ATGLROB,G18SOSDGRI,G18SOSRWIL,G18SOSCCAM,G18SOSOHUB,G18TREDYOU,G18TRERWAT,G18TRECKIL,G18RGTDSMI,G18RGTRMON,G18RGTLTRE,G18RGTOOTW
08069069549,08,069,069549,197,304,15,7,181,311,18,191,298,20,3,184,297,29,172,283,22,13
08069069601,08,069,069601,210.15131078957768,84.97927415767684,11.167215586444971,5.0695426113165,204.013003981453,90.10976751848766,15.218786292198551,208.2271100191914,84.9487987829297,14.160180553639428,0.050792291245255104,204.04347935620015,84.97927415767684,17.264888561573443,197.93564792282262,87.99255604136941,11.23832479418833,4.061729164002631
08069069602,08,069,069602,558.1167608818399,283.8384705810875,10.456664756389202,1.442970667405859,517.6389272581998,308.89194271227893,14.348106814234162,521.0265327288226,314.17864781923896,9.037187054265056,1.0207652875201958,495.79411291869775,326.88875423051985,11.363147693077535,471.4032469272922,284.9917929475522,26.880757195684083,4.660863939619065
08069069603,08,069,069603,636.1087362866938,507.4316095718155,24.625556460541066,7.565157956028551,611.4462340133449,525.4127143971863,21.84127001028159,599.2073474086901,549.02889458613015,17.07148224835488,0.014778325123152709,596.3233072638493,525.4422710474325,21.848659172843167,553.8200942537995,492.30868282231995,31.292175583396098,11.355126096604403
08069069701,08,069,069701,733.6118504353202,254.82110680950504,33.09162693798676,10.016044792658324,702.5640951228083,266.8711055039936,41.05884124334785,702.5492185373413,273.8783697693965,29.063390028905115,11.020624589017563,698.6102411410618,263.8127363585147,39.0645582360964,670.5117600139372,225.7577167805999,42.117968519752885,15.014149465342795
08069069702,08,069,069702,574.3873926790602,275.4187751975267,14.906110657411482,5.956389343354033,550.4926362243805,280.43253023519486,25.826518198775457,545.5567301531339,300.2583284291818,7.957350168713358,2.9792759073217594,547.5176852596377,290.34326686089884,11.928997221379209,522.6867819131405,244.6347262146098,36.7588193322316,8.942152664544249
08069069703,08,069,069703,384,271,24,10,361,288,25,385,262,24,9,367,272,32,347,264,28,11
08069069801,08,069,069801,351.9871434298866,406.98513459080635,23.999123415674084,5.999780853918521,335.98772781943717,426.9844041038681,19.999269513061737,341.9875086733557,419.9846597742965,15.99941561044939,0,332.9878373924779,413.984878920378,28.99894079393952,328.9879834898656,389.9857555047039,28.99894079393952,6.999744329571608
08069069802,08,069,069802,305,358,13,3,272,386,12,296,364.00000000000006,6,2,277,378,12,270,359,8,2
08069069803,08,069,069803,439.62109189137755,778.2673144388249,16.793101145682726,8.890093343947902,405.0338924369325,801.9801319224474,22.721937862991403,425.77533575146754,791.1146028012673,10.866793813986142,0.9934090062433056,407.0093282141647,801.9750731512232,12.847288362442523,387.2524410562307,765.4339376972489,28.65077458030008,5.928836717308678
08069069804,08,069,069804,304.7124156950289,368.29712792131943,10.860074994103318,5.183828475437697,272.75979800374176,386.9884555154888,15.600727230635885,282.8812459330032,380.9057383970674,7.375540195987477,5.085344866792112,273.6094448424027,382.9989665089716,12.608610475747968,261.1978015839459,366.0194687572975,21.17849014065592,5.282312084083282
08069069805,08,069,069805,250,325,15,1,223.99999999999997,348,13,243,338,5.000000000000001,2,222.00000000000003,356,6.999999999999999,211,325,26,2
08069069806,08,069,069806,310.74046030448676,460.65039482837653,15.884496373392295,2.978343070011055,266.0653142543209,491.4266065518241,19.85562046674037,289.8920588144094,480.5060152951169,7.942248186696148,1.985562046674037,262.09419016097286,486.462701435139,16.877277396729312,257.13028504428775,453.7009276650174,22.833963536751423,4.963905116685092
08069069807,08,069,069807,246.1639073973894,357.42999354100937,9.846556295895576,6.892589407126903,221.54751665765045,371.2151723552632,14.769834443843362,223.51682791682958,376.13845050321095,11.815867555074691,1.969311259179115,214.65492725052354,378.1077617623901,8.861900666306019,202.83905969544887,351.52205976347204,17.723801332612037,5.9079337775373455
08069069808,08,069,069808,386,735,16,4,331,782,13,352,764,9,2,350,751,15,318,723,25,5
08069069809,08,069,069809,203.71233873077006,589.7872514345003,12.45402944205581,8.895735315754152,191.25830928871426,603.1308544081314,12.45402944205581,194.81660341501592,599.5725602818297,9.785308847329567,1.7791470631508302,188.58958869398802,600.4621338134052,12.45402944205581,184.14172103611094,566.6583396135394,18.68104416308372,7.116588252603321
08069069810,08,069,069810,276.31506470325775,495.1628986644978,26.819526888593995,2.3728608151318666,265.5375431666687,489.5299390285163,28.9502266636123,274.1442784917218,477.8223641225247,25.97877243893901,2.1948622204166903,257.6011701990553,485.1704443181225,24.180784871261473,241.9682067768711,464.5613928320151,34.52400843163809,3.2389435211472293
08069069811,08,069,069811,316.1034058119314,548.678326088889,23.924536434641347,9.158083311760493,299.58392667412744,555.048597546637,26.67960218555842,311.51890647220193,539.43837751939,27.577945928416923,4.58449933972948,296.79611482011495,546.7943156615843,33.05533132715567,281.164064057471,530.2202596852879,43.17179290411624,4.589957023578714
08069069812,08,069,069812,299.25953969551324,514.3496051716235,9.115503626607705,1.0216569299889449,249.93468574567908,558.5733934481759,12.144379533259633,269.1079411855906,537.4939847048831,7.057751813303852,1.014437953325963,268.90580983902714,537.537298564861,8.122722603270686,252.86971495571223,510.2990723349826,17.166036463248577,3.036094883314908
08069069813,08,069,069813,301.74538682055345,527.8881814218556,20.39243985716643,4.27812213077453,284.1227814072303,550.3590699144539,17.469161709218643,278.2217547632118,552.3675071513455,13.371915136616884,0.06483104840117139,272.96415735298683,552.4152670459566,17.377095486755987,246.6946691391108,539.3522652008492,24.634692896980972,8.2286354527838
08069069814,08,069,069814,279.91955869841166,352.25896490375834,17.12727807783622,3.809848060532072,259.9113818666862,366.5448728390801,12.380302377273422,262.77728700936433,364.63517811433786,7.615606954370199,1.9083316691776566,257.06047033521924,366.53942061682153,12.376213210579477,248.4872899073486,327.53788876058627,23.796216003223154,5.711364451886487
08071071001,08,071,071001,12.958293308040039,137.2595798353245,1.9909408298353244,1.9897138359702937,15.941023571197933,137.2595798353245,0.9966974087826929,22.901954512431384,130.29742190022603,0.9979244026477236,0,18.920072852760736,131.29657329673879,0.9966974087826929,16.931586010655472,128.30525407652567,0.9991513965127543,0.9942434210526315
08071071002,08,071,071002,27.997684023927622,46.941586627074734,2.0186898532673188,1.0616346385433926,28.003320477529137,46.90668677735297,2.0943662570040886,29.326403675621194,44.68471478073994,3.039788188487424,0.03489984972177349,25.2308575528836,48.658291617470105,2.10599954024468,25.02157857989881,41.88346896135756,3.973576836730168,0.04065642866914191
