GEOID20,STATEFP,COUNTYFP,DISTRICT,G18SSCRJAC,G18SSCRANG,G18SSCDEAR,G18SACRHEA,G18SACDARR,G18SACRGRI,G18SACRRAY,G18SACDHAM,G18SACRKIT,G18SACDCOL,G18SACLMON
37179000032,37,179,000032,1059.359663150412,392.1581460305054,578.1900735962812,1424.5178306220773,599.1988296436647,1077.3859670278293,389.1307336508523,547.1805030472078,1389.5030544446915,555.1870762371526,78.02461134467481
37179000033,37,179,000033,720.7256457094308,215.77249787595582,472.874375531011,938.2157943925233,469.22318181818184,690.1106966864911,261.28776125743417,436.57202633814785,880.0713508920985,432.6857561597281,100.60450297366185
37179000034,37,179,000034,1048,411,520,1457,526,1153,337,482,1428,487,58
37179000035,37,179,000035,528.6409495548961,227.7507418397626,366.6231454005935,733.246290801187,381.43620178041544,538.8249258160237,223.12166172106825,347.1810089020771,692.5103857566766,354.5875370919881,68.51038575667656
37179000036,37,179,000036,572.7225826419398,224.68763311553525,296.41741491611066,779.2645672142077,309.49102122676516,640.4361770528802,147.84108368156794,294.24833436386234,767.2833138439067,291.23838041330833,31.26298335040738
37179000039,37,179,000039,772,290,299,1049,315,805,248,294,1005,296,63
37179000040,37,179,000040,1171.9742222322504,375.29032214938644,829.9587474488695,1501.1724576221177,857.0133649176597,1115.6605885599088,443.67249268301214,785.7546037279088,1434.838319479247,808.809954628145,109.50495814797709
37179000041,37,179,000041,1298.0472810641584,355.19296686393113,816.4384101105935,1629.048658286179,848.6047577479603,1186.5583696849242,458.888693145812,783.1611042010286,1560.5545766530354,810.2669422555736,102.83190889876741
37179000042,37,179,000042,457.79859599379796,227.4182903263164,397.4529193158415,676.2787676167964,404.40525228668724,496.528707952182,191.67102278102655,386.5227661584725,640.5283757107172,383.53575593099254,54.63097816851231
37179000043,37,179,000043,48.64248251748252,22.469114219114218,370.8441142191142,69.03001165501165,371.9256993006993,45.74446386946387,30.377331002331,357.83391608391605,61.98921911421911,367.8135198135198,11.142773892773892
3717900017A,37,179,00017A,890.9123030748577,298.9705708410578,610.9398621534658,1158.8859250996186,634.937499946728,859.9153542585608,317.9687007607236,584.9424212107652,1105.8911416394978,595.941338532677,84.99163385113683
3717900017B,37,179,00017B,1354.005794866945,419.07556116745894,956.8821392659805,1728.1805049926454,993.8004702448973,1278.1753483674152,485.92526659200877,922.9567980937061,1650.3524353654702,933.9328985148744,136.6972234944984
3717900020A,37,179,00020A,949.0828459969923,380.1121451279605,1084.7057249789345,1287.6485677496464,1117.573355396575,910.2694486016848,422.78748682183124,1033.4862273669705,1215.0801751927368,1047.9776054763395,139.26233533690802
3717900020B,37,179,00020B,1313.7677901155478,466.85745055177586,880.2473152420328,1749.4761186269736,909.1435844902664,1234.8034661508757,548.8979614509275,837.894335680987,1638.6790397202121,862.2353041124264,153.63698176296253
3717900028A,37,179,00028A,1390.9527189358419,432.80703313606887,1270.5615898894064,1785.9513417138207,1303.3952422520397,1294.441630315076,570.111306854188,1215.8388957989714,1688.4454233469646,1236.7330577444263,164.1680911012326
3717900028B,37,179,00028B,1124,319,950,1419,965,1001,463,906,1316,917,145
3717900028C,37,179,00028C,1042,325,810,1320,852,902,452,786,1233,812,115
3717900028D,37,179,00028D,1155.8876295820207,425.1533632208379,1143.6776856323136,1554.6888835311158,1174.9469081033515,1035.6345644396456,545.442402556327,1105.247490374844,1467.075389900265,1103.396489727319,156.13909828176696
3717900029A,37,179,00029A,870.9782490066551,374.39501937483857,1310.0654119152182,1227.971769568587,1316.9515375625838,846.3360745962038,442.2478562202458,1236.2065891673126,1173.689854473435,1243.3920345425693,121.04081239005548
3717900029B,37,179,00029B,456.99999999999994,183,414,637,410,438,200,392,598,386,62
3717900029C,37,179,00029C,686.8488348105969,244.8794954944003,531.0030234155145,919.3815515066786,530.2936476724506,686.1729709750084,255.5541622363231,501.23345013954946,879.5938944691801,507.109108410091,66.06338263334267
3717900037A,37,179,00037A,1241.8697774286245,490.74969970448166,1336.91721399127,1674.9179262634134,1370.0065275022264,1218.6225252330926,493.40820266809226,1301.4868213532382,1581.922481272009,1278.0348213832258,185.03540036856512
3717900037B,37,179,00037B,561,154,295,706,305,516,184,293,670,292,45
3717900038A,37,179,00038A,771.51538645779965,321.10797124855554,849.2407176031384,1063.7275707114827,868.2620702428867,784.0720549368681,319.29124750541945,829.0641264133294,1014.6080535051402,818.2731106708591,97.17464368512661
3717900038B,37,179,00038B,645.1701725682794,222.3355671619917,528.0469720097302,864.5280312414944,526.0618330172125,625.3187826431016,244.1720960796873,501.2475956107402,810.9292784435142,495.29217863318684,83.37583768574687
371810000CC,37,181,0000CC,431,356,601,764,630,546,249,584,731,611,45
371810000NH,37,181,0000NH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
371810000NV,37,181,0000NV,121.94742797128481,90.62411302165023,414.68387959586164,203.47854609969116,418.7531512538067,121.78315837831333,90.84492943877603,405.6355728023669,186.3281059519779,412.64818028837175,18.32140074121859
371810000WH,37,181,0000WH,566,359,1061,918,1073,625,308,1037,848,1045,78
37181000EH1,37,181,000EH1,39.06416767211033,19.628997913467018,796.9349361104768,42.22931993216706,806.6153705934572,30.363406326717353,26.39625673766156,791.1053543236579,30.573386827776368,799.8287289537803,22.29342744022917
37181000NH1,37,181,000NH1,59.14840978780694,20.32689178048379,678.0982960406445,83.38913980668404,676.1385912575196,53.20243950415093,35.191817489623816,672.1021838062778,66.44751142942735,668.1772029121711,21.902174941493442
37181000SH1,37,181,000SH1,95.29981209390961,54.65163808492601,594.2945361588588,152.88732493935262,590.3361312210926,84.50258672995734,64.50258977076257,590.2806719489956,136.01731019301454,586.3846586923386,22.818020766505533
37181000SH2,37,181,000SH2,68.5401824748883,46.76835919947295,249.9883520941582,111.01566922210515,249.15675567412384,78.14840906086104,43.06440656317603,240.87621711870173,99.63368559780385,248.96122915333825,14.664976110553267
3718100HTOP,37,181,00HTOP,55,44,248,93,250,65,35,244,95,248,3
3718100KITT,37,181,00KITT,563,398,838,942,854,641,339,811,910,829,63
3718100MIDD,37,181,00MIDD,359,241,863,590,869,403,211,844,559,870,34
3718100SCRK,37,181,00SCRK,462,321,1029,772,1035,522,270,1017,735,1032,50
37183001-01,37,183,001-01,187,81,1038,245,1050,162,106,1032,217,1016,67
37183001-02,37,183,001-02,267,77,978,304,1005,249,101,965,274,993,51
37183001-03,37,183,001-03,549,136,826,626,871,519,166,811,596,851,46
37183001-04,37,183,001-04,232.30057803468208,54.65895953757225,417.53371868978803,262.6666666666667,438.0308285163776,230.78227360308284,56.936416184971094,409.1830443159923,248.24277456647397,424.36608863198455,25.052023121387283
37183001-05,37,183,001-05,306.7116682738669,79.15139826422373,449.1841851494696,341.3404050144648,491.7280617164899,296.81774349083895,84.09836065573771,444.23722275795564,315.6162005785921,486.7810993249759,27.702989392478305
37183001-06,37,183,001-06,340,127,1487,444,1499,344,151,1450,384,1483,89
37183001-07,37,183,001-07,235,107,1311,301,1341,247,97,1292,259,1297,96
37183001-09,37,183,001-09,148.28833172613307,63.84860173577628,719.8158148505304,178.6595949855352,757.2719382835102,175.18225650916105,56.90163934426229,702.7627772420443,165.3837994214079,731.2189006750241,32.2970106075217
37183001-10,37,183,001-10,415.6994219653179,105.34104046242774,914.4662813102119,476.3333333333333,951.9691714836224,417.21772639691716,122.0635838150289,882.8169556840077,425.75722543352606,951.6339113680154,50.947976878612714
37183001-11,37,183,001-11,678.1323003575685,146.19904648390943,608.7497020262217,750.8188319427891,669.046483909416,663.264600715137,156.93682955899882,593.8820023837902,711.1716328963051,662.4386174016687,43.777115613825984
37183001-12,37,183,001-12,350,117,856,425,892,360,124,839,399,857,63
37183001-13,37,183,001-13,143.96436870642913,60.149496514329975,952.5313710302091,187.35089078233926,961.4058869093726,157.76917118512782,63.107668474051124,922.9496514329977,154.81099922540668,937.7405112316034,56.20526723470178
37183001-14,37,183,001-14,322,104,2173,387,2196,319,132,2141,313,2166,110
37183001-15,37,183,001-15,495,148,863,607,894,472,172,847,559,876,63
37183001-16,37,183,001-16,484.32710280373834,165.44859813084113,1371.8182762201454,588.6843198338526,1423.5244029075805,474.6116303219107,186.10903426791276,1349.4880581516095,568.4184839044652,1363.0841121495328,82.76116303219106
37183001-17,37,183,001-17,294,84,442,364,450,295,92,422,335,444,34
37183001-18,37,183,001-18,543,130,1151,624,1190,536,154,1130,591,1152,79
37183001-19,37,183,001-19,27.000000000000004,17,948,37,956,23,20,949,24,944,24
37183001-20,37,183,001-20,158,61,1480,194,1498,135,96,1456,146,1463,81
37183001-21,37,183,001-21,410.63684911336327,165.4565147834946,1718.8129991814553,532.2423986899894,1753.690265674242,409.63516667863865,191.3741001146132,1687.9125989463382,473.44298877112556,1690.8938773572893,135.5431699718881
37183001-22,37,183,001-22,62,36,2263,84,2272,61,76,2227,68,2233,60
37183001-23,37,183,001-23,519.2002916869227,284.8288770053476,2737.466699076325,690.5469129800681,2836.8736023334955,504.17015070491004,341.02479338842977,2684.2406417112297,596.1098687408847,2651.3159941662616,291.9946524064171
37183001-25,37,183,001-25,13,11,298,15,303,16,9,294,12,292,16
37183001-26,37,183,001-26,51,35,1141,68,1157,51,45,1129,60,1125,41
37183001-27,37,183,001-27,143.7997083130773,54.17112299465241,1141.5333009236751,166.45308701993193,1168.1263976665045,141.82984929508993,66.97520661157024,1126.75935828877,137.8901312591152,1131.6840058337384,65.00534759358288
