GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTru,G16PREDCli,G16PREIDeL,G16PRELJoh,G16PRESKen,G16PREISmi,G16PREGSte,G16PREOth
47031001516,47,031,001516,1001.44,362.94,1.08,61.32,1.94,2.05,6.9,7.76
47031001517,47,031,001517,283.32,181.72,0.99,20.85,0,1.98,1.99,0
47031001518,47,031,001518,617.89,233.92,1.01,32.1,2,4.02,3.02,1
47031001519,47,031,001519,353,212,2,11,0,3,6,1
47031001520,47,031,001520,647,284,3,24,2,1,12,5
47031001521,47,031,001521,678.36,298.44,1.02,34.27,4,5.05,8.05,8
47031001522,47,031,001522,482,102,1,10,0,4,2,3
47031001523,47,031,001523,242,70,1,6,1,1,2,1
47033001601,47,033,001601,365.76,70.17,1,7.03,0,0,0,1
47033001602,47,033,001602,348.97,46.86,0,1.99,1,0,3.99,0
47033001603,47,033,001603,385.03,70.14,0,4.01,0,2,1.01,0
47033001604,47,033,001604,238.25,78.19,0,8.11,0,0,0,0
47033001605,47,033,001605,204.07,161.02,0.05,3.31,1,0.05,1,0
47033001606,47,033,001606,456.69,110.79,1.95,15.58,0,1.95,0,0
47033001607,47,033,001607,422,115,1,4,0,1,2,0
47033001608,47,033,001608,147.69,229.1,0.95,6.63,0,0,0,0
47033001609,47,033,001609,332,112,1,2,0,0,1,0
47033001610,47,033,001610,251.56,136.72,1.05,3.34,1,0,2,0
47033001611,47,033,001611,427,84,0,11,0,2,1,0
47033001612,47,033,001612,403,89,0,9,0,1,1,4
47035001701,47,035,001701,542,95,1,8,1,0,3,4
47035001702,47,035,001702,523,121,0,7,0,4,2,0
47035001703,47,035,001703,753.14,192.29,2.11,15.91,0.08,4.09,3.06,0.05
47035001704,47,035,001704,1214.31,343.76,3.97,39.74,2.98,7.95,8.94,0
47035001705,47,035,001705,1954.54,523.34,3.99,52.93,3,5.99,10.99,8.99
47035001706,47,035,001706,384,72,2,6,1,1,5,2
47035001707,47,035,001707,321,52,0,8,0,1,4,0
47035001708,47,035,001708,1930.99,639.43,3.9,33.19,2.93,2.93,1.95,1.95
47035001709,47,035,001709,2190.87,916.27,5.99,53.9,5.99,7.98,8.98,2
47035001710,47,035,001710,312.84,57.91,1,9.09,0,1,1,2.05
47035001711,47,035,001711,849,201,0,29,0,2,4,2
47035001712,47,035,001712,578.15,160.54,0.98,20.68,0,0,2.95,0
47035001713,47,035,001713,637.06,128.33,1.04,20.26,1.01,0.04,8.02,6
47035001714,47,035,001714,820,160,1,16,1,2,6,0
47035001715,47,035,001715,219,32,1,4,0,1,2,0
47035001716,47,035,001716,970.69,202.24,1.03,25.26,2.02,2.05,3.06,0
47035001717,47,035,001717,484.16,115.09,0,10.91,0,0,0,5.95
47035001718,47,035,001718,621,269,1,15,2,1,3,4
47035001719,47,035,001719,1088.46,209.66,1.01,13.07,0,2.01,6.01,8.01
47035001720,47,035,001720,385,41,0,4,0,0,2,2
47035001721,47,035,001721,693.79,107.49,0.98,15.63,1.95,0.98,3.91,0
47035001722,47,035,001722,1378.79,327.13,3.97,26.05,0.99,3.96,2.02,0
47035001723,47,035,001723,648,98,1,13,0,1,4,6
47035001724,47,035,001724,913.21,137.51,0.02,24.37,0.05,1.02,3.09,4
47037001801,47,037,001801,1474,597,5,56,6,6,15,24
47037001802,47,037,001802,310,161,2,12,0,1,3,0
47037001803,47,037,001803,305.91,3307.85,9,34.45,2.14,4.07,29.48,2.35
47037001804,47,037,001804,210.53,86.59,0,11.75,0,0.98,2.94,6.85
47037001805,47,037,001805,33.69,1181.03,3.96,10.89,1.98,0,5.94,4.95
47037001806,47,037,001806,36.78,1925.36,4.97,8.95,4.97,0.99,5.96,1.99
47037001807,47,037,001807,93.34,1716.27,4.01,15.08,3.02,1.03,8.09,2.03
47037001808,47,037,001808,45.19,371.2,0,2.06,0.01,0.01,3.05,0
47037001809,47,037,001809,50.65,990.04,0,8.6,0.96,0.96,8.6,0
47037001810,47,037,001810,89.51,785.01,3,8.09,7.01,0.01,7.09,2
47037001811,47,037,001811,628.27,225.36,0.98,18.54,0,0,3.9,8.78
47037001812,47,037,001812,109,79,0,3,0,0,0,2
47037001813,47,037,001813,120.09,375.15,0,19.55,1.86,0.93,6.52,4.65
47037001814,47,037,001814,630.39,2110.58,0.36,56.78,4.35,16.26,18.12,10.21
47037001815,47,037,001815,105.89,2169.38,4.02,19.97,4.01,3.98,14.95,4.98
47037001816,47,037,001816,225.24,765.34,2,17.11,0.01,4.03,9.04,5.02
47037001817,47,037,001817,2015.18,1568.8,3,173.76,3,4.99,32.95,53.92
47037001818,47,037,001818,451,720,4,74,1,3,12,24
47037001819,47,037,001819,719,495,1,38,1,3,9,14
47037001820,47,037,001820,1713.39,1562.62,8.99,140.79,1,8.99,23.96,18.97
47037001821,47,037,001821,125,586,3,14,0,2,10,0
47037001822,47,037,001822,195,1557,4,73,2,3,36,12
47037001823,47,037,001823,113,510,4,27,0,1,20,9
47037001824,47,037,001824,39.84,635.76,0.99,9.92,0.99,1.98,8.93,8.92
47037001825,47,037,001825,129,1340,1,65,2,3,25,12
47037001826,47,037,001826,165,1138,3,79,3,2,24,5
