GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREOWRI,G16DELDNOR,G16DELLMOU,G16DELGSTR,G16DELOWRI,G16COUDWHI,G16COURCEL,G16COULKLO,G16COUGAIK,G16COUIGRO,G16COUICHE,G16COUOWRI,G16HALDGAR,G16HALOWRI
1100102-092,11,001,02-092,1032.3254476686789,13.279728360121126,6.1540102741841,9.21856297267359,10.314795170452113,1015.2091154167094,15.522002510088408,21.60129815265715,3.039647821284371,912.4102495938132,32.962515766477544,32.86289625765707,70.16053106083847,216.3122576537862,102.74947366923922,10.314795170452113,927.9820618583119,12.3080205483682
1100102-093,11,001,02-093,1029.6309349171759,23.008218591105496,7.003793195894844,16.005689793842265,8.006321993158075,1004.6208197281229,21.009482989737112,20.013276185631955,3.001896597947422,915.5582319958579,27.020230378105836,24.020230378105836,85.04298955347491,189.13339405563536,122.06321993158075,14.006321993158075,936.5677149855951,11.007586391789689
1100102-094,11,001,02-094,1254,25,11,15,10,1232,24,33,4,1110,42,50,126,245,151,7,1135,8
1100102-095,11,001,02-095,1121,16,4,20,8,1101,23,26,4,996,36,36,103,218,168,9,1012,10
1100102-096,11,001,02-096,1520,17,5,14,13,1472,32,30,6,1339,44,38,116,225,162,20,1345,20
1100102-097,11,001,02-097,888,16,6,9,12,849,19,25,5,769,30,37,77,188,119,14,793,17
1100102-098,11,001,02-098,1266,23,10,22,12,1244,20,33,5,1101,33,38,117,220,186,12,1110,17
1100102-099,11,001,02-099,971,17,12,20,14,951,32,26,1,858,35,33,104,191,144,10,896,9
1100102-100,11,001,02-100,1448.646913277456,12.43932657487463,6.6979900159054715,9.56860384087654,13.3957622137569,1403.6773395327468,22.00716805256202,25.834870970577487,1.913851459007734,1244.8440047891584,41.14426682528808,37.317217361434736,91.85659294631758,231.5594723678285,118.64942428215564,13.3957622137569,1268.764697573647,13.395980031810943
1100102-101,11,001,02-101,1145,16,2,11,8,1114,19,23,5,1005,25,39,115,264,142,15,1004,14
1100102-102,11,001,02-102,1560,22,4,23,8,1518,26,32,8,1350,39,54,170,295,187,16,1344,22
1100102-103,11,001,02-103,2283.5742520014655,41.013857852125575,9.0110862817004609,23.01662942255069,26.01108628170046,2227.521592163388,49.03464463031394,41.03741620073905,5.006928926062788,1977.3552979378812,88.06097454935252,63.074832401478105,170.1399643064683,368.2383550565599,240.18015207763247,15.006928926062788,2009.3913283534077,15.011086281700461
1100102-104,11,001,02-104,1982,40,8,32,19,1919,38,65,3,1741,73,70,180,377,296,22,1791,25
1100102-105,11,001,02-105,1600,18,9,19,19,1556,33,36,6,1404,48,59,123,284,192,12,1435,14
1100102-106,11,001,02-106,1856,35,13,26,25,1838,40,41,11,1700,47,66,146,332,254,21,1683,27
1100102-107,11,001,02-107,1037.4190064255008,9.13220956360476,7.305767650883809,10.958651476325715,7.305767650883809,1002.7166100838028,22.830523909011905,24.656965821732857,4.56610478180238,893.1300953205457,40.181722079860954,49.313931643465715,92.23531659240808,157.0740044940019,118.7187243268619,4.56610478180238,916.873840185918,7.305767650883809
