GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREICAS,G16PRENROC,G16PREONON,G16USSDCOR,G16USSRHEC,G16USSIJON,G16USSNSAW,G16USSNGUM,G16USSNWIL,G16USSONON
32003001671,32,003,001671,4.982673389955493,15.822515671620119,1.0996017189860552,0.0032862857290665184,0.0010562008725869573,1.1934159352022844,4.979766088816177,16.866512633663266,1.0612727819894887,0.02241434014582469,0.01642599271394332,0.057595972821854156,0.07311663188721365
32003001672,32,003,001672,458,366,31,2,1,25,440,343,16,13,14,1,37
32003001673,32,003,001673,8.578305339296952,4.8651245995727,0.4289152669648476,0.0980377753062509,0,0.29411332591875267,8.063607018939134,4.7425773804398865,0.1593113848726577,0.11029249721953224,0.2450944382656272,0.11029249721953224,0.5882266518375053
32003001674,32,003,001674,319.2252471989769,484.43930512018056,9.617021257920806,0.025527570651750275,1,12.331858418472754,319.6720448676855,448.09872757715016,8.412800692706805,6.1021102826070015,10.12763785325875,5.323454195425678,18.55320233129143
32003001675,32,003,001675,406.38810929888166,557.8376889552633,30.784894689707095,1.9744130853666844,0,25.667370109766896,380.5392473225913,565.3723575636831,14.98959000677362,7.8976523414667374,9.872065426833421,8.079144207990224,25.848861976290383
32003001676,32,003,001676,199,287,12,0,2,19,209,263,8,5,6,4,15
32003001677,32,003,001677,417,403,35,1,0,25,413,371,22,10,16,6,24
32003001678,32,003,001678,335,480,22,2,0,26,335,450,14,16,9,4,26
32003001679,32,003,001679,426,476,42,8,4,33,440,466,19,12,9,4,24
32003001680,32,003,001680,651,619,46,7,0,40,636,607,20,12,14,6,54
32003001681,32,003,001681,5.386643502141434,19.723005924556148,0.5980840523721003,5.934398156536474e-5,0,7.714717603497417e-4,4.788707809723247,18.528914859166733,0.5976093005195774,2.3737592626145896e-4,2.967199078268237e-4,0.5974015965840986,0.5979356924181869
32003001682,32,003,001682,566,352,35,11,3,38,546,332,25,13,10,11,49
