GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREIBLA,G20PREONON
32003007720,32,003,007720,1.042582515157908,0.9515315605930179,0.021990053821295708,0.003676625679225522,0.01833085320558454
32003007722,32,003,007722,377,347.99999999999994,4,0,12
32003007723,32,003,007723,589.2957240154585,522.7054085057313,12.457684088384868,2.221429568326401,10.453977850451851
32003007724,32,003,007724,15,23,0,0,1
32003007726,32,003,007726,1089.3622897764235,614.5440540896153,15.919648391814457,4.719184848455688,15.138666402806141
32003007730,32,003,007730,1058.0412203950073,901.867134979834,14.038368804417432,3,14.030695043533946
32003007731,32,003,007731,521,508,16,1,10
32003007732,32,003,007732,652,570,11,3,8
32003007733,32,003,007733,468,461,9,1,10
32003007734,32,003,007734,0,0,0,0,0
32003007743,32,003,007743,0,0.46875,0,0,0
32003007745,32,003,007745,20.295636253453374,33.30150149568573,0.642518869976402,0.08446136825958828,0.5897951020731085
32003007906,32,003,007906,0.2007525706994233,0.12389301506021551,0.0034414726405615423,0.0011471575468538474,0.002676700942658977
32003007908,32,003,007908,0.9955523827150469,0.7888204525244582,0.017148270707053437,0.00285804511784224,0.013337543883263785
32003007910,32,003,007910,0,0,0,0,0
32003007912,32,003,007912,1.2334826042042792,2.836580204790329,0.03438279036109489,0.004297848795136862,0.03868063915623176
32003007920,32,003,007920,0,0,0,0,0
32003007923,32,003,007923,15.319300426488567,13.382369428097215,0.2782572499764892,0.04554638506847653,0.21586909002997715
32003007926,32,003,007926,0.03440447300072233,0.06081697210325986,8.771678668739403e-4,2.9238928895798015e-4,0.0011695571558319206
32005000001,32,005,000001,212.46649260305784,646.3769352431057,4.987476352184457,1.9949905408737827,5.984971622621349
32005000002,32,005,000002,404.44219182265186,947.4907600998065,15.938734679001179,0.9962471235566941,17.925132436584935
32005000003,32,005,000003,460.58987115051184,649.5602239148452,13.080869909858452,2.005788141099058,15.94539547912513
32005000004,32,005,000004,301,499,22,3,11
32005000005,32,005,000005,287.7020606975718,609.6029370966495,7.035378870914193,2.020279519913406,12.05047822191498
32005000006,32,005,000006,486.96554892053285,777.7648139641708,14.78640330730363,4.928801102434543,24.644005512172715
32005000007,32,005,000007,340.41012884948816,489.4397760851548,15.919130090141548,1.9942118589009417,9.05460452087487
32005000008,32,005,000008,384,803,17,6,13
32005000009,32,005,000009,335,642,11,2,9
32005000010,32,005,000010,301.92418032786884,782.4375,14.800204918032787,3.94672131147541,13.813524590163935
32005000011,32,005,000011,309.9829746677374,830.9543611254509,14.999176193600197,1.9998901591466929,10.999395875306812
32005000012,32,005,000012,100.74905265794824,46.580195668080236,2.17694643813325,0.02211830476665625,3.165887285749922
32005000013,32,005,000013,496,748,19,2,16
32005000014,32,005,000014,231.81891546211637,689.7950690996448,7.610737767068174,1.0445468253332477,14.418070967448354
32005000015,32,005,000015,113,305,3,1,3
32005000016,32,005,000016,237,500,12,1,6
32005000017,32,005,000017,370.4650098407248,979.4542178456345,14.700439990180435,0.9796978543887469,11.786207298760356
32005000018,32,005,000018,215,435.00000000000006,5,2,8
32005000019,32,005,000019,335.9111860003903,589.5566858719466,15.837176313916773,1.983177727252102,14.862358218350124
32005000020,32,005,000020,373.3397613416614,642.8631184599732,7.985877247949977,2.9947039679812413,15.971754495899955
32005000021,32,005,000021,289,830,7,3,15
32005000022,32,005,000022,376,820,9,2,17
32005000023,32,005,000023,340.1195779601407,509.72098475967175,14.668229777256741,2.750293083235639,9.167643610785463
