GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREOFUE,G16HALRZIN,G16HALDJUN,G16HALLBRE,G16GOVRGIA,G16GOVDBUL,G16GOVLDUN,G16ATGRFOX,G16ATGDJEN,G16SOSRSTA,G16SOSDLIN,G16SOSLROO,G16AUDRROS,G16AUDDLAS,G16SPIRARN,G16SPIDROM
30053000013,30,053,000013,664.8524000533365,248.08689421175913,43.51481092870715,11.076011504285617,2.0576832724960084,672.63577986159,279.6638848365239,36.536200044857594,553.5353345589663,392.8380375536548,37.48230905340087,704.2874458960114,252.10765604980182,633.2868219718061,291.7688058860913,32.509175404980965,626.6008016196907,315.6695419435669,611.1486625135855,329.16526580094063
30053000014,30,053,000014,182.1356566352581,60.338836917945535,15.76364690439154,4.941927863692979,0.010664717472457522,173.290917335943,72.22009987351166,17.729484510844102,151.47908983089562,99.9632206177076,14.767171717287637,185.20550092276446,64.28296311569663,161.55625458054664,74.14773546404675,19.6713397246758,168.52045638426597,76.03317197322754,164.46835653295233,82.9836139421858
30055000004,30,055,000004,355.4183525755241,57.139335049836326,14.525247379624501,2.9045595717800254,0,341.87435583035625,73.60748753257917,9.682681746174875,325.4184509512353,92.96060342130706,12.584791797230528,358.36210447889414,55.184182343096104,310.9127997374058,96.82681746174876,13.543996745167831,334.1394782287485,76.49490045928857,303.18282117724675,102.61634043951382
30055000008,30,055,000008,302.80207908857125,50.21828371045871,11.928302607571903,2.198219841022834,0.0171902743414343,297.1206428046913,66.42853289291632,7.5502217191312875,286.0746884454158,76.75469737628869,8.573254537696814,321.25790641546047,41.42143723113762,282.0281371773019,77.13372198262702,5.649158313254065,295.32435112156514,61.83060953184105,282.9831179475531,73.00800336141911
30055000027,30,055,000027,209.70123443132914,58.92811609156752,11.277517567872287,2.8386846624377826,0.19737854902487,204.26471662672648,75.29471795507158,6.177461246452097,191.10309514325007,93.53961827624492,3.781589099355663,219.0872915513714,66.00318796910071,177.93962573033576,98.93315875262073,4.7264736741923015,191.6150380501494,82.7956410274754,184.8896151662889,89.68973520052103
30057000005,30,057,000005,702.104304002153,210.25824456731215,40.993669204048395,5.056857492152844,1.0077107924100122,702.0578808485457,272.2966184251083,18.045688675467975,563.1600608794736,406.20907229410477,25.031443416912577,781.9990618740499,190.31531967425704,677.216637939739,274.14327967161444,28.027586993808093,586.16562037233,378.1931113272473,616.0976135623719,337.286725304922
30057000007,30,057,000007,539.6618162258104,152.2215996647165,32.03719330653479,10.97463423084396,2.992457814797847,537.6686841705886,190.31497672216523,24.983125888582162,467.4063506658086,272.5139362352562,17.036824395171823,592.7654527876542,138.20843096686832,549.5273776953752,176.3802587784316,20.035128494558887,471.47196803076935,258.47285375388975,485.54376579978657,245.3607753917518
30057000020,30,057,000020,1089.7019336530257,449.6136163434873,54.9970887376343,20.649986022241563,2.95451445156416,1075.9653894644284,511.5524719920518,52.03778444061285,953.0190386780405,655.9848655229378,48.15620208230102,1163.2825089311746,436.0001075601862,1101.4716948383937,452.70236103731713,54.05178787352496,973.9573777005118,597.9674748345325,1021.8064690446901,558.905316112539
30057000021,30,057,000021,288.662396957247,158.4388323386106,27.005951823903604,10.003008251317972,2.9906703320222063,290.6065667864827,179.50375194206114,25.009070953048443,214.69098654940922,258.4689148517903,23.009089432686253,318.7086295052852,164.3581600125145,298.6374993630017,171.36739728230324,27.00285117439658,265.43936270857597,220.52197700652815,251.6782420780816,234.31100348258573
300570001-1,30,057,0001-1,103.69901685508489,66.16518570284055,4.1122168617601265,4.964231214111623,0.01083760631702199,98.75492876761056,84.01851501747004,3.1124352724087663,78.69696988307493,98.26270640244472,8.004381369886172,104.9390656157422,71.00523875352425,101.76600952117447,72.06927932376992,8.019728125061544,86.63069653287437,91.18793294949106,85.81594584095215,90.0616723819783
