GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20USSDKEL,G20USSRMCS
04013000025,04,013,000025,2818.462450186627,2963.4525672089353,70.32652333997245,2830.085066232756,2961.596589623561
04013000026,04,013,000026,1101,2368,56,1148,2361
04013000027,04,013,000027,1702,1056,47,1691,1094
04013000028,04,013,000028,2412.2654275042596,847.7547080477624,48.02948077576062,2434.6009965288354,842.1269058034821
04013000029,04,013,000029,29.719927161803955,136.30186465716062,3.319640156928638,33.09112955914977,131.04987410130576
04013000030,04,013,000030,811.8793616064044,1014.3394256471398,22.055207684888256,812.8563584043676,1026.360128528973
04013000031,04,013,000031,1323,1294,49,1346,1298
04013000032,04,013,000032,928,1124,32,923,1149
04013000033,04,013,000033,1062,1310,33,1095,1269
04013000034,04,013,000034,571.4781949158044,375.6859255599535,18.06355637397878,586.6831027931884,362.86182748113373
04013000035,04,013,000035,1188,1839.579121789561,47.24440762220381,1211.6222038111018,1821.8624689312344
04013000036,04,013,000036,2037.6752740032207,2010.5827554480452,35.03593695944837,2020.6890370940732,2042.569756973351
04013000037,04,013,000037,901.2192145127632,377.1267097523358,16.008672412836752,937.2288155093925,341.1251598271154
04013000038,04,013,000038,1628,1960,47,1704,1890
04013000039,04,013,000039,2038,950,85,2085,964
04013000040,04,013,000040,2272.8420057275625,585.8142691182487,46.943380496954816,2251.3262896664583,605.3740109919798
04013000041,04,013,000041,1089.624062564584,779.0667420409674,29.028441854275513,1098.543613200233,792.7609703214655
04013000042,04,013,000042,2571.810524909222,2606.4113944672217,78.42986780777476,2608.276395346209,2625.9070290525565
04013000043,04,013,000043,1726.3759576702278,2548.731292963028,41.21736615727996,1756.6943618936891,2532.411832815694
04013000044,04,013,000044,812,734,31,835,719
04013000045,04,013,000045,1184.6580634577924,910.8073843709207,21.08147528355898,1180.8411640833801,929.9596317123628
04013000046,04,013,000046,500,216,13,528,198
04013000047,04,013,000047,867.2129527837487,194.44516311055605,15.423715655896588,875.9161757505095,185.84602295338425
04013000048,04,013,000048,1094.7165205088554,907.0745136704057,15.987425865694933,1086.302122935017,937.3663411267428
04013000049,04,013,000049,961.8484358493627,2041.0170509426102,36.40719888417117,1004.9075255847092,2005.4326532018895
04013000050,04,013,000050,2637.8070818186216,1572.231357053697,92.56438971365206,2731.3707592141495,1496.5868948269867
04013000051,04,013,000051,901.6384022580077,1444.916504091744,8.055192312980758,916.7539049462282,1427.0829454176371
04013000052,04,013,000052,1523.6127215477504,1603.4481919106668,78.91181912614425,1586.4150977082386,1564.3301629552684
04013000053,04,013,000053,746,1119,50,808,1073
04013000054,04,013,000054,351.7850919617813,585.5078331723452,3.903302672186036,360.53487975993346,579.6712932849344
04013000055,04,013,000055,2610,2094,88,2690,2052
04013000056,04,013,000056,1231.0599497175874,1534.1810638625254,49.652435457276994,1277.879676317756,1474.4951701766702
04013000057,04,013,000057,665.7745999522331,978.2462275007057,5.906376880821591,661.0780337407995,980.030342836051
04013000058,04,013,000058,416.3866853614241,152.57668139721216,16.734216669371655,435.089633403663,139.779927473575
04013000059,04,013,000059,1216.3074436878258,1649.1489542630152,38.68116817637347,1203.8584446423863,1651.0144960392117
04013000060,04,013,000060,1382,1968,25,1383,1984
04013000061,04,013,000061,2199.367257824101,3638.177848943475,72.38674924308359,2240.022829316792,3614.37946563068
04013000062,04,013,000062,525.8813795007599,721.5968089082681,23.296579116337202,570.533633621506,686.1092917452412
04013000063,04,013,000063,1175,831,51,1265,781
04013000064,04,013,000064,1733,1719,62,1793,1674
04013000065,04,013,000065,39.87171173718378,80.73994279433708,1.9935758088988607,43.858865830414494,77.74955308894235
04013000066,04,013,000066,824.8549342257453,878.4556158721836,40.69681384266613,848.67745940194,862.573932421387
04013000067,04,013,000067,111.45290941552001,249.30033128347551,7.333699843104723,116.9986317649817,242.8104317325206
