GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREIMCM,G16PREOFUE,G16USSRPAU,G16USSDGRA
2122700B114,21,227,00B114,0.22872144288274837,0.36087160988166966,0.016942329102425803,0.005082698730727741,0.006776931640970322,0,0.2507464707159019,0.36256584279191223
2122700B115,21,227,00B115,2.2397404319038046,3.533812681448225,0.16590669865954105,0.04977200959786232,0.06636267946381642,0,2.455419140161208,3.550403351314179
2122700B202,21,227,00B202,0.4072395878116392,0.6515833404986228,0.05882349601723677,0,0.004524884309018214,0,0.4615381995198578,0.6561082248076409
2122700B203,21,227,00B203,0.005614010184230307,0.0056187220758263,5.150192762275145e-4,7.600788087174221e-5,9.861599171514717e-5,0,0.005933676165815003,0.005979910746916556
2122700B204,21,227,00B204,0.0040694599518128925,0.006511135922900629,5.878108819285289e-4,0,4.5216221686809916e-5,0,0.004612054612054612,0.006556352144587438
2122700B205,21,227,00B205,0.018566778252415258,0.029706845203864414,0.0026818679697933148,0,2.062975361379473e-4,0,0.021042348686070623,0.02991314274000236
2122700C101,21,227,00C101,234.58615658325112,160.7157028154685,18.300751309423593,3.263621027703335,4.207240778289535,0.9782406926617786,243.3641580316238,184.55699933114474
2122700C102,21,227,00C102,321.7602207401242,403.954213788716,39.223044478415204,18.622514751147527,16.664248944269907,0.0015191668648097383,375.6664608529596,424.568416017767
2122700C103,21,227,00C103,198,249,23,5,16,0,240,260
2122700C104,21,227,00C104,288.5987220128572,332.92275781687965,31.519314349527065,12.804721454495372,5.909871440536325,0,332.92275781687965,340.8025864042614
2122700C105,21,227,00C105,264,207,26,3,9,0,290,228
2122700C106,21,227,00C106,100.99667175402399,84.7174755614047,9.323973076117024,3.4983164734074093,2.2209281238451792,0.017735334242837655,99.48863038289154,101.28104212481848
2122700C107,21,227,00C107,588.2471279557976,305.23164132201566,23.826195218206493,9.90436093702199,13.880266365985081,0,624.9178104509386,319.14081737535207
2122700C108,21,227,00C108,115.73619287077832,63.17770205432563,4.364322528521409,1.0607204214202348,1.0809605618936464,0.020240140473411647,114.8981139945656,72.6634654256875
2122700C109,21,227,00C109,2,0,0,0,0,0,2,0
2122700C110,21,227,00C110,196.0014506182464,357.00363741009244,22.001072309789897,7.000972935063575,16.999448820373683,0.9999513079554092,266.0010846115741,337.0046803972672
2122700C111,21,227,00C111,593,230,43,1,37,0,636,275
2122700C112,21,227,00C112,799.21875,397.1875,41.65625,14.53125,31.96875,0.96875,825.375,460.15625
2122700D101,21,227,00D101,742.573325815316,299.78512211548855,39.4455801993171,3.94500365815834,7.888851957951342,0.9860858633445367,641.9889366278821,442.7735141434681
2122700D102,21,227,00D102,400.60973755557154,279.7602750086063,39.029453062324734,9.11219398313062,5.571807511675091,0.9065956931716692,412.8314630944171,327.3147563987239
2122700D103,21,227,00D103,365.12831411261084,107.70771114522357,13.840363643988585,4.161135055454566,1.8539137545648665,0.0017754391911254366,339.23307948278034,149.60958837551274
2122700D104,21,227,00D104,323.21183610760676,148.39624056709013,16.047945069784223,1.0759202143465199,3.036130369066037,0.030910852574421943,298.3770592462519,189.49067206738516
2122700D105,21,227,00D105,430.70757868450147,194.34722411930267,15.246801586167505,4.016991766508654,4.258302692256995,0.9866084643989124,396.9538746217599,253.60760789348456
2122700D106,21,227,00D106,382.24123711340206,135.15360824742268,13.297938144329898,7.087628865979381,1.0876288659793816,0,334.4340206185567,193.3814432989691
2122700D107,21,227,00D107,144,43,10,2,1,0,128,69
2122700D108,21,227,00D108,600.4279461124999,217.63203467853896,13.525012326301745,7.049158341613253,12.372014200951318,0,613.5841327859017,234.4148148068738
2122700D109,21,227,00D109,536.4159605219086,237.67854257362046,29.422405794427846,2.4032707139488756,15.020398387445775,1.7447474685086273,568.4059410585768,259.4960623841283
2122700D110,21,227,00D110,434.8662578454669,143.84786996377767,15.513178853993434,2.5921307078159415,14.901451120533146,0.2552525314913728,462.7151607074456,153.01494921279397
2122700D111,21,227,00D111,324.3108114093064,210.07500431888582,23.521148296288803,5.324408733444836,4.81972861557005,0.9938591420607394,340.065374525248,229.4820900389946
2122700D112,21,227,00D112,642.9943286537156,309.3155826870655,29.955920813272463,5.803580658538385,23.19412401141338,0,698.0595433511215,323.8239031264509
2122700D113,21,227,00D113,296,183,18,5,9,0,278,234.99999999999997
2122700D114,21,227,00D114,228.56492003232236,223.11884803693428,16.02772440077952,4.69791696922787,4.706616446276245,0,238.78637421528998,235.49611237773135
2122700D115,21,227,00D115,0,0,0,0,0,0,0,0
2122700D116,21,227,00D116,11.198239200226649,11.57045677371187,1.009788527083309,0.3104702452133487,0.39123945446651026,0,12.521094938554016,11.766449864832136
2122700D201,21,227,00D201,0,0,0,0,0,0,0,0
2122700D202,21,227,00D202,0,0,0,0,0,0,0,0
2122700D203,21,227,00D203,0,0,0,0,0,0,0,0
2122700D204,21,227,00D204,0.09072237535184198,0.03203778280676253,0.0020023614254226583,0.0010781946136891238,0.0018483336234670694,0,0.09257070897530904,0.03465625544000755
2122700D206,21,227,00D206,0.04846470147291705,0.0012220070065642038,7.637543791026274e-5,4.112523579783378e-5,7.050040422485791e-5,0,0.04853520187714191,0.0013218825792160858
2122700D207,21,227,00D207,1.0962829481302483,0.6840978239316707,0.03884467139044187,0.008632149197875971,0.0302125221925659,0,1.180446402809539,0.6862558612311397
2122700E101,21,227,00E101,519.6066947799002,362.0334340158719,26.386582223247,2.8338343630092035,10.333090038975396,1.16111530231014,514.6788474606152,404.4998517517263
2122700E102,21,227,00E102,704.3869635961674,208.0467824967583,22.786076178216387,8.9162906784325,5.944193785621666,0,589.4658837408152,351.69813231594856
2122700E103,21,227,00E103,293.78918806742456,104.33083618753331,11.591989261536455,2.9011745518981016,0.9699910176712532,0,256.0748965039843,148.8223559286164
2122700E104,21,227,00E104,304.0690186616582,91.04250001748522,12.88138199520415,1.0876456374724035,4.810878348528111,0.0020866716039162603,285.17627144873404,127.34416612986134
2122700E105,21,227,00E105,323.49918077553247,106.4423812124522,12.063899508465319,2.0049153468050247,2.0245767340251226,0,279.41070453304206,168.6193336974331
2122700E106,21,227,00E106,771.7147952685692,250.8568417906419,26.238665737573996,11.776419613201561,12.890768036322749,0.019040734988857853,738.5384658795615,337.3780698197699
2122700E107,21,227,00E107,510.76532750265204,343.97297457192894,32.062468905968444,10.636239686538017,10.816025692458007,0.045070613005499506,518.2931853334385,391.70083808483
2122700E108,21,227,00E108,466.23582362634363,141.53082556559158,15.860084638608138,1.9718015497406414,5.007084565464586,0,420.64016693096585,203.2668087365808
2122700E109,21,227,00E109,585.4921345296076,266.07463472269444,26.999515776831803,3.9305805342314906,6.5575246482894345,0.09311681205621686,555.708723129537,334.99728680162804
2122700E110,21,227,00E110,286.22492169986606,378.9142296043023,35.095100347584975,6.7001207693349425,6.199780688108606,0.7568522528257259,313.15340735780075,397.12478139274054
2122700E111,21,227,00E111,145,207,16,2,2,0,159,213
2122700E112,21,227,00E112,125.02335928115674,197.2590779769362,9.26098957638198,2.778296872914594,3.704395830552792,0,137.0626457304533,198.1851769345744
2122700E113,21,227,00E113,0.07230316046562778,0.11568505674500444,0.010443789845035122,0,8.033684496180863e-4,0,0.0819435818610448,0.11648842519462252
2122700E201,21,227,00E201,0.0012783287155183737,0.0020453259448293976,1.8464748113043172e-4,0,1.4203652394648594e-5,0,0.0014487725442541566,0.002059529597224046
2122700E203,21,227,00E203,0.0017420070975872782,0.0011501282381753846,1.0761433807488978e-4,3.6992428713243366e-5,3.6992428713243366e-5,0,0.0017655477340411607,0.0013149126933525595
2122700E204,21,227,00E204,0.012625409211642374,0.0202006547386278,0.001823670219459454,0,1.4028232457380418e-4,0,0.014308797106528024,0.020340937063201604
2122700E205,21,227,00E205,0,0,0,0,0,0,0,0
2122700E206,21,227,00E206,4.531722274183469,7.0392306968905975,0.42461276295781925,0.09249605036136196,0.14727066025454993,0,5.059092198833823,7.073483084121442
2122700E208,21,227,00E208,0.011781859474626368,0.017579282390712356,0.001683122782089481,1.870136424543868e-4,4.6753410613596696e-4,0,0.013745502720397429,0.017672789211939554
2122700E209,21,227,00E209,0.006577319761576252,0.003946391856945751,2.512683953860591e-4,1.4780493846238769e-5,1.3302444461614892e-4,1.4780493846238769e-5,0.0063999538354213865,0.004508050623102825
2122700F101,21,227,00F101,499.28683275833754,130.8807411589937,10.934074150264701,0.9993461296873469,1.057560078154971,0.9865439007168049,462.7413740236326,184.36828357594433
2122700F102,21,227,00F102,690.1484868819567,257.47175133927664,44.550426384256994,5.086690438499109,21.409009126672267,3.9749303621169916,713.4269337038346,310.68020336288487
2122700F103,21,227,00F103,598.9106599063659,162.3188197091734,23.574270449080345,5.1228663056218915,13.458017969240387,0,593.7142199222604,209.11835049003435
2122700F104,21,227,00F104,621.4297572650703,304.4089148323492,25.907492065978385,3.711089416490937,16.112594196922682,0.0036384124277580154,616.9686545838547,349.41952609428716
2122700F105,21,227,00F105,756.5817302254993,250.62645864574355,36.18336502849611,6.792691169891148,30.86336186451133,0.005098199592068725,757.3113249048268,325.80564596678124
2122700F106,21,227,00F106,529.5810635778,155.58310364026931,18.929681113507208,3.7543578802635236,19.76873015632313,0,501.75975747135794,225.89836803911555
2122700F107,21,227,00F107,491.62295536325166,164.8225487711905,15.06830259980637,1.5697613865633977,4.783421906524672,1,455.63170808379385,220.87918107694065
