GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVDMIL,G18GOVRMOO,G18GOVIHAY,G18GOVOWRI,G18USSDRIN,G18USSRBRA,G18USSIKIN,G18USSOWRI
23011021001,23,011,021001,1025.5785559871845,614.6145063483002,95.71104518189401,0,201.7818650771237,473.2250589768518,1058.362035176823,0
23011021002,23,011,021002,1052.5556782265837,684.2885664206614,105.94547006750027,0,166.46874069311826,580.1847189314768,1131.675911658779,0
23011021003,23,011,021003,878.510498792575,875.7001023194022,114.42050773826755,0,131.88970584622922,734.0759803078682,1003.6521435044125,0
23011021004,23,011,021004,1086.3552669936569,927.3968249116364,123.92297701233818,0,217.85968838352878,755.5142417838032,1164.3099096599856,0
23011024670,23,011,024670,682.7621550591327,631.9487516425755,98.16031537450723,0,100.41261498028909,516.7910643889619,796.7095926412615,0
23011024950,23,011,024950,338,300,35,0,44,257,371,0
23011027085,23,011,027085,1370,1037,177,0,246,875,1470,0
23011030550,23,011,030550,1048.2378449408673,360.0512483574244,60.83968462549277,0,156.5873850197109,300.2089356110381,1028.2904073587385,0
23011040175,23,011,040175,642,933,124,0,92,809,820,0
23011043080,23,011,043080,662,708,58,0,94,551,776,0
23011046405,23,011,046405,821,1043,160,0,127,909,994,0
23011047770,23,011,047770,430.1160614002246,409.5877948333957,59.62972669412205,0,77.22538375140397,339.2051666042681,479.9704230625234,0
23011054560,23,011,054560,1275,1367,214,0,214,1127,1561,0
23011059110,23,011,059110,548,762,80,0,98,635,663,0
23011061700,23,011,061700,386,375,58,1,67,306,433,0
23011062190,23,011,062190,758,622,92,0,111,533,826,0
23011063835,23,011,063835,265,234,32,0,40,211,274,0
23011068385,23,011,068385,792.9395711500974,1182.421052631579,114.60818713450291,0,111.81286549707602,984.8849902534113,980.2261208576997,0.9317738791423001
23011078190,23,011,078190,7.497983173509347,13.815730680544496,1.6458599863888586,0.0016454134101192926,1.548947904047742,11.934994848648383,9.569252343267454,0
23011078745,23,011,078745,894.0604288499026,1189.578947368421,147.3918128654971,0,151.18713450292398,997.1150097465887,1014.7738791423002,0.0682261208576998
23011079025,23,011,079025,193,150,13,0,32,116,207,0
23011080880,23,011,080880,388,290,39,0,56,237,426,0
23011082945,23,011,082945,727,1000,120,1,125,798,916,0
23011086165,23,011,086165,364.2790596430126,700.5816282107096,75.79799738789725,0,76.6512842838485,612.8637353069221,464.50936003482803,2
23011086515,23,011,086515,1653.3040752351096,1714.7210031347963,196.13793103448276,0,284.30094043887146,1469.0532915360502,1817.742946708464,0
23011086970,23,011,086970,1504,1277,180,0,264,1036,1657,0
23011807401,23,011,807401,504.15912223000754,253.65141216234343,47.014131153586845,0,138.65964437831266,216.4813389338336,463.8097856196175,0
23011807402,23,011,807402,497.3634027194209,247.50332863201558,46.25070745107806,0,137.31733397156813,211.2168630827383,456.64068706178296,0
23011807403,23,011,807403,244.0440390948735,120.51638304014543,22.650010066208754,0,67.55725545759374,102.84151969368195,223.75067747485988,0
23011807404,23,011,807404,638.7745637259032,315.44634437215336,59.285407470268915,0,176.8281517610333,269.18316513234817,585.657580154275,0
23011807405,23,011,807405,355.62850688038264,175.62019344602587,33.00629382527156,0,98.44651799907588,149.86383699277926,326.05639391554394,0
23011807406,23,011,807406,783.6042352242038,388.21246496365166,72.78638060857901,0,216.6802260166693,331.28550299998966,718.8624086077327,0
