GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSDCAR,G18USSRARL,G18USSGTHE,G18USSLFRO,G18HALDROC,G18HALRWAL,G18ATGDJEN,G18ATGRPEP,G18TREDDAV,G18TRERSIM,G18TREGCHA,G18AUDDMCG,G18AUDRSPA
10001006-30,10,001,006-30,398.9718026183283,745.5881168177241,8.935548841893253,7.903323262839879,462.4400805639476,642.6354481369588,416.9395770392749,720.797583081571,316.0191339375629,816.7985901309164,14.822759315206445,371.42296072507554,775.2175226586103
10001006-31,10,001,006-31,735.4163197335554,170.1865112406328,13.13405495420483,11.646128226477934,761.6294754371357,161.43047460449625,715.0141548709408,205.28975853455455,686.3438800999168,216.99084096586176,20.402164862614487,730.0383014154871,191.83263946711074
10001006-32,10,001,006-32,86.46815041530212,14.734191118271877,1.3010702363440332,1.7677953841491152,90.55201224336795,13.324517810321462,86.99526905136794,16.184125648584885,85.75765608612929,14.949996051782591,2.4509678808038555,88.82152736832727,14.118601676497816
10001006-33,10,001,006-33,709.0926346892304,964.2903457237325,14.482486181965678,18.34083724163796,805.0007304788957,828.4966473556238,754.1183928539486,917.086955023044,605.6421812350015,1058.1857025746726,23.30348477831405,698.7094946672067,970.601824127129
10001006-34,10,001,006-34,829.1412781230449,671.6178765842606,20.85152624492189,10.677262990191739,885.9977202573386,599.9862373962939,849.4682973784284,651.0138728636559,714.2959612226174,769.2378364997747,23.496135011854687,811.8707342325954,687.1209656736738
10001007-28,10,001,007-28,62.59064495836399,37.722099606563674,0.3833605220228385,0.7262472144921046,62.02629306208617,35.841495271300474,61.909147128128026,37.30254080968983,53.96517715297103,44.826951987973004,1.5248909786862,59.721854375246565,39.332213799059595
10001007-29,10,001,007-29,433.96050318452643,569.6262620997329,8.57217762906871,11.04431522409087,473.55244072671775,515.3046647295354,453.8508784596871,559.3607567726219,333.41010642481876,669.0915894455695,14.71748407736785,409.524607554812,603.8171070998796
10001007-30,10,001,007-30,312,868,10,11,382,727,341,850,274,899,23,315,864
10001007-31,10,001,007-31,644.566783670239,221.89687294389043,10.438912922824276,14.549450129000565,671.7930836409424,203.85767638662568,642.0601100989545,230.1620900456344,585.8222385724481,263.8891407386945,24.21702450702146,643.4664786043294,234.82630690217027
10001007-32,10,001,007-32,16.248901903367496,19.91800878477306,0.5241581259150805,1.5724743777452417,18.08345534407028,17.821376281112737,16.510980966325036,20.1800878477306,13.366032210834554,23.325036603221083,1.048316251830161,15.986822840409957,21.228404099560763
10001007-33,10,001,007-33,490.46626977965553,416.83160804291515,11.281837044752123,10.465066156563115,538.2060742303636,356.01428116394453,512.8861766965043,404.44849219092634,428.42227335526974,471.4940753956211,18.541001804516803,497.2971594477171,419.0677831616306
10001007-34,10,001,007-34,728.2519129774316,549.7299582913868,17.793838542310983,10.240386553605163,758.8051948958417,492.1834279513451,733.7443124874807,546.4114707816133,602.5263612893195,663.555879671007,19.681043953686853,681.7525081848236,599.6055550107494
10001008-28,10,001,008-28,258.84297299489214,287.5864576972002,3.078702787275882,5.0638834494003,268.8643050932754,273.9598625378425,269.04415665614164,276.5486427089845,219.17769578438785,322.800681462032,7.223377662892175,246.6786178435565,298.4004727888145
10001008-32,10,001,008-32,15.321762856499033,14.009404173551317,0.34975284639493714,0.9806184307108113,16.792928301094154,12.379022481488386,15.696216465126792,14.006732534071313,13.390042825149536,16.188338044115433,0.7206925044813217,15.276955392165036,14.690156895600843
10001008-33,10,001,008-33,117.46183138372974,108.0231758814425,2.4755148757890444,3.1381569892011867,128.75393066826967,93.6717536237144,122.50155208670594,104.62658731418968,100.57829975776576,122.54379443837144,4.6572962581727415,118.55379447743472,108.37743717106027
10001008-34,10,001,008-34,573.545730591371,483.8557032851651,8.25580536122725,9.379979000513817,610.6968547168935,437.24365418554817,579.9219805505577,484.65609303012957,499.7828941828673,553.7694129251665,10.180368745478322,556.6653279923838,501.6533795940672
10001009-08,10,001,009-08,309.48662598081455,272.271135017853,6.640688364609968,7.584674841983778,322.824292188031,257.28745526810263,304.1200381383272,284.7362224978451,271.5390188740556,308.65500332856215,10.258770384411214,295.23381818813965,291.9376004003874
10001009-28,10,001,009-28,100.47146034099333,79.15048183839882,1.1682727946627132,0.2920681986656783,104.26834692364716,70.68050407709414,100.17939214232766,76.8139362490734,89.37286879169756,85.86805040770942,2.6286137879911045,99.5952557449963,78.56634544106745
10001009-32,10,001,009-32,509.9027811000052,358.5693667158877,12.792289640323876,5.766260078826907,526.6735971537856,331.7344995676003,510.77485751103075,363.3082793068276,436.28385136519154,418.5361278195736,20.656296384557535,488.6832539366401,380.42215939178277
10001009-34,10,001,009-34,108.21109123434704,94.90757304710792,1.9200954084675013,1.7829457364341086,116.85152057245081,84.62134764460346,108.896839594514,95.31902206320811,95.31902206320811,107.2510435301133,2.1943947525342873,105.87954680977937,98.33631484794275
10001010-08,10,001,010-08,277.0961908679117,167.79005617740924,6.076462239186202,10.32464937970239,284.9962878345382,161.70489324216734,274.06666044437424,178.71098287151747,245.4911626301759,195.74723491386067,14.583277355485398,269.19029343724804,186.0188628485641
10001010-28,10,001,010-28,44.43068480890614,13.926035537119837,0.9947168240799883,1.6578613734666472,46.088546182372795,14.257607811813166,42.7728234354395,17.573330558746463,38.130811589732886,20.557481030986423,2.3210059228533058,40.783389787279525,19.562764206906436
10001010-32,10,001,010-32,16.467575718315896,22.487979744366864,0.88535353324279,1.062424239891348,20.186060557935612,19.300707024692823,20.008989851287055,20.54020197123273,13.634444411938965,26.029393877338023,0.708282826594232,18.061212078152916,22.13383833106975
10001010-34,10,001,010-34,155.89068198689836,345.1621046659202,5.201934538157131,6.868427249353306,178.9696419226717,311.97128144529677,172.79719709479357,330.84870159219156,118.93682746789605,382.0831273996907,5.67590214539204,146.08395918926192,357.5884892592984
10001011-08,10,001,011-08,22.331753554502367,13.516587677725118,0.48973143759873616,0.8325434439178515,22.968404423380726,13.026856240126381,22.086887835703003,14.398104265402845,19.78515007898894,15.769352290679304,1.1753554502369667,21.695102685624015,14.985781990521325
10001011-28,10,001,011-28,407,109,9,5,421,104,402,125,391,119,14,410,110
10001012-08,10,001,012-08,45.58073038287759,23.174051096403353,0.7443296072660615,1.0461475043639663,47.48827140876662,21.438759390011928,44.172559748340774,25.43874234866594,41.433948203519726,26.73610140061441,1.408023710499772,43.94345174765912,25.346981609163638
10001012-28,10,001,012-28,147.0124624993445,67.57191294052058,3.3349853861291043,4.0604695482257736,152.01239005097605,62.4089544803451,146.31550367485724,72.75118125339817,134.8198450570893,79.44967736326578,3.4868074970951652,142.4292738327533,73.13939480082908
10001013-28,10,001,013-28,99.22731857633887,105.82837725492277,2.67711286133172,4.3215945301301,112.5283721899522,93.42174424934188,109.79050377067772,99.25019233699658,86.34588073253961,119.2702955764399,3.0855956520688617,103.20849978289439,104.53311199586744
10001014-28,10,001,014-28,692.0223474110387,400.9006526677143,10.713094548051357,11.075583902714559,698.428574611212,373.6967666187657,679.800814244188,407.7003449019527,605.998443695126,474.8882597031036,18.978498420530713,659.7358952530969,418.91906589143326
10003001-01,10,003,001-01,582.2503162826965,51.080376788021816,5.00401883940109,6.00746355888774,595.2606504411565,42.07865442827849,515.2434268437232,125.09645214562617,517.206683169199,100.12802874092046,9.00746355888774,526.2164432077444,100.12343578160493
10003001-02,10,003,001-02,692.6742889012828,27.906302286670385,12.956497490239821,5.979921918572225,719.5839375348578,24.91634132738427,593.0089235917457,140.5281650864473,669.7512548800892,33.88622420524261,16.943112102621306,676.7278304517569,35.87953151143335
10003001-03,10,003,001-03,430,26,10,15,451,32,409,68,425,28,15,425,46
10003001-04,10,003,001-04,916.3444018731375,257.44444444444446,17.754789272030653,11.836526181353769,957.7722435078757,219.96211153682418,939.0310770540656,260.4035759897829,674.6819923371647,493.18859088974034,24.659429544487015,693.4231587909749,492.2022137079608
10003001-05,10,003,001-05,838.7561497326203,189.35454545454544,9.17807486631016,11.079144385026739,856.8748663101604,176.37433155080214,799.716577540107,241.59197860962567,784.4791443850268,231.61176470588236,22.178074866310162,809.7561497326203,221.51283422459892
10003001-06,10,003,001-06,437.77828676133765,204.42510306917086,8.678424186898763,5.7856161245991755,457.06367384333487,189.96106275767292,432.9569399908383,215.99633531836923,391.4933577645442,239.13879981676592,16.392579019697664,391.4933577645442,255.5313788364636
10003001-07,10,003,001-07,606,333,17,13,616,331,610,340,525,402,29,525,430
10003001-08,10,003,001-08,339,435,3,6,341,424,329,449,255,506.99999999999994,15,285,488
10003001-09,10,003,001-09,472.4739195230999,441.618479880775,12.535022354694485,7.713859910581222,486.93740685543963,425.22652757078987,473.4381520119225,440.6542473919523,381.8360655737705,521.6497764530551,16.391952309985097,432.9403874813711,481.15201192250373
10003001-10,10,003,001-10,732.7187814090356,415.46155884357427,8.284032585779709,20.131502347118808,741.6971089356119,398.4769167075369,734.1187903261763,411.29639938599115,584.7056477347278,543.1580448532175,26.402384698186637,668.9225342513743,482.9601021649544
10003001-11,10,003,001-11,532,380,12,10,540,366,513,407,471,444,13,499,417
10003001-12,10,003,001-12,779,343,13,9,820,300,804,326,615,488,22,693,424
10003001-13,10,003,001-13,579.6178429925945,273.94745260966977,14.05388356073951,13.076335044380974,598.7256101140736,265.88009815874534,595.640294476236,268.99235557695266,509.3663863758102,340.1944189297258,20.076335044380976,535.501095277659,329.12257418207315
10003001-15,10,003,001-15,638.4965854480002,369.2781322197598,18.693259341638782,12.725944979732683,661.417179731571,357.35512399864604,628.4604596992511,391.5725682083542,559.8175819589231,437.7465102665754,28.803103038706983,607.6498834899133,411.6385866008816
10003001-16,10,003,001-16,611.5274310344828,201.06081570881227,11.700421072796935,8.131059770114943,607.6479643678161,204.75421915708813,588.8483712643679,226.40139118773948,555.1906727969349,237.19396666666665,24.92889846743295,589.5701536398467,221.55205785440614
10003001-17,10,003,001-17,363.1335286563326,143.49290906961102,3.5631469951467705,7.336453723958072,368.2417957630864,138.2010227311587,361.05959680379874,142.45569392699807,343.2698991639753,148.56309778071878,17.040218104743474,349.4578357067514,158.08323819644215
10003001-18,10,003,001-18,613.6496722505462,176.7181354697742,11.348871085214858,8.106336489439185,623.3772760378732,171.04369992716678,610.4071376547706,185.63510560815732,566.632920611799,217.24981791697013,11.348871085214858,597.4369992716679,199.41587764020395
10003001-19,10,003,001-19,567.9711637673806,278.98557527879404,14.10944146914123,16.085396092615753,588.1227143674747,275.91341272963246,586.021689440607,266.0228541987737,491.5406233925867,364.2850373085116,14.199641353145047,547.7751351651211,315.2501668891223
10003001-21,10,003,001-21,353,170,2,3,349,165,337.00000000000006,178,271,246.00000000000003,5,290,229.00000000000003
10003001-22,10,003,001-22,743.3613445378152,458.9439775910364,17.862745098039216,11.232492997198879,744.4565826330532,464.7114845938375,749.3473389355742,457.43697478991595,522.0392156862745,673.8963585434174,20.72549019607843,632.0364145658264,569.8851540616247
10003001-23,10,003,001-23,129,41,10,5,143,39,135,41,125,47,8,129,52
10003001-24,10,003,001-24,583,278,15,17,604,268,586,289,509,345,28,542,329
10003001-25,10,003,001-25,584.0137153334481,119.09431660704391,23.269440738879354,14.665023613677816,613.1081387475489,122.06132356120011,589.7601567375845,148.71450326419998,500.61592164378243,188.66701501042704,39.53577973626273,536.6894211448397,189.58548460890728
10003001-26,10,003,001-26,559,269,16,9,570,259,569,273,498,313,23.999999999999996,536,302
10003001-27,10,003,001-27,1028,367,22,19,1049,357,1004,398,917,478,28,966,446
10003002-01,10,003,002-01,938,36,22,5,980,28,836,160,909,51,18,918,51
10003002-02,10,003,002-02,200.14594594594593,5.249729729729729,3.281081081081081,1.3124324324324323,207.36432432432431,5.249729729729729,180.45945945945945,28.217297297297296,196.86486486486487,7.874594594594594,0.6562162162162162,198.8335135135135,7.874594594594594
10003002-03,10,003,002-03,709.620856099092,146.48816032173852,18.44853292865381,9.856101874737208,728.1291870134118,138.74081418898055,702.9577868301566,170.72477860533607,611.4107121438811,235.11129333770907,24.296416269263535,633.9272615923285,226.30956933396146
10003002-04,10,003,002-04,729.4081222872768,379.6194620834832,5.234196626860186,6.141037943497945,751.8882997227266,332.3444252858905,732.6729466349547,368.7629226680319,473.3400431763767,625.6454569578116,11.302375429496635,580.0193622105855,516.2510368876995
10003002-05,10,003,002-05,384.2438502673797,116.64545454545454,8.82192513368984,3.920855614973262,390.1251336898396,117.62566844919786,382.283422459893,128.40802139037433,370.5208556149733,129.38823529411764,8.82192513368984,384.2438502673797,124.48716577540107
10003002-06,10,003,002-06,687,392,20,12,726,356,692,395,539,543,18,621,474
10003002-07,10,003,002-07,747,377,16,13,787,328,751,373.00000000000006,614,501,16,681,445
10003002-08,10,003,002-08,759.0976790428286,383.9043998165097,9.401060088607572,8.476725634690899,755.8422465351185,377.3386389557832,738.2238550289212,407.09046533108466,672.841047291767,465.0845380727118,14.616625361317283,731.772581538648,412.3986395553524
10003002-09,10,003,002-09,555,252,12,12,566,247,539,277,486,322,15,527,290
10003002-10,10,003,002-10,548.3853606027988,272.762109795479,8.583423035522067,9.53713670613563,571.2744886975242,247.0118406889128,556.9687836383207,267.9935414424112,436.8008611410118,370.994617868676,17.166846071044134,490.20882669537133,326.1700753498385
10003002-11,10,003,002-11,795.9999999999999,366,10,15,826,348,787,383,690,452,29,757,414
10003002-12,10,003,002-12,556,266,16,12,602,230,568,269,461,343,31,515,316
10003002-13,10,003,002-13,387,180,12,11,397,185,400,180,344,229,12,378,207
10003002-15,10,003,002-15,809.2475289432964,437.5119029631861,8.969492315873975,15.945764117109288,831.1729546043217,414.5898670448415,789.3153237969098,460.4339388815307,717.559385269918,512.2576722621359,25.911866690302595,768.3865083932039,478.3729235132787
